universe_id,property,emergence_depth,value
0,distinction,5,0.8556053203978602
0,relation,5,1.6392377886878482
0,selfref,0,0.9520596588970469
1,distinction,4,0.7483267033288765
1,relation,0,2.691901361885442
1,selfref,0,0.9713219687082144
2,distinction,6,0.7794793965302625
2,relation,0,2.2603461608809567
2,selfref,0,0.9637132615092395
3,distinction,4,0.7847839523804832
3,relation,5,0.5714204881319824
3,selfref,0,0.9955628201918223
4,distinction,5,0.8548686945429883
4,relation,9,1.638808496255881
4,selfref,0,0.9316515327233271
5,distinction,5,0.4937991626743765
5,relation,0,2.041048846075319
5,selfref,0,0.9790946135730602
6,distinction,9,0.7022737845208498
6,relation,0,1.812592518491031
6,selfref,0,0.9671747451472759
7,distinction,6,0.6358676144063099
7,relation,0,1.5938183344796757
7,selfref,0,0.9842571447072422
8,distinction,4,0.9282545168997672
8,relation,5,2.3689924336509565
8,selfref,0,0.9333634188855986
9,distinction,4,0.8186419793340898
9,relation,18,1.5613557950089643
9,selfref,0,0.8935052290273641
10,distinction,4,0.6184662126790482
10,relation,0,1.9712156767206002
10,selfref,0,0.9763335787980841
11,distinction,7,0.8707711158515474
11,relation,0,2.9698921786148853
11,selfref,0,0.9750964055919422
12,distinction,4,0.6620473422730866
12,relation,0,1.374959011143695
12,selfref,0,0.9597037903088765
13,distinction,8,0.531650893670964
13,relation,0,1.379920943413032
13,selfref,0,0.9839567213838007
14,distinction,5,0.632262031180021
14,relation,0,1.9258983194236845
14,selfref,0,0.9913540042897564
15,distinction,4,0.8569697666869954
15,relation,0,2.734748081114881
15,selfref,0,0.9630174417211718
16,distinction,6,0.8620915611694435
16,relation,0,2.877537991220295
16,selfref,0,0.9225011797156308
17,distinction,8,0.8447057232248696
17,relation,0,2.4987340563706533
17,selfref,0,0.9818410207772207
18,distinction,6,0.7957860787767204
18,relation,0,1.0078281944251797
18,selfref,0,0.9693416989475275
19,distinction,6,0.6400819288067835
19,relation,0,0.599274051886498
19,closure,5,0.10211267605633803
19,selfref,0,0.9186405132044887
20,distinction,4,0.9057143641493387
20,selfref,0,0.9798582154411979
21,distinction,6,0.7405309538042093
21,relation,0,2.582737830156013
21,selfref,0,0.9818494131106442
22,distinction,8,0.8120572150128517
22,relation,0,2.2762460971959224
22,selfref,0,0.9666246498075131
23,distinction,4,0.8222483433581879
23,relation,0,2.0353821795566143
23,selfref,0,0.9654125889333672
24,distinction,4,0.6149623988061715
24,relation,0,0.4103151678332923
24,selfref,0,0.9990396581603324
25,distinction,8,0.6108578528346167
25,relation,0,1.0154287406219655
25,selfref,0,0.9260629191819615
26,distinction,4,0.8395757694599232
26,relation,0,2.4825915804619854
26,selfref,0,0.9501750898974296
27,distinction,4,0.8758684983997811
27,relation,0,2.5624009760287754
27,selfref,0,0.9839822804333962
28,distinction,5,0.591790728578724
28,relation,0,1.89881112471428
28,selfref,0,0.9041123217952385
29,distinction,5,0.3540532286116867
29,relation,6,0.511158241321321
29,selfref,0,0.9582615139616034
30,distinction,11,0.34800320271668944
30,relation,0,0.42157744879438747
30,selfref,0,0.9047268385627567
31,distinction,4,0.5684497192817567
31,relation,0,1.3827108603985174
31,selfref,0,0.9511388295936577
32,distinction,11,0.6323170727404637
32,relation,0,0.3579757442169951
32,selfref,0,0.9186789702939879
33,distinction,7,0.7705924945173392
33,relation,0,2.389596588457129
33,selfref,0,0.9923839752266828
34,distinction,6,0.8578187937038846
34,relation,10,1.5873797644010743
34,selfref,0,0.9350242628999695
35,distinction,4,0.7539160439236974
35,relation,0,1.7288178349212064
35,selfref,0,0.9977353093193818
36,distinction,6,0.557202909603528
36,relation,34,0.9088649377010515
36,selfref,0,0.9993966073739445
37,distinction,4,0.6557169008681275
37,relation,0,0.41838479587782396
37,selfref,0,0.8509097706956391
38,distinction,6,0.8709509833355261
38,relation,7,0.8979761710592117
38,selfref,0,0.9230832398655341
39,distinction,18,0.5868406669028479
39,relation,0,0.9619936927952325
39,selfref,0,0.9830026743105676
40,distinction,9,0.7963792520604721
40,relation,0,2.3664373677708332
40,selfref,0,0.9883058093024764
41,distinction,4,0.4100721384964886
41,relation,0,0.30466019356601437
41,selfref,0,0.6011071558720834
42,distinction,15,0.5546885010116304
42,relation,0,1.2910757024423063
42,selfref,0,0.9894873564318115
43,distinction,4,0.6239572333254594
43,relation,0,1.2961812371200274
43,selfref,0,0.94718847341483
44,distinction,7,0.8291344420726292
44,relation,0,2.4796481089905846
44,selfref,0,0.9654738902321319
45,distinction,4,0.6185658743798492
45,relation,33,0.5784250173849983
45,selfref,0,0.9999884433844681
46,distinction,6,0.8594076420249148
46,relation,0,2.4626321672198874
46,selfref,0,0.9770435202575083
47,distinction,8,0.6998835594401839
47,relation,0,1.612108262294957
47,selfref,0,0.9808418184549423
48,distinction,4,0.7861389000918937
48,relation,5,0.4985350396682906
48,selfref,0,0.9951597555030612
49,distinction,4,0.9158213285479785
49,selfref,0,0.9505846090833319
50,distinction,6,0.8554201735420969
50,relation,0,2.8132182909784067
50,selfref,0,0.9595303354686593
51,distinction,9,0.7985255080522012
51,relation,0,1.9941887570206867
51,selfref,0,0.9852243005127466
52,distinction,15,0.604135281471908
52,relation,0,1.1702192182478113
52,selfref,0,0.9974794417706421
53,distinction,4,0.629139420121888
53,relation,5,0.5399124822739767
53,selfref,0,0.9962884889023718
54,distinction,4,0.670834938015601
54,relation,0,1.3791949315967342
54,selfref,0,0.9779506765998599
55,distinction,11,0.5989035626951793
55,relation,0,1.087501331734419
55,selfref,0,0.9915901765545743
56,distinction,15,0.5390566175630682
56,relation,0,1.2527641326361532
56,selfref,0,0.9737196017376624
57,distinction,6,0.33385621563052276
57,relation,6,0.4672307376751142
57,selfref,0,0.837883615076977
58,distinction,4,0.7279106012445825
58,selfref,0,0.9505366466609272
