universe_id,ablation,distinction_rate,persistence_rate,relation_rate,closure_rate,selfref_rate
564,baseline,1.0,0.0,0.95,0.05,1.0
564,no_nonlinearity,0.9,0.0,1.0,0.0,1.0
564,no_bias,1.0,0.0,0.9,0.1,0.95
564,no_rotation,1.0,0.0,1.0,0.05,1.0
564,symmetric_w,1.0,0.0,0.9,0.05,1.0
564,zero_w,1.0,0.0,1.0,0.0,1.0
564,identity_w,1.0,0.0,1.0,0.9,1.0
779,baseline,1.0,0.0,0.9,0.0,1.0
779,no_nonlinearity,1.0,0.0,0.95,0.0,1.0
779,no_bias,1.0,0.0,0.95,0.0,1.0
779,no_rotation,1.0,0.0,1.0,0.0,1.0
779,symmetric_w,1.0,0.0,1.0,0.2,1.0
779,zero_w,1.0,0.0,1.0,0.05,1.0
779,identity_w,1.0,0.0,1.0,1.0,1.0
8,baseline,1.0,0.0,1.0,0.0,1.0
8,no_nonlinearity,1.0,0.0,1.0,0.0,1.0
8,no_bias,1.0,0.0,0.95,0.1,1.0
8,no_rotation,1.0,0.0,1.0,0.0,1.0
8,symmetric_w,1.0,0.0,0.95,0.15,1.0
8,zero_w,1.0,0.0,1.0,0.0,1.0
8,identity_w,1.0,0.0,1.0,0.95,1.0
484,baseline,0.95,0.0,0.95,0.05,1.0
484,no_nonlinearity,1.0,0.0,1.0,0.0,1.0
484,no_bias,1.0,0.0,1.0,0.1,1.0
484,no_rotation,1.0,0.0,1.0,0.0,1.0
484,symmetric_w,1.0,0.0,0.9,0.0,1.0
484,zero_w,1.0,0.0,1.0,0.0,1.0
484,identity_w,1.0,0.0,1.0,0.9,1.0
314,baseline,1.0,0.0,0.95,0.05,1.0
314,no_nonlinearity,1.0,0.0,0.7,0.05,0.95
314,no_bias,1.0,0.0,0.95,0.05,1.0
314,no_rotation,1.0,0.0,1.0,0.05,1.0
314,symmetric_w,1.0,0.0,1.0,0.1,1.0
314,zero_w,1.0,0.0,1.0,0.0,1.0
314,identity_w,1.0,0.0,1.0,0.9,1.0
703,baseline,1.0,0.0,0.95,0.0,1.0
703,no_nonlinearity,1.0,0.0,0.9,0.0,1.0
703,no_bias,1.0,0.0,0.9,0.05,1.0
703,no_rotation,1.0,0.0,1.0,0.0,1.0
703,symmetric_w,1.0,0.0,1.0,0.1,1.0
703,zero_w,1.0,0.0,1.0,0.0,1.0
703,identity_w,1.0,0.0,1.0,1.0,1.0
534,baseline,1.0,0.0,0.9,0.0,1.0
534,no_nonlinearity,1.0,0.0,0.9,0.05,1.0
534,no_bias,1.0,0.0,1.0,0.0,1.0
534,no_rotation,1.0,0.0,1.0,0.0,1.0
534,symmetric_w,1.0,0.0,0.95,0.25,1.0
534,zero_w,1.0,0.0,1.0,0.0,1.0
534,identity_w,1.0,0.0,1.0,0.95,1.0
616,baseline,0.95,0.0,0.95,0.0,1.0
616,no_nonlinearity,1.0,0.0,1.0,0.05,1.0
616,no_bias,1.0,0.0,1.0,0.05,1.0
616,no_rotation,1.0,0.0,1.0,0.0,1.0
616,symmetric_w,1.0,0.0,0.95,0.15,1.0
616,zero_w,1.0,0.0,1.0,0.0,1.0
616,identity_w,1.0,0.0,1.0,0.85,1.0
49,baseline,1.0,0.0,0.85,0.05,1.0
49,no_nonlinearity,1.0,0.0,1.0,0.0,1.0
49,no_bias,1.0,0.0,0.95,0.1,1.0
49,no_rotation,1.0,0.0,1.0,0.0,1.0
49,symmetric_w,1.0,0.0,1.0,0.3,1.0
49,zero_w,1.0,0.0,1.0,0.0,1.0
49,identity_w,1.0,0.0,1.0,0.8,1.0
869,baseline,1.0,0.0,0.95,0.1,1.0
869,no_nonlinearity,1.0,0.0,0.95,0.05,1.0
869,no_bias,1.0,0.0,0.95,0.05,1.0
869,no_rotation,1.0,0.0,1.0,0.05,1.0
869,symmetric_w,1.0,0.0,1.0,0.1,1.0
869,zero_w,1.0,0.0,1.0,0.05,1.0
869,identity_w,1.0,0.0,1.0,1.0,1.0
