family_A,family_B,centroid_distance,mahalanobis_distance,wasserstein_distance,bhattacharyya_distance
branching,branching,0.0,0.0,0.0,0.0
branching,ca,2.865516400155877,10.500340661811697,1.3328305291184033,3.099045104587196
branching,gbm,2.4492996530677984,17.071900090528374,1.5404406195774047,5.556093067951128
branching,henon,3.7194917787965447,11.911745747816251,1.5648809077196968,7.6774479791010934
branching,ising,1.7858321228410072,5.251831585433285,0.7766611032005801,2.0571816190014216
branching,kuramoto,1.5304050101686535,5.8742697666725325,0.710305655410512,2.233368592348906
branching,logistic,2.1741648665694138,5.5024620961039545,1.4986138632587416,3.1110957322288906
branching,lorenz,2.460168210318747,10.632174474709522,1.8719997349630209,10.213725124935992
branching,lotka,4.374285770566875,106.53864653279523,1.9221881372700051,84.08082460867271
branching,markov,3.8779166563357763,25.283693775322696,1.7086100036496283,31.672707570558128
branching,rbn,1.3670869069598086,4.980427959076684,0.6691708434990277,2.259086771616659
branching,reaction,2.0954471596259725,15.900979251253935,0.9782813362861716,6.922707712492592
branching,sandpile,2.232216927658329,40.07491185511927,0.9381936433061668,5.394375644807188
ca,branching,2.865516400155877,10.500340661811697,1.3328305291184033,3.099045104587196
ca,ca,0.0,0.0,0.0,0.0
ca,gbm,1.8085460265497666,5.073873800009068,1.0716156867375177,2.5492539194061408
ca,henon,1.9653452842548969,3.3953429187151043,0.8567826145848079,1.5750664500532001
ca,ising,1.7992098732868376,1.4122453435555915,0.8012406311898869,0.5751524849786864
ca,kuramoto,2.0884629267454153,8.440079794382106,1.0259814757681345,2.6974006321652557
ca,logistic,3.032251099861047,2.353165890858842,1.433431336887786,1.1960200172351452
ca,lorenz,2.245082895107704,4.660771790041973,1.3375761441779335,2.030346568579477
ca,lotka,5.412137701005042,110.04896416777204,2.6125458230915686,47.94128850806531
ca,markov,1.1375676361266278,2.0730317471807473,0.623211305789078,1.7331175254833249
ca,rbn,3.4950295180385695,5.886147518705681,1.4259348747217615,1.983110090329741
ca,reaction,2.42757169089991,17.433726810679428,1.056242456358138,6.333588134565796
ca,sandpile,1.6334063624243862,11.301962655553112,0.710642364894992,2.6662907932219633
gbm,branching,2.4492996530677984,17.071900090528374,1.5404406195774047,5.556093067951128
gbm,ca,1.8085460265497666,5.073873800009068,1.0716156867375177,2.5492539194061408
gbm,gbm,0.0,0.0,0.0,0.0
gbm,henon,3.449581775016379,7.9754836104157185,1.7493960133256226,4.161462418861363
gbm,ising,2.3337399421010665,8.236862797998514,1.5112259924050737,3.607284214347872
gbm,kuramoto,2.554182504460694,23.591811189012276,1.6849236702459718,12.59241637547586
gbm,logistic,3.0200207419311806,9.805591405079973,1.563150809389479,3.337181061654122
gbm,lorenz,2.8099144659501207,16.211472667548247,1.5383351002611274,3.1211331177192405
gbm,lotka,5.672225373511245,149.45696012704616,2.850369668661589,737.9344479829645
gbm,markov,2.2969010027500527,12.97306116392541,1.1246086484565991,3.2739171728677903
gbm,rbn,3.4113615301623104,14.32845987933014,1.6353661514228963,9.598480410278345
