system,flow_magnitude
logistic_r=2.5000,94.67143669202598
logistic_r=2.5625,43.65774094306347
logistic_r=2.6250,89.39578003272696
logistic_r=2.6875,86.78624118836004
logistic_r=2.7500,88.06171458004071
logistic_r=2.8125,90.09051040491697
logistic_r=2.8750,88.22866609190203
logistic_r=2.9375,115.12675358074746
logistic_r=3.0000,88.85693155533983
logistic_r=3.0625,88.05319737997897
logistic_r=3.1250,90.14389954141798
logistic_r=3.1875,95.00914359623202
logistic_r=3.2500,93.69353688680347
logistic_r=3.3125,98.53558040906294
logistic_r=3.3750,97.43933578573109
logistic_r=3.4375,95.38221376434635
logistic_r=3.5000,102.80647042445335
logistic_r=3.5625,127.19667778927645
logistic_r=3.6250,108.16358487886566
logistic_r=3.6875,125.58962826028912
logistic_r=3.7500,11.520306572431377
logistic_r=3.8125,20.695106004725897
logistic_r=3.8750,13.627917132338098
logistic_r=3.9375,2.0266411739398693
logistic_r=4.0000,56.51555322416595
lorenz_rho=0.0000,64.88625050893378
lorenz_rho=2.0833,129.0499407905061
lorenz_rho=4.1667,73.96715945994396
lorenz_rho=6.2500,79.21915341204405
lorenz_rho=8.3333,119.94119272942977
lorenz_rho=10.4167,87.86488762183997
lorenz_rho=12.5000,96.03406075949265
lorenz_rho=14.5833,21.132062788350808
lorenz_rho=16.6667,38.32151580413147
lorenz_rho=18.7500,80.00575204752823
lorenz_rho=20.8333,115.67732824756719
lorenz_rho=22.9167,95.40261787823438
lorenz_rho=25.0000,80.0916419503613
lorenz_rho=27.0833,42.062716651856206
lorenz_rho=29.1667,87.46752903932041
lorenz_rho=31.2500,78.95181785904649
lorenz_rho=33.3333,104.97176975492134
lorenz_rho=35.4167,82.78605763726438
lorenz_rho=37.5000,80.4741126998635
lorenz_rho=39.5833,81.01111878956458
lorenz_rho=41.6667,78.45289923973034
lorenz_rho=43.7500,80.10774096548992
lorenz_rho=45.8333,81.92035904214815
lorenz_rho=47.9167,80.61038252931591
lorenz_rho=50.0000,80.02813272271928
ising_T=0.5000,32.459366516970114
ising_T=0.6875,11.764375300182424
ising_T=0.8750,13.738661825958266
ising_T=1.0625,6.2590741044708285
ising_T=1.2500,23.093555354069323
ising_T=1.4375,11.472138654447456
ising_T=1.6250,0.9581070358611242
ising_T=1.8125,28.283568624337406
ising_T=2.0000,56.33177503867467
ising_T=2.1875,66.43066054043078
ising_T=2.3750,89.35392403848101
ising_T=2.5625,25.10888188270047
ising_T=2.7500,1.2967146165288244
ising_T=2.9375,56.918828483552524
ising_T=3.1250,12.405608456037557
ising_T=3.3125,23.63841003072189
ising_T=3.5000,18.649019018891476
ising_T=3.6875,12.41204439901271
ising_T=3.8750,6.283190502638557
ising_T=4.0625,10.756065766640745
ising_T=4.2500,5.022815083640716
ising_T=4.4375,18.352987093627696
ising_T=4.6250,8.132428068968313
ising_T=4.8125,13.405929341977354
ising_T=5.0000,7.429340356185623
reaction_diffusion_F=0.0100,54.33437442755548
reaction_diffusion_F=0.0137,49.034288674755324
reaction_diffusion_F=0.0174,45.27508234030748
reaction_diffusion_F=0.0211,42.63382825493952
reaction_diffusion_F=0.0247,40.17305963124267
reaction_diffusion_F=0.0284,39.92556685548113
reaction_diffusion_F=0.0321,40.15051823104258
reaction_diffusion_F=0.0358,41.065793243125164
reaction_diffusion_F=0.0395,57.282176991130704
reaction_diffusion_F=0.0432,50.42344750082004
reaction_diffusion_F=0.0468,49.850386403655655
reaction_diffusion_F=0.0505,38.49660873086561
reaction_diffusion_F=0.0542,35.82209627932864
reaction_diffusion_F=0.0579,34.54020189241693
reaction_diffusion_F=0.0616,34.15923274802275
reaction_diffusion_F=0.0653,33.171729109052535
reaction_diffusion_F=0.0689,33.40485301483104
reaction_diffusion_F=0.0726,31.658461532828547
reaction_diffusion_F=0.0763,32.45797625281227
reaction_diffusion_F=0.0800,31.856111394374132
henon_a=0.8000,12.100503722760863
henon_a=0.8429,99.06795241079845
henon_a=0.8857,114.8899022377939
henon_a=0.9286,109.89604764220664
henon_a=0.9714,93.26347846243173
henon_a=1.0143,113.55799062986341
henon_a=1.0571,111.8449856295157
henon_a=1.1000,109.14631737552034
henon_a=1.1429,69.48255192680135
henon_a=1.1857,11.94533641065971
henon_a=1.2286,5.961816896807786
henon_a=1.2714,17.602556703392896
henon_a=1.3143,44.6615608693685
henon_a=1.3571,11.378741521638473
henon_a=1.4000,52.833579087032234
kuramoto_coupling=0.0000,47.00168157848208
kuramoto_coupling=0.4211,52.99083212893878
kuramoto_coupling=0.8421,50.62684247580499
kuramoto_coupling=1.2632,45.26253259200102
kuramoto_coupling=1.6842,76.01556215884726
kuramoto_coupling=2.1053,52.32484562094635
kuramoto_coupling=2.5263,79.55999380215238
kuramoto_coupling=2.9474,70.63769175685616
kuramoto_coupling=3.3684,75.39922123670914
kuramoto_coupling=3.7895,46.77543027861819
kuramoto_coupling=4.2105,45.4877583394463
kuramoto_coupling=4.6316,45.46323564922286
kuramoto_coupling=5.0526,39.332859244913514
kuramoto_coupling=5.4737,21.9647073113484
kuramoto_coupling=5.8947,40.83328476343384
