target,benchmark,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
spectral_entropy,phi_space,-0.24839985781059226,0.5116207810538718,0.06822328387035972,0.019588656418937523,0.08210061166618488,0.02063629198292741
spectral_entropy,random,-1.0151255494402889,0.14231841310290363,0.1028427457853179,0.003904625092321764,0.12850560383593487,0.004521441406262252
spectral_entropy,family_mean,0.23485606082401178,0.0,0.06397875110398304,0.0,0.07923393748043744,0.0
spectral_entropy,surrogate,-0.64003216249239,0.6092268839553443,0.07990051786905314,0.02412565696714722,0.09604220609256424,0.027304778885904473
spectral_entropy,features,0.3017580875431873,0.31585856488598585,0.051729120286036046,0.020525827515220335,0.06296811931187343,0.02266913645557923
mean_curvature,phi_space,-0.5683587801076885,1.0628962575053063,0.041334078086328746,0.01690031854131107,0.05016434181467806,0.021307087679718704
mean_curvature,random,-1.0151227571140704,0.14983187649924767,0.06558761053113707,0.0026794950742291828,0.08319614119986994,0.0031212899299583024
mean_curvature,family_mean,0.27126461039876215,0.0,0.03912900099981629,0.0,0.05006598779773792,0.0
mean_curvature,surrogate,-1.4849882322762762,1.8673119812152381,0.04937536673972757,0.014092398367328928,0.06022573861969276,0.01873501005252641
mean_curvature,features,-0.5537541911307773,1.2164580203060953,0.0404700049955766,0.012173591944970712,0.048351547554571064,0.01624941671198262
local_dim,phi_space,-2.3305898617161525,6.190016545880571,0.39687287734810206,0.11017898335348231,0.48422208269644196,0.12305428330252144
local_dim,random,-0.9776537110625828,0.1453388190411091,0.5898215477957711,0.02431057476707304,0.7308501287890834,0.027108551527561663
local_dim,family_mean,0.3716874615109851,0.0,0.33817096554047266,0.0,0.41223001781862884,0.0
local_dim,surrogate,-5.726456888630628,16.268962612099312,0.464087908551146,0.1385267796946355,0.5479767031571614,0.13555554110349463
local_dim,features,-4.9881626836327895,14.949712719587993,0.43552583292479946,0.122886230632519,0.5101036609600276,0.11742539651637077
laminarity,phi_space,-1.3487066236923104,3.046891385782285,0.11051698107015308,0.03276314127901624,0.13712671323739403,0.04343329955041344
laminarity,random,-1.0251396349924426,0.1713210600167507,0.23216173781585658,0.010482517562592051,0.2987198128933417,0.012607640883526892
laminarity,family_mean,0.21768266377558965,0.0,0.13531352436821895,0.0,0.18582942433214647,0.0
laminarity,surrogate,-4.169851716258928,7.8213118444386165,0.16349975382329265,0.05998084868628871,0.20115225919703614,0.08077064980919908
laminarity,features,-2.1020000385080064,5.398705117070483,0.1328412994496869,0.06984247913784031,0.16732776285703702,0.0949665925045584
divergence_rate,phi_space,-1.0560436714612282,0.9607782267206021,0.615132050509004,0.24487208191499998,0.7493334744129464,0.2899521271066711
divergence_rate,random,-0.9834918777204946,0.17422028000456205,0.84651298487484,0.04384969409274966,1.0606932874307986,0.047033155218102175
divergence_rate,family_mean,0.27060660402246806,0.0,0.49865720889917564,0.0,0.6438460820388147,0.0
divergence_rate,surrogate,-1.5746641023743957,1.7650448625035495,0.6335414046299049,0.166266909079989,0.7727227255695487,0.19160723896915643
divergence_rate,features,-1.3903575756688697,1.7397715897304284,0.6083331390959607,0.26326654225213497,0.743623705428254,0.29554210160310357
