cluster,category,pc1,effective_rank
1,arithmetic,0.9371952071819848,1.2708332295456253
1,arithmetic,0.8616359149001074,1.6727529759106894
1,arithmetic,0.900348967623832,1.5200027165389507
3,arithmetic,0.8563820935462279,1.6034830079016904
2,dynamical,0.5072003857573868,2.4472070955596648
3,dynamical,0.8825631243816553,1.5616924876491949
3,dynamical,0.9542735238609682,1.2431429305000044
2,dynamical,0.7220448546232198,1.922539375728059
2,dynamical,0.6292919187221929,2.633415431174447
1,symbolic,0.9316931956647468,1.289191085833841
1,symbolic,0.9350281398998138,1.2780424909856631
1,symbolic,0.8605089621573792,1.6740742097697594
3,random_control,0.92866508956883,1.342714602143987
3,random_control,0.8123428575937076,1.6612853986287848
