system,temporal_scramble_corr_mean,temporal_scramble_corr_std,phase_randomize_corr_mean,phase_randomize_corr_std,transform_pc1_original,transform_pc1_shuffled_metrics,pc1_ratio_orig_vs_shuffled
primes,-0.5458647494895071,0.08388321190548334,-0.8387880171574871,0.026021534708587177,0.9351930156905994,0.723915437767441,1.2918539471609274
fibonacci,-0.9389816784483579,0.01864423882196228,-0.9710957711736478,0.012222280582129928,0.8530455987754174,0.5621560469205246,1.5174533894074036
modular_arithmetic,-0.9738061560736557,0.011391215369587163,-0.8558312695440369,0.051988707741025084,0.8984372303327961,0.7049289816851495,1.2745074378770191
additive_recurrence,0.9061629635199709,0.05255090449108176,0.9924479481365742,0.004269185067046826,0.8558402377239726,0.33744749788043765,2.5362174652342766
lorenz,-0.2708404201520495,0.10835707671394376,0.9604737565959997,0.012560865030644623,0.5064984351283568,0.3342114716459914,1.5155028420594068
logistic_map,0.9856758441448594,0.01810419802930939,0.9978946870660277,0.0031053781329149917,0.8827215208433751,0.30925550581066574,2.8543437521975763
henon_map,0.9909836258897342,0.009494372955820611,0.9967576131832833,0.00497891169816115,0.9563225848332443,0.4517337719701643,2.117004847041648
ising_magnetization,0.9009748451528112,0.08824294837349882,0.9646786207550543,0.01890116190947001,0.7363339058104128,0.3354245562286936,2.195229574391619
reaction_diffusion,-0.029083865658445958,0.09860303186482164,0.36797574750852285,0.03843543974482491,0.6311495233237437,0.4239154282413507,1.4888571664921972
cfg_expansion,-0.36074049954127607,0.08999197639419888,-0.8873026273559909,0.019188831406742584,0.9336319074007793,0.730743991232119,1.2776456852235867
lambda_reduction,-0.4164871352960328,0.09864113516428644,-0.8657195213619072,0.050357734807612214,0.9344428804775068,0.7270048083373388,1.2853324624008735
rewrite_system,-0.9466905249444856,0.007633642325221891,-0.9676023009713767,0.0108133850068386,0.8571396490479266,0.5519500226208586,1.5529298195838768
iid_gaussian,0.9894667060486734,0.014816787407601527,0.9985263381918055,0.0018201750837467429,0.9328035455181762,0.3118189968941003,2.991490431338198
colored_noise,0.9907841432264062,0.017783612571258482,0.9981765787936904,0.0018920158777540961,0.8124201920098715,0.309256543091333,2.627010519773995
