candidate,requires_distinction,requires_identity,requires_relation,requires_observer,fails_because,survives
pure_potential,True,False,False,False,'Potential' requires distinguishing it from 'actual'. The statement 'potential exists' distinguishes existence from non-existence.,False
undifferentiated_field,True,False,False,False,Identifying 'the field' distinguishes it from 'not the field'. Stating 'no internal structure' distinguishes structure from non-structure.,False
unlabeled_process,True,False,True,False,Detecting 'change' requires comparing two states. Comparison requires distinguishing the states being compared.,False
self_application,True,True,False,False,Ω(Ω) requires distinguishing Ω (the function) from Ω(Ω) (the result). The notation itself presupposes that 'function' and 'argument' are distinct. Self-application presupposes self-identity (Ω = Ω) which requires distinction.,False
recursive_possibility,True,False,False,False,Nesting requires distinguishing recursion depth levels. Depth 1 vs depth 2 vs depth 3 are distinctions. The ellipsis (...) implies a sequence of distinguishable steps.,False
null_operator,True,True,True,False,Ω(x) = x requires identifying x (identity) and recognizing output = input (comparison). 'No change' requires distinguishing 'changed' from 'unchanged'.,False
interaction_only,True,True,False,False,'Interaction' requires at least two interactants (distinction). Even 'self-interaction' Ω(Ω) requires distinguishing Ω from Ω(Ω). The concept 'interaction' is distinguished from 'non-interaction'.,False
pure_difference,True,False,False,False,'Difference' as primitive: to state 'there IS difference' distinguishes 'difference exists' from 'difference doesn't exist'. But MORE FUNDAMENTALLY: 'difference' requires at least two relata — the things that differ. Two relata = distinction. Even 'self-difference' (Ω ≠ Ω) requires distinguishing the two copies.,False
temporal_flux,True,False,True,False,"'Change' requires before/after (temporal distinction) and state1 ≠ state2 (state distinction). Even 'flux' implies something is flowing, which requires distinguishing the flow from non-flow.",False
monadic_self,True,False,False,False,"'One thing' requires distinguishing 'one' from 'zero' and 'two'. 'Self' requires distinguishing self from other (even if other doesn't exist). The statement 'there exists X' distinguishes existence from non-existence. But: IF the monad is truly the ONLY thing, then there is literally nothing to distinguish it from. The monad doesn't need distinction — it IS the undivided whole. However, this is precisely the 'undifferentiated field' candidate, which fails because identifying 'the monad' distinguishes it from non-existence.",False
