features,n_features,ARI,mean_cluster_variance,anova_F,anova_p
"('CSR',)",1,0.44829789175869306,0.044893949777552046,26.079643824294408,3.628818789339407e-09
"('ADI',)",1,0.18359855074776946,0.016633571857701934,8.179437304598743,0.00010974949294808057
"('RBS',)",1,0.3559950304486853,0.01018566455710943,38.46770981714132,5.89288801704549e-11
"('RTP',)",1,0.3895311904459408,0.1627237025353849,1.0199352714835723,0.4270887069429093
"('SRD',)",1,0.25711193568336427,0.11570888235066519,1.3262689454632912,0.2853929549916859
"('CSR', 'ADI')",2,0.4688489279070526,0.03528518754386137,25.317163157128924,4.9174084823352816e-09
"('CSR', 'RBS')",2,0.39741660396287937,0.012099366646645718,77.1796940887352,2.2306765734397002e-14
"('CSR', 'RTP')",2,0.24471502021176555,0.04837284241011384,8.536718824254917,8.02453274885888e-05
"('CSR', 'SRD')",2,0.3158298198543503,0.036982559640457956,27.546355401007933,2.0632493797287927e-09
"('ADI', 'RBS')",2,0.362811296024149,0.011428541011284953,39.57814721821215,4.318354503957265e-11
"('ADI', 'RTP')",2,0.38079084958158704,0.16231678272111508,3.4022143739183783,0.017600760149819244
"('ADI', 'SRD')",2,0.27906976744186046,0.13989725430238573,3.447085770875071,0.016627210752156302
"('RBS', 'RTP')",2,0.25386369394476815,0.016307118567476846,47.664161598868624,5.519372142928319e-12
"('RBS', 'SRD')",2,0.34908240974995824,0.02843596428793127,14.808808919977837,8.643743976105977e-07
"('RTP', 'SRD')",2,0.31831936841822117,0.18085195789765207,0.6095566120764396,0.6933657214226314
"('CSR', 'ADI', 'RBS')",3,0.4955193438496756,0.004685558032729814,182.63629167187108,7.727314604776106e-19
"('CSR', 'ADI', 'RTP')",3,0.3028485757121439,0.04012096637386884,21.576532769433275,2.4540682551991227e-08
"('CSR', 'ADI', 'SRD')",3,0.3614327290136444,0.039905889812678744,11.65191623626313,6.924322198170708e-06
"('CSR', 'RBS', 'RTP')",3,0.3578386851960138,0.009828950347444946,84.00058639593995,8.290017694326211e-15
"('CSR', 'RBS', 'SRD')",3,0.33882713683403604,0.008531930287457955,78.58164994941743,1.8082490395495623e-14
"('CSR', 'RTP', 'SRD')",3,0.33424595599316786,0.03536737544877162,26.395733087944226,3.2061155512180664e-09
"('ADI', 'RBS', 'RTP')",3,0.23671986868298817,0.020806489235941476,24.881077220618035,5.870505024419094e-09
"('ADI', 'RBS', 'SRD')",3,0.393045475904558,0.02804534097754399,15.974336955267162,4.337759720644539e-07
"('ADI', 'RTP', 'SRD')",3,0.40712302374341247,0.13206160934126898,4.176448527838905,0.006773197572944679
"('RBS', 'RTP', 'SRD')",3,0.34448911397692267,0.03524393854976731,12.956210325645618,2.811536224592456e-06
"('CSR', 'ADI', 'RBS', 'RTP')",4,0.31061692969870874,0.015254509691931498,44.5174088632937,1.1812842466257513e-11
"('CSR', 'ADI', 'RBS', 'SRD')",4,0.259437877122541,0.005682237766624583,77.93600674275378,1.9909419147615446e-14
"('CSR', 'ADI', 'RTP', 'SRD')",4,0.3614327290136444,0.029072677369540136,32.4308644466563,3.710210828343072e-10
"('CSR', 'RBS', 'RTP', 'SRD')",4,0.33882713683403604,0.008531930287457955,78.58164994941741,1.8082490395495674e-14
"('ADI', 'RBS', 'RTP', 'SRD')",4,0.27484523415717593,0.025196904974502016,19.58257329925181,6.339270266333631e-08
"('CSR', 'ADI', 'RBS', 'RTP', 'SRD')",5,0.3614327290136444,0.029072677369540136,32.430864446656265,3.7102108283431093e-10
