depth,sector,condition,rg_similarity,invariant_class_stability,motif_persistence,cross_operator_similarity,recursive_relational_coherence,collapse_path_dependence,invariant_survival_rate,classification
1,Projection,RelationalMotifExtraction,0.9182,0.8866,0.8696,0.9058,0.8471,0.8345,0.8763,INVARIANT-CLASS
2,Projection,RelationalMotifExtraction,0.8697,0.8558,0.8318,0.862,0.7966,0.7754,0.8292,INVARIANT-CLASS
4,Projection,RelationalMotifExtraction,0.7902,0.7819,0.7281,0.7845,0.745,0.7002,0.7292,RELATIONAL-STABLE
6,Projection,RelationalMotifExtraction,0.742,0.6972,0.6716,0.7025,0.6855,0.6537,0.6681,RELATIONAL-STABLE
8,Projection,RelationalMotifExtraction,0.674,0.6432,0.623,0.6502,0.6246,0.6084,0.6384,RELATIONAL-PARTIAL
12,Projection,RelationalMotifExtraction,0.5762,0.5536,0.5424,0.5667,0.5303,0.5253,0.5453,RELATIONAL-DEGRADING
16,Projection,RelationalMotifExtraction,0.502,0.4817,0.4727,0.4925,0.4591,0.4585,0.4753,RELATIONAL-DEGRADING
20,Projection,RelationalMotifExtraction,0.4586,0.4372,0.4242,0.4372,0.4279,0.4098,0.4225,RELATIONAL-DEGRADING
24,Projection,RelationalMotifExtraction,0.4103,0.3944,0.3854,0.4005,0.3787,0.3738,0.3776,RELATIONAL-FAILED
32,Projection,RelationalMotifExtraction,0.3373,0.3367,0.3158,0.325,0.3122,0.3143,0.3173,RELATIONAL-FAILED
40,Projection,RelationalMotifExtraction,0.3002,0.2855,0.2795,0.2795,0.2691,0.2688,0.2716,RELATIONAL-FAILED
48,Projection,RelationalMotifExtraction,0.2632,0.2449,0.2366,0.2453,0.2355,0.2315,0.2392,RELATIONAL-FAILED
64,Projection,RelationalMotifExtraction,0.2126,0.2016,0.1912,0.1966,0.1942,0.1863,0.1895,RELATIONAL-FAILED
80,Projection,RelationalMotifExtraction,0.1719,0.1639,0.1604,0.166,0.1613,0.153,0.1637,RELATIONAL-FAILED
1,Projection,InvariantClassClustering,0.9338,0.911,0.8723,0.8944,0.884,0.8361,0.8802,INVARIANT-CLASS
