depth,sector,condition,rg_similarity,interaction_coherence,collision_reproducibility,identity_retention_post_collision,recursive_exchange_stability,bounded_interaction_drift,interaction_gain,classification
1,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
20,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
40,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
48,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
64,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
80,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
96,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
128,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
160,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
192,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
256,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
320,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
512,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
768,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1024,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1536,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2048,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
3072,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4096,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6144,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8192,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12288,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16384,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24576,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32768,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
65536,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
131072,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
262144,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
524288,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1048576,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2097152,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4194304,Projection,PacketCollisionDynamics,0.96,0.96,0.94,0.93,0.9178,0.9035,0.93,INTERACTION-STABLE
8388608,Projection,PacketCollisionDynamics,0.9394,0.914,0.8839,0.8821,0.884,0.8792,0.8938,INTERACTION-STABLE
16777216,Projection,PacketCollisionDynamics,0.8434,0.8256,0.8042,0.7932,0.7815,0.7853,0.8043,INTERACTION-BOUNDED
1,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
20,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
40,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
48,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
64,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
80,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
96,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
128,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
160,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
192,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
