domain,add_r2,mult_gain,log_slope,tree_r2,continuity,sync,sym_inv
branching_nullC_0,0.002395561761967868,0.0034346719195892383,-0.03243479157289301,0.3933393157544227,-0.04817812105470054,,0.9997410336892185
branching_nullC_1,0.0007804128637692864,0.00659936079217438,0.006670301917545657,0.3215657225619626,-0.07783521851743802,,0.999748623277152
branching_nullC_2,0.013328731921766757,0.00618966329603754,-0.017775104884626147,0.31682654819354517,-0.03800620664469401,,0.9937429026623028
branching_nullC_3,0.005904568888306261,0.005217470322998463,-0.015226841365188449,0.33993361253064713,-0.03959120482606138,,0.9971135432307555
branching_nullC_4,0.02054368119991412,0.001702432847733304,0.022890546520710767,0.3684367506406395,-0.015166687790804767,,0.988218288636383
cellular_automata_nullC_0,0.004970121089249879,0.005272930794600672,0.3179100711824322,0.25882869028896904,-0.06894571755618517,,0.9990364546400903
cellular_automata_nullC_1,0.006143131573368987,0.038217724209537396,-0.23575311798232867,0.27129031878059207,-0.03230174675533393,,0.9988451893115384
cellular_automata_nullC_2,0.00561441052656364,0.02171398965770277,0.20441009749944858,0.3380466130295021,-0.056430437263234934,,0.9989834798155961
cellular_automata_nullC_3,0.012177921790788693,0.027791887400273496,0.0026267603662922497,0.3340408979860302,-0.04124368062283734,,0.9968702883753626
cellular_automata_nullC_4,0.02424941167348571,0.031060381158123818,0.07460880688338686,0.34384658356628384,-0.06004688973673744,,0.9948496648309546
coupled_map_lattice_nullC_0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
coupled_map_lattice_nullC_1,1.0,0.0,0.0,1.0,1.0,0.0,0.0
coupled_map_lattice_nullC_2,1.0,0.0,0.0,1.0,1.0,0.0,0.0
coupled_map_lattice_nullC_3,1.0,0.0,0.0,1.0,1.0,0.0,0.0
coupled_map_lattice_nullC_4,1.0,0.0,0.0,1.0,1.0,0.0,0.0
graph_diffusion_nullC_0,0.0022483512723570076,0.018020237380001802,-0.025085146292234246,0.462829048301172,-0.072029682496898,,0.9995318534394935
graph_diffusion_nullC_1,0.015972232448082768,0.015101995758344255,0.006392555371707849,0.44940723080235445,-0.005732386768970921,,0.9930676814190401
graph_diffusion_nullC_2,0.0030810723059903067,0.024236482379673685,0.02571628514628189,0.4813436883061727,-0.06581627576133742,,0.9995595226325144
graph_diffusion_nullC_3,0.01292916270686717,0.014287985852092455,0.05032574962382881,0.42474975359975553,-0.038888400702430825,,0.9996555669855687
graph_diffusion_nullC_4,0.005099939507900331,0.018294296668576293,0.019129350763855316,0.424446293635968,-0.017845097406351096,,0.9991810564774884
gray_scott_nullC_0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gray_scott_nullC_1,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gray_scott_nullC_2,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gray_scott_nullC_3,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gray_scott_nullC_4,1.0,0.0,0.0,1.0,1.0,0.0,0.0
kuramoto_nullC_0,0.0014556864442840656,0.0070509973102417245,0.23094936421131917,0.3698743102923334,-0.074546200774108,,0.9996069629652808
kuramoto_nullC_1,0.0029675822802460727,0.003890827138062991,-0.3870478714414326,0.36780234742595264,-0.05407348353509178,,0.9997536600554935
kuramoto_nullC_2,0.004748754982951353,0.02618049222017671,-0.1331663616986122,0.4002505012565011,-0.06771379307738057,,0.9988375095504637
kuramoto_nullC_3,0.009794347312541252,0.01637643527086119,0.2882287038859821,0.37494225770695855,-0.08250121584300163,,0.9970649580077112
kuramoto_nullC_4,0.0045134045303585335,0.006677034900772649,-0.12323058029053592,0.3349430278708533,-0.06932176119583544,,0.9990327721963669
lotka_volterra_nullC_0,0.015190441747477856,0.010485875107181242,0.003295096416190266,0.3240989828774884,-0.031011093166174675,,0.9959158344170217
lotka_volterra_nullC_1,0.0009252339723401226,0.0056816039174653055,4.4560216204882035e-05,0.42408292491408384,-0.07888710335913385,,0.9997575314044517
lotka_volterra_nullC_2,0.001402347840462781,0.008023243542141345,0.003352100566901278,0.3126297686785763,-0.06713537413955106,,0.9996341799162772
lotka_volterra_nullC_3,0.0005866113994205113,0.01235328339367825,-0.0021392321654808187,0.2787500617158739,-0.016405407898752777,,0.9998709607027144
lotka_volterra_nullC_4,0.004350922548083891,0.031238838599328855,0.001579242485346162,0.30098201383454815,-0.059147147771504205,,0.998608174324361
nonlinear_oscillator_nullC_0,0.004963521358171685,0.011181420700021927,0.007950706743971192,0.48556707135165933,-0.042542675614828385,,0.9985999479742386
nonlinear_oscillator_nullC_1,0.009227390210897024,0.014861716644589573,-0.14594617328873308,0.49825703476114824,-0.0792437578023022,,0.9981157433452851
nonlinear_oscillator_nullC_2,0.002486838599395025,0.014632937625410736,0.18073360526807952,0.48387223507906574,-0.05200341547704568,,0.9995102429005748
nonlinear_oscillator_nullC_3,0.007626033087153816,0.009527435286891595,-0.1241845598025574,0.5145060285495535,-0.06024316354646064,,0.9986829590529221
nonlinear_oscillator_nullC_4,0.016731961281709617,0.0071717767053738335,-0.14512052253732682,0.49436424044363814,-0.05153918686236114,,0.9963132172951843
population_nullC_0,0.004686896546819641,0.015386790026399755,0.06759805841408424,0.4069196712937254,-0.039482737484288766,,0.9996192315456484
population_nullC_1,0.010150743975525178,0.02811437380088444,-0.07474675262985664,0.42116678732181567,-0.05144784741673525,,0.9988592101125382
population_nullC_2,0.008493197646322614,0.015397952568224182,-0.005466431102802927,0.37715278923687623,-0.051178352732395016,,0.9976533352396489
population_nullC_3,0.004790295667732258,0.011768813164398817,-0.2997448338665683,0.3880716147697495,-0.047231937415370906,,0.9996934169828865
population_nullC_4,0.0034705435112292182,0.027952485341136257,-0.21652083491362423,0.3773137437712305,-0.0398380147244779,,0.999776836439482
replicator_nullC_0,0.014914013010999483,0.03694241130864595,-0.3155059635422462,0.2934967338143393,-0.03706794830016391,,0.9937539647339851
replicator_nullC_1,0.005987714532418087,0.007785285369199757,-0.17679195205480255,0.25233217946857656,-0.05615351103345345,,0.9979292173204936
replicator_nullC_2,0.0009439133272530764,0.012341228324582176,0.4027419994075566,0.2540969593170621,-0.0598380112843937,,0.9997816517296579
replicator_nullC_3,0.0037076752008741165,0.014833866149895791,0.027241291425498672,0.3129616095080159,-0.042238362332290835,,0.9988341151552772
replicator_nullC_4,0.004772890085407933,0.017788357250304143,0.6302403783810695,0.2782782404532185,-0.04784189209200074,,0.9986695981913124
