system,stability,cluster,boundary_ratio,multi_access,triadic_access,spread
EnergyMomentumConservation,1.036115,0,0.14558894623066282,1.151576634798345,0.3852480900136661,0.2979294904778584
ChemicalEquilibriumNetwork,1.068225,0,0.11399434525227498,0.9592305090046954,0.39534340041489563,0.3298062096310585
SuperconductorCoherence,1.111627,0,0.20306229835617023,0.9703524510915575,0.4395812703949864,0.3800757398363454
DoubleSlitInterference,1.068225,0,0.11399434525227498,0.9592305090046954,0.39534340041489563,0.3298062096310585
TurbulenceEnergyCascade,1.111627,0,0.20306229835617023,0.9703524510915575,0.4395812703949864,0.3800757398363454
reaction_diffusion,0.344045,1,0.1067186169105376,0.3672106038191509,0.33229598131309857,0.5029221379523366
synchronized_oscillators,0.80142,5,0.55971177482644,1.5562854446595984,1.4919429037624643,0.6048442263325613
recursive_market,0.293974,2,0.15775347898969913,0.6046775455582802,0.37406776627572563,0.43248302669249283
predator_prey_cycles,0.370164,2,0.2556785020449878,0.8591973818141823,0.4641377243326933,0.43460784154544335
neural_cascade,0.192496,1,0.16370544728926706,0.45730915595134913,0.35104361672831413,0.48149419958309414
avalanche_redistribution,-0.553197,4,0.0,0.3307388328472351,0.23992664074426437,0.4204330757464178
percolation_transport,0.586377,5,0.4222496527723413,1.3060021382508067,0.7815680068372108,0.506152784582105
CrystallizationFromLiquid,0.960019,0,0.20168339579628186,1.3165348836057897,0.3922489873762949,0.29432702185840953
LaserOpticalCoherence,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
FerromagneticMagnetization,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
ElectronTransportMesoscopic,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
LimitCycleOscillations,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
HeatTransportPhononic,0.960019,0,0.20168339579628186,1.3165348836057897,0.3922489873762949,0.29432702185840953
StrangeAttractorLorenz,0.968782,0,0.19407070254967515,1.2264377936828672,0.3831644450479511,0.30094248055464146
AndersonLocalization,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
PhaseEquilibriumMulticomponent,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
PhotonicBandgapLocalization,0.812712,5,0.8386950872814758,9.694271045789414,0.5661776695745532,0.3380387102450434
CriticalPhenomenaScaling,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
ChargeConservationEM,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
StandingWavePatterns,0.9978,0,0.10854652891305583,1.0662902229606985,0.3671741121222776,0.2912694430647017
random_walk,0.456684,2,0.23181106210171612,0.6237898782622262,0.39894333075397415,0.46225855887514106
static_equilibrium,1.979348,3,0.0,0.3578253454496607,0.2716373860124836,0.43153847222849023
memoryless_diffusion,0.464011,1,0.18241942778724415,0.41586757268852675,0.38388277197111376,0.5253937492610464
white_noise,0.672086,5,0.37878264426157987,1.1573060486877065,1.099043604566981,0.5717022438702002
disconnected_flow,1.152038,0,0.8177322532841592,4.189150074857832,0.6896216978218267,0.48567906497494157
monotonic_decay,0.809127,5,0.8200364474625916,3.8467156554718938,0.8042490506537084,0.5198861039181889
