domain1,domain2,cosine_sim_mean,pearson_r_mean,l2_mean,distribution_corr
branching,branching,0.9999999999999899,1.0,0.0,1.0
branching,cellular_automata,0.9999645163300179,0.9999617598359624,49.90933003157596,0.19985629507833336
branching,coupled_map_lattice,0.9999631807848767,0.9999856723879437,71907.21899704316,0.06030880307660353
branching,graph_diffusion,0.9956948171128507,0.9960033499816213,86.15953345666126,0.16960750064929395
branching,gray_scott,0.9999751002219219,0.999992832406143,602.3151027577497,0.13915337007671547
branching,kuramoto,0.999996161265278,0.9999961773795356,66.28983156735555,0.32054735997883377
branching,lotka_volterra,0.9999509916192951,0.9999465846601229,16.231060211966927,0.41002149567257484
branching,nonlinear_oscillator,0.9969318050298699,0.9977829968798115,87.67930912672178,0.35232885915133777
branching,population,0.9999986460151714,0.9999993613249663,7.322893207593993,0.22612595818218237
branching,replicator,0.9999680580143705,0.9999899034216085,1380.7707349737245,0.06682391842697485
cellular_automata,cellular_automata,0.9999999999999958,0.9999999999999999,0.0,0.9999999999999993
cellular_automata,coupled_map_lattice,0.9999424960977816,0.9999890527065894,71857.32519098706,0.08144368605095122
cellular_automata,graph_diffusion,0.9952953260560073,0.995349782346588,136.06087437582013,0.07341980003073056
cellular_automata,gray_scott,0.999944916988619,0.9999817352009893,552.4239266308442,0.08360732724475477
cellular_automata,kuramoto,0.9999439510228068,0.9999416317122918,16.474686286707684,0.2325133376974602
cellular_automata,lotka_volterra,0.9998608334576325,0.9998315012859137,66.13095254478891,0.2744782410480294
cellular_automata,nonlinear_oscillator,0.9965875074642483,0.9971839091087722,137.58071597038057,0.2688804328584567
cellular_automata,population,0.9999680626638912,0.999962703097791,42.58980535755467,0.1831152497292332
cellular_automata,replicator,0.9999421165952497,0.9999862945015581,1330.8782007661116,0.03429673302147325
coupled_map_lattice,coupled_map_lattice,0.9999999999999998,1.0,0.0,1.0
coupled_map_lattice,graph_diffusion,0.9950159564775751,0.9956128221196227,71993.37496352944,0.010588784211381583
coupled_map_lattice,gray_scott,0.9999982693305619,0.99999841202168,71304.90433892113,0.10436630153440317
coupled_map_lattice,kuramoto,0.9999624318830417,0.999975733515576,71840.93269604997,0.09165352224237379
coupled_map_lattice,lotka_volterra,0.9998618314849085,0.999895812970615,71923.43283518527,0.12570275553311222
coupled_map_lattice,nonlinear_oscillator,0.9962918737497052,0.9974712756266099,71994.89730318238,0.13928480785019182
coupled_map_lattice,population,0.9999529783421686,0.9999852962625528,71899.89943451511,0.028574388893433427
coupled_map_lattice,replicator,0.9999996053678727,0.9999995492758769,70526.44859716368,-0.0012715982144642054
graph_diffusion,graph_diffusion,0.9999999999994494,1.0,0.0,1.0
graph_diffusion,gray_scott,0.9951894815970241,0.9957659893312141,688.4707662067924,0.049722929781478034
graph_diffusion,kuramoto,0.9957886933660524,0.9961884303959307,152.44309325080206,0.12148327987922486
graph_diffusion,lotka_volterra,0.9964490928295243,0.9967585304370389,69.94353830100772,0.1765416153818485
graph_diffusion,nonlinear_oscillator,0.9989758930192801,0.9987149589218918,1.6484202287329524,0.18899855049818592
graph_diffusion,population,0.9957019030484645,0.9959373238284082,93.4796398861431,0.13890841147253355
graph_diffusion,replicator,0.9950957133688293,0.9956978365017195,1466.9264811424882,0.0025473554262084516
gray_scott,gray_scott,0.9999999999999997,0.9999999999999999,0.0,0.9999999999999994
gray_scott,kuramoto,0.9999763258978366,0.9999865248853306,536.028479932697,0.19302283445766835
gray_scott,lotka_volterra,0.9998902826421969,0.9999194940224874,618.5285704741066,0.24688448035771324
gray_scott,nonlinear_oscillator,0.9964423937482763,0.9975923571867751,689.9931203627028,0.24597283806577366
gray_scott,population,0.999965499194775,0.9999917857828039,594.9956389465724,0.14904147804497495
gray_scott,replicator,0.9999994180631885,0.9999996019967354,778.4558882496282,0.01051868841990799
kuramoto,kuramoto,0.9999999999999966,0.9999999999999999,0.0,1.0
kuramoto,lotka_volterra,0.9999661287614385,0.9999700969966105,82.50052973454585,0.545588907888079
kuramoto,nonlinear_oscillator,0.9969890590198159,0.9979283735453363,153.9653062649422,0.5592886996983993
kuramoto,population,0.999991564137025,0.9999934193418317,58.97048641600644,0.36135350893822
kuramoto,replicator,0.9999684873487503,0.9999816528397052,1314.484336078291,0.09166097539308049
lotka_volterra,lotka_volterra,0.9999999999999858,1.0,0.0,0.999999999999998
lotka_volterra,nonlinear_oscillator,0.9975647143757158,0.998375374468165,71.4656502255042,0.6259004587685442
lotka_volterra,population,0.9999482145122741,0.9999393454142466,23.546508592167537,0.406363148855254
lotka_volterra,replicator,0.9998739578098464,0.9999080489305086,1396.9844372065568,0.11477773137541494
nonlinear_oscillator,nonlinear_oscillator,0.9999999999992978,1.0,0.0,0.9999999999999992
nonlinear_oscillator,population,0.9969798947981628,0.9977618512638778,94.99920505533063,0.4033712363865525
nonlinear_oscillator,replicator,0.9963510175207818,0.9975301651779197,1468.4489425852737,0.12560456273535087
population,population,0.9999999999999911,1.0,0.0,0.9999999999999999
population,replicator,0.9999577467021137,0.9999890954925076,1373.4512681326103,0.09404023991096834
replicator,replicator,1.0,1.0,0.0,1.0
