domain,predictor_set,R2
branching,combined,0.2742999753393247
branching,curvature,0.22813983458679257
branching,raw_descriptors,0.15942234523518134
cellular_automata,combined,0.18705446808692275
cellular_automata,curvature,0.11096560584197855
cellular_automata,raw_descriptors,0.16257837097356417
coupled_map_lattice,combined,0.4761697053554046
coupled_map_lattice,curvature,0.14255576879924145
coupled_map_lattice,raw_descriptors,0.45833937837494815
graph_diffusion,combined,0.5199355012546659
graph_diffusion,curvature,0.31483300030768696
graph_diffusion,raw_descriptors,0.5050962011104437
gray_scott,combined,0.28658058713171736
gray_scott,curvature,0.23969520001458777
gray_scott,raw_descriptors,0.2536107686443338
kuramoto,combined,0.313819777919885
kuramoto,curvature,0.18979018981475607
kuramoto,raw_descriptors,0.30974499748812095
lotka_volterra,combined,0.10285187581759452
lotka_volterra,curvature,0.05932248376199567
lotka_volterra,raw_descriptors,0.09922029214844863
nonlinear_oscillator,combined,0.3545099463969996
nonlinear_oscillator,curvature,0.2253536711643087
nonlinear_oscillator,raw_descriptors,0.33826859261920816
population,combined,0.528075455143227
population,curvature,0.29981656448191746
population,raw_descriptors,0.5058877345067819
replicator,combined,0.07649177734425183
replicator,curvature,0.03615521796770791
replicator,raw_descriptors,0.06602592689921245
