source,target,same_domain,possibility_metric,transfer_R2,spearman_r
branching,branching,True,poss_reachable_volume,0.30521929004184445,0.48566467162229265
branching,branching,True,poss_branching_diversity,0.379192597719925,0.4800693461399185
branching,branching,True,poss_adaptive_recovery,0.07938952488923723,0.28991777631687643
branching,branching,True,poss_future_entropy,0.08880978792941774,0.30122312390336486
branching,branching,True,poss_divergence_capacity,0.5201063180933934,0.7604745681253668
branching,branching,True,poss_stability_fertility_coupling,-0.003878511158735165,0.04352718292685556
branching,cellular_automata,False,poss_reachable_volume,-9947671322.29814,0.4317364679073362
branching,cellular_automata,False,poss_branching_diversity,-5.9048979756006075,0.09806480471758602
branching,cellular_automata,False,poss_adaptive_recovery,-93.76625140110059,-0.023425817538333525
branching,cellular_automata,False,poss_future_entropy,-0.05278370747465888,0.15359099930085832
branching,cellular_automata,False,poss_divergence_capacity,-1345755093.5947497,-0.4969171878576596
branching,cellular_automata,False,poss_stability_fertility_coupling,-6.53337096437388,-0.1594558717121352
branching,coupled_map_lattice,False,poss_reachable_volume,-0.1429039307799107,-0.017471370701405486
branching,coupled_map_lattice,False,poss_branching_diversity,-2.1514171407816267,-0.19441565766263064
branching,coupled_map_lattice,False,poss_adaptive_recovery,-17.063455165820816,0.20118627674510695
branching,coupled_map_lattice,False,poss_future_entropy,-0.5722526002400989,0.23335917343669374
branching,coupled_map_lattice,False,poss_divergence_capacity,-6644159894.431387,0.09904868419473677
branching,coupled_map_lattice,False,poss_stability_fertility_coupling,-0.2160682179130986,0.28294925327644277
branching,graph_diffusion,False,poss_reachable_volume,-13965487127.405294,0.43715286113383134
branching,graph_diffusion,False,poss_branching_diversity,-9.58399371303056,-0.17743869970132445
branching,graph_diffusion,False,poss_adaptive_recovery,-1201.3221620389131,0.14601890149187488
branching,graph_diffusion,False,poss_future_entropy,-215.781078100639,0.08091472372081296
branching,graph_diffusion,False,poss_divergence_capacity,-288068161748518.25,-0.09991824865605266
branching,graph_diffusion,False,poss_stability_fertility_coupling,-398138.94191544893,-0.3913574656473809
branching,gray_scott,False,poss_reachable_volume,-8.107670310755092,-0.5469273956837917
branching,gray_scott,False,poss_branching_diversity,-0.23064577530515606,0.24005431155431622
branching,gray_scott,False,poss_adaptive_recovery,-33.31103489552232,0.18545395210208737
branching,gray_scott,False,poss_future_entropy,-1.2938679832380613,0.21322833802526842
branching,gray_scott,False,poss_divergence_capacity,-227338248.24653235,-0.1483113613192706
branching,gray_scott,False,poss_stability_fertility_coupling,-0.8971978912418257,0.28678119375632455
branching,kuramoto,False,poss_reachable_volume,-5.662838107152976,-0.0622918743460807
branching,kuramoto,False,poss_branching_diversity,-0.8328559268071334,0.03972841491365965
branching,kuramoto,False,poss_adaptive_recovery,-3896.3401221354115,-0.021869655478621915
branching,kuramoto,False,poss_future_entropy,-0.4478304933728099,-0.04990896763587055
branching,kuramoto,False,poss_divergence_capacity,-6022295997.996464,-0.07053685814743259
branching,kuramoto,False,poss_stability_fertility_coupling,-0.5825168525037909,-0.08360433441733765
branching,lotka_volterra,False,poss_reachable_volume,-2087.785953847942,-0.2671992827097812
branching,lotka_volterra,False,poss_branching_diversity,-17.866724500924775,-0.08236391345565382
branching,lotka_volterra,False,poss_adaptive_recovery,-21700.87142346498,-0.02758254233016932
branching,lotka_volterra,False,poss_future_entropy,-23.863635604904676,-0.05952100608402434
branching,lotka_volterra,False,poss_divergence_capacity,-22215.358897965005,-0.3827719630878524
branching,lotka_volterra,False,poss_stability_fertility_coupling,-53.061799530109234,0.025226308905235622
branching,nonlinear_oscillator,False,poss_reachable_volume,-8.035546370334183,0.21099790062061646
branching,nonlinear_oscillator,False,poss_branching_diversity,-5.594911564530213,-0.10963963855855421
branching,nonlinear_oscillator,False,poss_adaptive_recovery,-93.39243223435993,-0.13496895587582347
branching,nonlinear_oscillator,False,poss_future_entropy,-0.2300100865473409,-0.01431068124272497
branching,nonlinear_oscillator,False,poss_divergence_capacity,-242027231.1488041,-0.0991126204504818
branching,nonlinear_oscillator,False,poss_stability_fertility_coupling,-4.785989409301698,-0.23051612206448824
branching,population,False,poss_reachable_volume,-0.2198671682469051,-0.39376582828236706
branching,population,False,poss_branching_diversity,-2.955213254354195,-0.03558494233976935
branching,population,False,poss_adaptive_recovery,-28.234229715220422,0.039908127632510525
branching,population,False,poss_future_entropy,-2.29734276675755,-0.4086180504722019
branching,population,False,poss_divergence_capacity,-900905491.3166144,0.05344721551188597
branching,population,False,poss_stability_fertility_coupling,-0.10491607555755178,0.14583949403183752
branching,replicator,False,poss_reachable_volume,-392238.82297647477,-0.02217925830336849
branching,replicator,False,poss_branching_diversity,-1.3270342514086928,0.13245249780999122
branching,replicator,False,poss_adaptive_recovery,-131.75015615715378,0.11474532298129193
branching,replicator,False,poss_future_entropy,-73.06152190803154,-0.0721008004032016
branching,replicator,False,poss_divergence_capacity,-2628347840058.722,0.04535403741614966
branching,replicator,False,poss_stability_fertility_coupling,-2020.1396401918357,0.06793543974175897
cellular_automata,branching,False,poss_reachable_volume,-2.100661584252162,0.464119101710284
cellular_automata,branching,False,poss_branching_diversity,-1.0333270220076147,-0.32392327278366445
cellular_automata,branching,False,poss_adaptive_recovery,-0.3711451131443435,0.0067456642889746335
cellular_automata,branching,False,poss_future_entropy,-3.2742305065149226,-0.0300718015979683
cellular_automata,branching,False,poss_divergence_capacity,-3.1760940373167603,-0.6205734967054672
cellular_automata,branching,False,poss_stability_fertility_coupling,-4.999501050789272,0.13050661819332846
cellular_automata,cellular_automata,True,poss_reachable_volume,0.004558248797757014,0.4177583539816117
cellular_automata,cellular_automata,True,poss_branching_diversity,-0.01912134854150893,0.0425495084769483
cellular_automata,cellular_automata,True,poss_adaptive_recovery,0.007488760894340696,0.052898046222219136
cellular_automata,cellular_automata,True,poss_future_entropy,0.20521967521589723,0.7060086189704079
cellular_automata,cellular_automata,True,poss_divergence_capacity,0.3039357460067259,0.7132130562943446
cellular_automata,cellular_automata,True,poss_stability_fertility_coupling,0.16371255267797558,0.3859449302120202
cellular_automata,coupled_map_lattice,False,poss_reachable_volume,-0.3779795305008862,-0.25169089756277413
cellular_automata,coupled_map_lattice,False,poss_branching_diversity,-0.42863153142318833,0.09678192312769252
cellular_automata,coupled_map_lattice,False,poss_adaptive_recovery,-0.668498908644505,-0.3336352225408902
cellular_automata,coupled_map_lattice,False,poss_future_entropy,-2.2503456554906784,-0.40456789027156104
cellular_automata,coupled_map_lattice,False,poss_divergence_capacity,-2.1945128938630085,-0.16832803331213322
cellular_automata,coupled_map_lattice,False,poss_stability_fertility_coupling,-0.4555295471448697,-0.007088518279036165
cellular_automata,graph_diffusion,False,poss_reachable_volume,-0.8003729553420482,-0.03888089754708928
cellular_automata,graph_diffusion,False,poss_branching_diversity,-48.20874289883708,-0.3722041388158508
cellular_automata,graph_diffusion,False,poss_adaptive_recovery,-0.8429943105196456,0.012336431296287155
cellular_automata,graph_diffusion,False,poss_future_entropy,-463.68517170763215,0.6606912910156268
cellular_automata,graph_diffusion,False,poss_divergence_capacity,-214899.28502284212,-0.2337952809034034
cellular_automata,graph_diffusion,False,poss_stability_fertility_coupling,-39962.217354501016,0.018139978786842
cellular_automata,gray_scott,False,poss_reachable_volume,-14.181734054605013,-0.3384637669797222
cellular_automata,gray_scott,False,poss_branching_diversity,-0.7923633279417654,0.18482163638244054
cellular_automata,gray_scott,False,poss_adaptive_recovery,-0.7810952730766649,-0.051974255637881286
cellular_automata,gray_scott,False,poss_future_entropy,-7.746642104920392,-0.13522426222033604
cellular_automata,gray_scott,False,poss_divergence_capacity,-0.2730023714207004,0.17122303199706793
cellular_automata,gray_scott,False,poss_stability_fertility_coupling,-4.281445376610355,-0.4296703492433821
cellular_automata,kuramoto,False,poss_reachable_volume,-11.661165989424509,0.31442427402705286
cellular_automata,kuramoto,False,poss_branching_diversity,-1.5333613555107037,-0.15242355369421476
cellular_automata,kuramoto,False,poss_adaptive_recovery,-1.7435980207052126,-0.046454105816423265
cellular_automata,kuramoto,False,poss_future_entropy,-2.7428592276383488,-0.2258366793467174
cellular_automata,kuramoto,False,poss_divergence_capacity,-1.3019063349581765,-0.05688809955239821
cellular_automata,kuramoto,False,poss_stability_fertility_coupling,-4.437821546719788,-0.00022924891699566797
cellular_automata,lotka_volterra,False,poss_reachable_volume,-17.799639092611034,-0.2018239867114083
