,domain1,domain2,mutual_transfer_R2,cosine_sim
0,cellular_automata,branching,-941118878.092096,0.9999645163300179
1,coupled_map_lattice,branching,-553679993.8809485,0.9999631807848767
2,coupled_map_lattice,cellular_automata,-1202036360.2041738,0.9999424960977816
3,graph_diffusion,branching,-24006843969602.562,0.9956948171128507
4,graph_diffusion,cellular_automata,-21282.17437728556,0.9952953260560073
5,graph_diffusion,coupled_map_lattice,-2178729344.124735,0.9950159564775751
6,gray_scott,branching,-18944859.842734784,0.9999751002219219
7,gray_scott,cellular_automata,-9167671806.892683,0.999944916988619
8,gray_scott,coupled_map_lattice,-2.299052464467959,0.9999982693305619
9,gray_scott,graph_diffusion,-11911020538.546007,0.9951894815970241
10,kuramoto,branching,-501858326.6433001,0.999996161265278
11,kuramoto,cellular_automata,-7565356147.929546,0.9999439510228068
12,kuramoto,coupled_map_lattice,-13.465636179453082,0.9999624318830417
13,kuramoto,graph_diffusion,-11593551659.79599,0.9957886933660524
14,kuramoto,gray_scott,-9.061390219353271,0.9999763258978366
15,lotka_volterra,branching,-3845.037907784408,0.9999509916192951
16,lotka_volterra,cellular_automata,-6397235.416775668,0.9998608334576325
17,lotka_volterra,coupled_map_lattice,-57620.476616857835,0.9998618314849085
18,lotka_volterra,graph_diffusion,-2617216140.7751584,0.9964490928295243
19,lotka_volterra,gray_scott,-4072.9056869441238,0.9998902826421969
20,lotka_volterra,kuramoto,-50109.32726080964,0.9999661287614385
21,nonlinear_oscillator,branching,-20168945.941754885,0.9969318050298699
22,nonlinear_oscillator,cellular_automata,-57959443.97443179,0.9965875074642483
23,nonlinear_oscillator,coupled_map_lattice,-3.3195090240281164,0.9962918737497052
24,nonlinear_oscillator,graph_diffusion,-102221665.69449054,0.9989758930192801
25,nonlinear_oscillator,gray_scott,-13.244252826828147,0.9964423937482763
26,nonlinear_oscillator,kuramoto,-19.089203398522336,0.9969890590198159
27,nonlinear_oscillator,lotka_volterra,-1904.7606312125781,0.9975647143757158
28,population,branching,-75075461.75293855,0.9999986460151714
29,population,cellular_automata,-1294331475.0681913,0.9999680626638912
30,population,coupled_map_lattice,-1.1373115570116896,0.9999529783421686
31,population,graph_diffusion,-4895121562.528186,0.9957019030484645
32,population,gray_scott,-2.2079271016329813,0.999965499194775
33,population,kuramoto,-18.861785170436562,0.999991564137025
34,population,lotka_volterra,-7960.036648830683,0.9999482145122741
35,population,nonlinear_oscillator,-7.012953631573953,0.9969798947981628
36,replicator,branching,-219029019545.06943,0.9999680580143705
37,replicator,cellular_automata,-3021.2010393083665,0.9999421165952497
38,replicator,coupled_map_lattice,-69540.37802978244,0.9999996053678727
39,replicator,graph_diffusion,-3924.508252204295,0.9950957133688293
40,replicator,gray_scott,-379822.0333492197,0.9999994180631885
41,replicator,kuramoto,-310027.6973405591,0.9999684873487503
42,replicator,lotka_volterra,-23932879.813748423,0.9998739578098464
43,replicator,nonlinear_oscillator,-2571.970823904334,0.9963510175207818
44,replicator,population,-44783.030437845584,0.9999577467021137
