sector,depth,mean_variance,retention_score,topology_stability,rg_stability,entropy_drift,classification
projection,1,0.000065,0.7054,STABLE,True,0.6063,CONSERVED
projection,3,0.000048,0.8338,STABLE,True,0.4498,CONSERVED
projection,6,0.000053,0.7638,STABLE,True,0.5467,CONSERVED
projection,9,0.000051,0.7863,STABLE,True,0.5188,CONSERVED
projection,12,0.000053,0.7515,STABLE,True,0.5607,CONSERVED
projection,15,0.000058,0.7661,STABLE,True,0.5440,CONSERVED
projection,20,0.000066,0.6957,STABLE,True,0.6145,CONSERVED
antisymmetry,1,0.000657,0.0000,UNSTABLE,True,-0.0000,NONCONSERVING
antisymmetry,3,0.000800,0.0000,UNSTABLE,True,-0.0000,NONCONSERVING
antisymmetry,6,0.000636,0.0000,UNSTABLE,True,-0.0000,NONCONSERVING
antisymmetry,9,0.001386,0.0000,UNSTABLE,True,-0.0000,NONCONSERVING
antisymmetry,12,0.000612,0.0000,UNSTABLE,True,-0.0000,NONCONSERVING
antisymmetry,15,0.001176,0.0000,UNSTABLE,True,-0.0000,NONCONSERVING
antisymmetry,20,0.000688,0.0000,UNSTABLE,True,-0.0000,NONCONSERVING
neutral,1,0.000168,0.2822,WEAKLY_STABLE,True,0.5950,METASTABLY_CONSERVED
neutral,3,0.000143,0.1875,WEAKLY_STABLE,True,0.4826,WEAKLY_STABLE
neutral,6,0.000153,0.2081,WEAKLY_STABLE,True,0.5114,WEAKLY_STABLE
neutral,9,0.000163,0.2432,WEAKLY_STABLE,True,0.5548,METASTABLY_CONSERVED
neutral,12,0.000152,0.2515,WEAKLY_STABLE,True,0.5640,METASTABLY_CONSERVED
neutral,15,0.000168,0.2803,WEAKLY_STABLE,True,0.5932,METASTABLY_CONSERVED
neutral,20,0.000164,0.2467,WEAKLY_STABLE,True,0.5586,METASTABLY_CONSERVED
