depth,sector,interlock_strength,cooperative_amplification,destabilization_isolation,persistence_dependency,recursive_interlock_stability,rg_similarity,classification
1,Projection,0.9431,0.2451,0.7906,0.9209,0.8849,0.8492,WEAKLY_INTERLOCKED
2,Projection,0.9107,0.2341,0.7874,0.9198,0.8727,0.88,WEAKLY_INTERLOCKED
4,Projection,0.8968,0.2505,0.7569,0.8853,0.8463,0.8745,INTERLOCKED
6,Projection,0.8859,0.2619,0.7565,0.8779,0.8401,0.8265,INTERLOCKED
8,Projection,0.8451,0.2301,0.7207,0.853,0.8063,0.8386,WEAKLY_INTERLOCKED
12,Projection,0.8156,0.2508,0.6805,0.8145,0.7702,0.7694,WEAKLY_INTERLOCKED
16,Projection,0.7534,0.0,0.6689,0.7708,0.731,0.728,COLLAPSING
20,Projection,0.7309,0.0,0.6161,0.7354,0.6941,0.6986,COLLAPSING
1,Antisymmetry,0.8893,0.2088,0.7452,0.8865,0.8404,0.8518,WEAKLY_INTERLOCKED
2,Antisymmetry,0.8743,0.2045,0.7461,0.8486,0.823,0.8799,WEAKLY_INTERLOCKED
4,Antisymmetry,0.8321,0.2179,0.7331,0.8267,0.7973,0.8632,WEAKLY_INTERLOCKED
6,Antisymmetry,0.8085,0.1965,0.724,0.8079,0.7801,0.8414,WEAKLY_INTERLOCKED
8,Antisymmetry,0.7915,0.1903,0.6731,0.7927,0.7524,0.8154,WEAKLY_INTERLOCKED
12,Antisymmetry,0.7679,0.1905,0.6663,0.761,0.7317,0.8094,WEAKLY_INTERLOCKED
16,Antisymmetry,0.7077,0.0,0.6149,0.7023,0.675,0.7683,COLLAPSING
20,Antisymmetry,0.6845,0.0,0.6082,0.6723,0.655,0.7426,COLLAPSING
1,Neutral,0.8164,0.1435,0.7178,0.7908,0.775,0.8574,DEPENDENCY-DEGRADING
2,Neutral,0.7868,0.1587,0.6958,0.7903,0.7576,0.8466,WEAKLY_INTERLOCKED
4,Neutral,0.7541,0.1749,0.6728,0.7684,0.7318,0.8309,WEAKLY_INTERLOCKED
6,Neutral,0.7439,0.1556,0.6377,0.7432,0.7083,0.8216,DEPENDENCY-DEGRADING
8,Neutral,0.7464,0.1647,0.6376,0.7289,0.7043,0.8342,DEPENDENCY-DEGRADING
12,Neutral,0.6928,0.1531,0.6029,0.6834,0.6597,0.7917,DEPENDENCY-DEGRADING
16,Neutral,0.6673,0.0,0.5577,0.6704,0.6318,0.7592,COLLAPSING
20,Neutral,0.6345,0.0,0.5546,0.6289,0.606,0.7498,COLLAPSING
1,Projection-Antisymmetry,0.8141,0.1755,0.6816,0.8147,0.7701,0.8448,WEAKLY_INTERLOCKED
2,Projection-Antisymmetry,0.7917,0.1516,0.6847,0.7873,0.7546,0.848,WEAKLY_INTERLOCKED
4,Projection-Antisymmetry,0.7583,0.172,0.6771,0.7667,0.734,0.8317,WEAKLY_INTERLOCKED
6,Projection-Antisymmetry,0.7623,0.1606,0.635,0.7446,0.714,0.8395,DEPENDENCY-DEGRADING
8,Projection-Antisymmetry,0.7131,0.1437,0.6362,0.7413,0.6969,0.8119,DEPENDENCY-DEGRADING
12,Projection-Antisymmetry,0.7012,0.1748,0.6081,0.6939,0.6677,0.7629,DEPENDENCY-DEGRADING
16,Projection-Antisymmetry,0.6559,0.0,0.5654,0.6622,0.6278,0.7737,COLLAPSING
20,Projection-Antisymmetry,0.6197,0.0,0.5562,0.6312,0.6024,0.7054,COLLAPSING
1,Projection-Neutral,0.8232,0.18,0.6827,0.8164,0.7741,0.8778,WEAKLY_INTERLOCKED
2,Projection-Neutral,0.7888,0.1521,0.6862,0.7953,0.7568,0.8882,WEAKLY_INTERLOCKED
4,Projection-Neutral,0.7756,0.145,0.6782,0.7734,0.7424,0.822,DEPENDENCY-DEGRADING
6,Projection-Neutral,0.7438,0.1524,0.6498,0.7492,0.7143,0.823,DEPENDENCY-DEGRADING
8,Projection-Neutral,0.7177,0.1714,0.6438,0.7313,0.6976,0.793,DEPENDENCY-DEGRADING
12,Projection-Neutral,0.6973,0.1819,0.6155,0.6816,0.6648,0.7747,DEPENDENCY-DEGRADING
16,Projection-Neutral,0.6465,0.0,0.5701,0.661,0.6259,0.7517,COLLAPSING
20,Projection-Neutral,0.6248,0.0,0.555,0.6388,0.6062,0.7242,COLLAPSING
1,Antisymmetry-Neutral,0.7891,0.1763,0.6965,0.8015,0.7623,0.8732,WEAKLY_INTERLOCKED
2,Antisymmetry-Neutral,0.7745,0.1518,0.6853,0.7852,0.7484,0.8574,WEAKLY_INTERLOCKED
4,Antisymmetry-Neutral,0.7794,0.1455,0.6596,0.7635,0.7342,0.8279,DEPENDENCY-DEGRADING
6,Antisymmetry-Neutral,0.7563,0.1731,0.6606,0.7309,0.7159,0.8062,WEAKLY_INTERLOCKED
8,Antisymmetry-Neutral,0.726,0.1797,0.6241,0.719,0.6897,0.8371,DEPENDENCY-DEGRADING
12,Antisymmetry-Neutral,0.7075,0.1655,0.6133,0.6866,0.6691,0.7668,DEPENDENCY-DEGRADING
16,Antisymmetry-Neutral,0.6686,0.0,0.5867,0.6438,0.6331,0.7802,COLLAPSING
20,Antisymmetry-Neutral,0.6223,0.0,0.5347,0.6203,0.5924,0.7001,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8116,0.1643,0.7177,0.8151,0.7815,0.8925,WEAKLY_INTERLOCKED
2,Projection-Antisymmetry-Neutral,0.7779,0.1582,0.6997,0.7766,0.7514,0.8628,WEAKLY_INTERLOCKED
4,Projection-Antisymmetry-Neutral,0.7618,0.1679,0.6803,0.7531,0.7318,0.8455,WEAKLY_INTERLOCKED
6,Projection-Antisymmetry-Neutral,0.7584,0.1706,0.667,0.7557,0.727,0.8538,WEAKLY_INTERLOCKED
8,Projection-Antisymmetry-Neutral,0.7424,0.1703,0.6292,0.7211,0.6976,0.8103,DEPENDENCY-DEGRADING
12,Projection-Antisymmetry-Neutral,0.6982,0.1441,0.5882,0.6771,0.6545,0.7706,DEPENDENCY-DEGRADING
16,Projection-Antisymmetry-Neutral,0.6671,0.0,0.5724,0.6693,0.6362,0.7775,COLLAPSING
20,Projection-Antisymmetry-Neutral,0.6364,0.0,0.5534,0.6208,0.6036,0.7021,COLLAPSING
