threshold,largest_component,num_components,susceptibility,normalized_component
-0.553197,31,1,0.0,1.0
-0.5015124081632654,30,1,0.0,0.967741935483871
-0.4498278163265307,30,1,0.0,0.967741935483871
-0.39814322448979594,30,1,0.0,0.967741935483871
-0.34645863265306126,30,1,0.0,0.967741935483871
-0.2947740408163266,30,1,0.0,0.967741935483871
-0.24308944897959184,30,1,0.0,0.967741935483871
-0.19140485714285715,30,1,0.0,0.967741935483871
-0.13972026530612247,30,1,0.0,0.967741935483871
-0.08803567346938779,30,1,0.0,0.967741935483871
-0.036351081632653104,30,1,0.0,0.967741935483871
0.01533351020408158,30,1,0.0,0.967741935483871
0.06701810204081637,30,1,0.0,0.967741935483871
0.11870269387755106,30,1,0.0,0.967741935483871
0.17038728571428574,30,1,0.0,0.967741935483871
0.22207187755102042,29,1,0.0,0.9354838709677419
0.2737564693877551,29,1,0.0,0.9354838709677419
0.3254410612244898,28,1,0.0,0.9032258064516129
0.3771256530612245,26,1,0.0,0.8387096774193549
0.42881024489795916,26,1,0.0,0.8387096774193549
0.48049483673469384,24,1,0.0,0.7741935483870968
0.5321794285714286,24,1,0.0,0.7741935483870968
0.5838640204081632,24,1,0.0,0.7741935483870968
0.635548612244898,23,1,0.0,0.7419354838709677
0.6872332040816328,22,1,0.0,0.7096774193548387
0.7389177959183674,22,1,0.0,0.7096774193548387
0.7906023877551022,22,1,0.0,0.7096774193548387
0.8422869795918367,19,1,0.0,0.6129032258064516
0.8939715714285715,19,1,0.0,0.6129032258064516
0.9456561632653061,19,1,0.0,0.6129032258064516
0.9973407551020409,9,2,1.0,0.2903225806451613
1.0490253469387754,6,1,0.0,0.1935483870967742
1.1007099387755104,4,1,0.0,0.12903225806451613
1.152394530612245,1,1,0.0,0.03225806451612903
1.2040791224489795,1,1,0.0,0.03225806451612903
1.2557637142857145,1,1,0.0,0.03225806451612903
1.307448306122449,1,1,0.0,0.03225806451612903
1.3591328979591837,1,1,0.0,0.03225806451612903
1.4108174897959183,1,1,0.0,0.03225806451612903
1.4625020816326533,1,1,0.0,0.03225806451612903
1.5141866734693878,1,1,0.0,0.03225806451612903
1.5658712653061229,1,1,0.0,0.03225806451612903
1.6175558571428574,1,1,0.0,0.03225806451612903
1.669240448979592,1,1,0.0,0.03225806451612903
1.7209250408163266,1,1,0.0,0.03225806451612903
1.7726096326530616,1,1,0.0,0.03225806451612903
1.8242942244897962,1,1,0.0,0.03225806451612903
1.8759788163265307,1,1,0.0,0.03225806451612903
1.9276634081632658,1,1,0.0,0.03225806451612903
1.979348,1,1,0.0,0.03225806451612903
