domain,seed,variant,distance
chirp,11,base,0.0
chirp,11,replay,0.0
chirp,11,stitch,0.0
chirp,11,reverse,0.0
chirp,11,swap,0.0
chirp,23,base,0.0
chirp,23,replay,0.0
chirp,23,stitch,0.0
chirp,23,reverse,0.0
chirp,23,swap,0.0
chirp,37,base,0.0
chirp,37,replay,0.0
chirp,37,stitch,0.0
chirp,37,reverse,0.0
chirp,37,swap,0.0
chirp,51,base,0.0
chirp,51,replay,0.0
chirp,51,stitch,0.0
chirp,51,reverse,0.0
chirp,51,swap,0.0
chirp,79,base,0.0
chirp,79,replay,0.0
chirp,79,stitch,0.0
chirp,79,reverse,0.0
chirp,79,swap,0.0
chirp,101,base,0.0
chirp,101,replay,0.0
chirp,101,stitch,0.0
chirp,101,reverse,0.0
chirp,101,swap,0.0
chirp,149,base,0.0
chirp,149,replay,0.0
chirp,149,stitch,0.0
chirp,149,reverse,0.0
chirp,149,swap,0.0
chirp,211,base,0.0
chirp,211,replay,0.0
chirp,211,stitch,0.0
chirp,211,reverse,0.0
chirp,211,swap,0.0
chirp,307,base,0.0
chirp,307,replay,0.0
chirp,307,stitch,0.0
chirp,307,reverse,0.0
chirp,307,swap,0.0
chirp,401,base,0.0
chirp,401,replay,0.0
chirp,401,stitch,0.0
chirp,401,reverse,0.0
chirp,401,swap,0.0
rw_trend,11,base,5.481922209783701
rw_trend,11,replay,13.646548621902888
rw_trend,11,stitch,4.797172285200854
rw_trend,11,reverse,5.28851108000945
rw_trend,11,swap,7.789753439519109
rw_trend,23,base,81.80982111569475
rw_trend,23,replay,27.885932647790604
rw_trend,23,stitch,52.95905881537617
rw_trend,23,reverse,18.586349406056215
rw_trend,23,swap,51.978702976401834
rw_trend,37,base,5.059490509946167
rw_trend,37,replay,3.6661866797942864
rw_trend,37,stitch,0.8906243081726206
rw_trend,37,reverse,0.5251696986217778
rw_trend,37,swap,1.5238100755977038
rw_trend,51,base,3.161857227489179
rw_trend,51,replay,7.603155958614556
rw_trend,51,stitch,3.566875435258726
rw_trend,51,reverse,2.2747200554022284
rw_trend,51,swap,3.4749274712614584
rw_trend,79,base,2.629643867030527
rw_trend,79,replay,5.516253156225664
rw_trend,79,stitch,15.957684329560932
rw_trend,79,reverse,4.477270566229256
rw_trend,79,swap,22.98741067893335
rw_trend,101,base,2.914516143387836
rw_trend,101,replay,7.413195248265127
rw_trend,101,stitch,16.00971540752136
rw_trend,101,reverse,3.8617813197155977
rw_trend,101,swap,19.552023205569224
rw_trend,149,base,26.32617501389527
rw_trend,149,replay,17.974895185404602
rw_trend,149,stitch,14.388278218871248
rw_trend,149,reverse,7.671336000930389
rw_trend,149,swap,24.889642904594805
rw_trend,211,base,1.623450200723534
rw_trend,211,replay,5.172717638511905
rw_trend,211,stitch,10.611317921280193
rw_trend,211,reverse,7.18481775790862
rw_trend,211,swap,8.981676418089833
rw_trend,307,base,18.19279226767442
rw_trend,307,replay,3.9818740412819675
rw_trend,307,stitch,0.7899407748233943
rw_trend,307,reverse,34.68062506703671
rw_trend,307,swap,1.2189370626523879
rw_trend,401,base,21.2020781221349
rw_trend,401,replay,8.738267655145224
rw_trend,401,stitch,24.901023330975907
rw_trend,401,reverse,9.936989347985163
rw_trend,401,swap,18.3099258683239
regime_switch,11,base,9.543692333639799
regime_switch,11,replay,26407.697250115096
regime_switch,11,stitch,1805.808226301269
regime_switch,11,reverse,3.4077408620232825
regime_switch,11,swap,8.156730187770902
regime_switch,23,base,13.128221380819243
regime_switch,23,replay,17947.52847416638
regime_switch,23,stitch,1393.3821636860237
regime_switch,23,reverse,14.207188148027607
regime_switch,23,swap,14.240269366213225
regime_switch,37,base,1.4030987196921862
regime_switch,37,replay,18375.303213932282
regime_switch,37,stitch,1388.1266254012362
regime_switch,37,reverse,3.234862706102416
regime_switch,37,swap,8.276025189900432
regime_switch,51,base,10.93082284734935
regime_switch,51,replay,25676.669418178404
regime_switch,51,stitch,1688.178588407962
regime_switch,51,reverse,16.1055567219748
regime_switch,51,swap,9.550096750144544
regime_switch,79,base,3.508313508669421
regime_switch,79,replay,20730.834704844714
regime_switch,79,stitch,1652.7411807288142
regime_switch,79,reverse,6.242908142121558
regime_switch,79,swap,2.3541780393153933
regime_switch,101,base,9.327187937564503
regime_switch,101,replay,18458.002815524007
regime_switch,101,stitch,1558.3308024497096
regime_switch,101,reverse,5.3500393686917525
regime_switch,101,swap,4.1146368360615115
regime_switch,149,base,22.766096178139957
regime_switch,149,replay,20265.61885839886
regime_switch,149,stitch,1477.0781245114606
regime_switch,149,reverse,6.164062332102469
regime_switch,149,swap,21.272251428848104
regime_switch,211,base,7.551704267892018
regime_switch,211,replay,25372.999893197797
regime_switch,211,stitch,1888.8138704338883
regime_switch,211,reverse,9.340113592100286
regime_switch,211,swap,13.262066576699477
regime_switch,307,base,6.087678043548769
regime_switch,307,replay,19932.013715113993
regime_switch,307,stitch,1404.786059964196
regime_switch,307,reverse,15.438935390555768
regime_switch,307,swap,4.785362461569794
regime_switch,401,base,9.897836704877106
regime_switch,401,replay,26333.74696918077
regime_switch,401,stitch,1915.0828667015942
regime_switch,401,reverse,10.882382219374032
regime_switch,401,swap,0.6073039117971887
chaotic_logistic,11,base,0.0
chaotic_logistic,11,replay,0.0
chaotic_logistic,11,stitch,0.0
chaotic_logistic,11,reverse,0.0
chaotic_logistic,11,swap,0.0
chaotic_logistic,23,base,0.0
chaotic_logistic,23,replay,0.0
chaotic_logistic,23,stitch,0.0
chaotic_logistic,23,reverse,0.0
chaotic_logistic,23,swap,0.0
chaotic_logistic,37,base,0.0
chaotic_logistic,37,replay,0.0
chaotic_logistic,37,stitch,0.0
chaotic_logistic,37,reverse,0.0
chaotic_logistic,37,swap,0.0
chaotic_logistic,51,base,0.0
chaotic_logistic,51,replay,0.0
chaotic_logistic,51,stitch,0.0
chaotic_logistic,51,reverse,0.0
chaotic_logistic,51,swap,0.0
chaotic_logistic,79,base,0.0
chaotic_logistic,79,replay,0.0
chaotic_logistic,79,stitch,0.0
chaotic_logistic,79,reverse,0.0
chaotic_logistic,79,swap,0.0
chaotic_logistic,101,base,0.0
chaotic_logistic,101,replay,0.0
chaotic_logistic,101,stitch,0.0
chaotic_logistic,101,reverse,0.0
chaotic_logistic,101,swap,0.0
chaotic_logistic,149,base,0.0
chaotic_logistic,149,replay,0.0
chaotic_logistic,149,stitch,0.0
chaotic_logistic,149,reverse,0.0
chaotic_logistic,149,swap,0.0
chaotic_logistic,211,base,0.0
chaotic_logistic,211,replay,0.0
chaotic_logistic,211,stitch,0.0
chaotic_logistic,211,reverse,0.0
chaotic_logistic,211,swap,0.0
chaotic_logistic,307,base,0.0
chaotic_logistic,307,replay,0.0
chaotic_logistic,307,stitch,0.0
chaotic_logistic,307,reverse,0.0
chaotic_logistic,307,swap,0.0
chaotic_logistic,401,base,0.0
chaotic_logistic,401,replay,0.0
chaotic_logistic,401,stitch,0.0
chaotic_logistic,401,reverse,0.0
chaotic_logistic,401,swap,0.0
coupled_osc,11,base,0.0
coupled_osc,11,replay,0.0
coupled_osc,11,stitch,0.0
coupled_osc,11,reverse,0.0
coupled_osc,11,swap,0.0
coupled_osc,23,base,0.0
coupled_osc,23,replay,0.0
coupled_osc,23,stitch,0.0
coupled_osc,23,reverse,0.0
coupled_osc,23,swap,0.0
coupled_osc,37,base,0.0
coupled_osc,37,replay,0.0
coupled_osc,37,stitch,0.0
coupled_osc,37,reverse,0.0
coupled_osc,37,swap,0.0
coupled_osc,51,base,0.0
coupled_osc,51,replay,0.0
coupled_osc,51,stitch,0.0
coupled_osc,51,reverse,0.0
coupled_osc,51,swap,0.0
coupled_osc,79,base,0.0
coupled_osc,79,replay,0.0
coupled_osc,79,stitch,0.0
coupled_osc,79,reverse,0.0
coupled_osc,79,swap,0.0
coupled_osc,101,base,0.0
coupled_osc,101,replay,0.0
coupled_osc,101,stitch,0.0
coupled_osc,101,reverse,0.0
coupled_osc,101,swap,0.0
coupled_osc,149,base,0.0
coupled_osc,149,replay,0.0
coupled_osc,149,stitch,0.0
coupled_osc,149,reverse,0.0
coupled_osc,149,swap,0.0
coupled_osc,211,base,0.0
coupled_osc,211,replay,0.0
coupled_osc,211,stitch,0.0
coupled_osc,211,reverse,0.0
coupled_osc,211,swap,0.0
