seed,pc1,pc2,pc3,pc4,dim95
11,0.748129699069609,0.18417789414208555,0.03898408390124389,0.0287083228870616,3
23,0.6751333299541401,0.25419450526007104,0.04410659259904692,0.026565572186741854,3
37,0.826929534310823,0.11310477732365493,0.038157302639561984,0.02180838572596017,3
51,0.7402080006883042,0.1928250071721412,0.04370156622461046,0.023265425914944123,3
79,0.6617903907599335,0.28659068227077034,0.033633536473087554,0.01798539049620844,3
101,0.6875573641450712,0.24006777326113204,0.042993342758585164,0.02938151983521168,3
149,0.7067785471160628,0.20213482003902272,0.0491989369345295,0.04188769591038486,3
211,0.6836194767076803,0.2313398583411858,0.054472386921199614,0.0305682780299342,3
307,0.7734525779736408,0.16409402257571792,0.04035498890363332,0.022098410547008052,3
401,0.7353561459181455,0.19786723696056938,0.040605108389322866,0.0261715087319623,3
