name,class,TRE_raw,TRE_norm,CSR,RBS,RTP,SRD,ADI,stability_score,curvature,high_curvature,transition_score,PC1,PC2,PC3,flow_mag,flow_regime,radial_distance,pseudo_stability,shell
EnergyMomentumConservation,positive,0.055825,-0.189003,0.757904,0.278211,0.128046,0.564023,1.0,1.036115,0.0006541248476419,0,0.0016074446157422,-0.0693821600857873,-2.424111135011455,-0.3970801813237459,2.4573972713879195,intermediate,2.4573972713879195,1.036115,outer
ChemicalEquilibriumNetwork,positive,0.101328,0.422121,0.790077,0.278148,0.282413,0.641206,1.0,1.068225,0.0006541248476419,0,0.0012042429539481,0.2626512598785128,-1.7849334543374562,-0.3664735548453305,1.840998638546424,intermediate,1.840998638546424,1.068225,middle
SuperconductorCoherence,positive,0.118459,0.652207,0.803387,0.30824,0.385628,0.692814,1.0,1.111627,0.0006541248476419,0,0.0009947063724447,0.5135691825601341,-1.3906768827457514,-0.3386650780105999,1.5206674628408572,core,1.5206674628408572,1.111627,inner
DoubleSlitInterference,positive,0.101328,0.422121,0.790077,0.278148,0.282413,0.641206,1.0,1.068225,0.0006541248476419,0,0.0012042429539481,0.2626512598785123,-1.784933454337457,-0.3664735548453301,1.8409986385464248,intermediate,1.8409986385464252,1.068225,middle
TurbulenceEnergyCascade,positive,0.118459,0.652207,0.803387,0.30824,0.385628,0.692814,1.0,1.111627,0.0006541248476419,0,0.0009947063724448,0.5135691825601347,-1.3906768827457494,-0.3386650780105991,1.5206674628408556,core,1.5206674628408556,1.111627,inner
reaction_diffusion,positive,0.094463,0.329927,0.550689,-0.206644,0.74713,0.873565,0.049501,0.344045,0.0174494330464744,1,0.0565517888404722,-2.488347558010839,1.508441413254409,-1.4269318490786385,3.240895488687416,peripheral,3.240895488687416,0.344045,outer
synchronized_oscillators,positive,0.0,-0.938763,0.528004,0.273416,0.427997,1.0,1.0,0.80142,0.0215163562303066,1,0.0074919832175983,0.1148927294125901,-0.1895344059572067,0.2685502198632235,0.3481994412718257,core,0.3481994412718257,0.80142,inner
recursive_market,positive,0.31784,3.329992,0.301572,-0.007598,0.733435,0.566641,0.914354,0.293974,0.016847052433102,0,0.0469829088321669,-2.005420530884759,-0.9010963829390513,1.715712462297725,2.788791037407369,intermediate,2.7887910374073694,0.293974,outer
predator_prey_cycles,positive,0.113987,0.592133,0.373153,-0.002989,0.340206,0.664949,1.0,0.370164,0.1071464353229527,1,0.2600150369883515,-1.6100363543051468,-1.440227454304026,1.105679312446259,2.4267259681074203,intermediate,2.4267259681074203,0.370164,outer
neural_cascade,positive,0.109945,0.537859,0.491485,-0.298989,0.67352,0.83676,0.123098,0.192496,0.0174494330464744,1,0.0569180018282895,-2.8385199084667168,1.2021295753447092,-1.0665679690175576,3.2618825882018787,peripheral,3.2618825882018787,0.192496,outer
avalanche_redistribution,positive,0.122151,0.70179,0.458589,-1.011786,0.424518,0.712259,0.418245,-0.553197,0.0156554285820252,0,0.0652323474547489,-4.126414310034549,0.5784056824773294,-0.0023446064843158,4.166755775031641,peripheral,4.166755775031641,-0.553197,outer
percolation_transport,positive,0.0,-0.938763,0.619902,-0.033525,0.122629,1.0,1.0,0.586377,0.0399130825765447,1,0.0253019287725502,-0.3028954180036631,-0.5060752387138758,-0.2323876296116315,0.6339256990242885,core,0.6339256990242885,0.586377,inner
CrystallizationFromLiquid,negative,0.093056,0.311029,0.768332,0.191687,0.75276,0.87638,1.0,0.960019,0.0004533281205783,0,0.0003386019198068,0.7048205717778059,0.2053260849290568,0.1377152895817883,0.746924588253783,core,0.746924588253783,0.960019,inner
LaserOpticalCoherence,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
FerromagneticMagnetization,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
ElectronTransportMesoscopic,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
LimitCycleOscillations,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
HeatTransportPhononic,negative,0.093056,0.311029,0.768332,0.191687,0.75276,0.87638,1.0,0.960019,0.0004533281205783,0,0.0003386019198068,0.7048205717778059,0.2053260849290568,0.1377152895817883,0.746924588253783,core,0.746924588253783,0.960019,inner
StrangeAttractorLorenz,negative,0.071821,0.025835,0.779535,0.189247,0.826124,0.913062,1.0,0.968782,0.000141512068888,0,0.000141535729275,0.8441927295803251,0.5100243321555492,0.1659766182263124,1.0001671969550077,core,1.0001671969550077,0.968782,inner
AndersonLocalization,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
PhaseEquilibriumMulticomponent,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
PhotonicBandgapLocalization,negative,0.053696,-0.217604,0.700107,0.112605,0.877636,0.938818,1.0,0.812712,0.000141512068888,0,0.0001474130417449,0.5042613687366755,0.7671540800615431,0.4922730904003618,1.041699431740068,core,1.041699431740068,0.812712,inner
CriticalPhenomenaScaling,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
ChargeConservationEM,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
StandingWavePatterns,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.2743732747848315,1.6259720261483903,intermediate,1.6259720261483905,0.9978,middle
random_walk,negative,0.007108,-0.843295,0.278302,0.178382,0.044643,0.840774,1.0,0.456684,0.0469291331833813,1,0.1062369362315085,-1.404562940245759,-1.6192668626714002,0.7279072882006421,2.2637736737300185,intermediate,2.2637736737300185,0.456684,outer
