depth,sector,synchronization_stability,desynchronization_resistance,coherence_drift,cooperative_phase_gain,recursive_phase_retention,rg_similarity,classification
1,Projection,0.9268,0.93,0.1062,0.1455,0.9284,0.899,PHASE-LOCKED
2,Projection,0.9037,0.8954,0.1249,0.1373,0.8996,0.8559,PHASE-LOCKED
4,Projection,0.8825,0.8945,0.1087,0.1491,0.8885,0.8309,PHASE-LOCKED
6,Projection,0.8829,0.8375,0.1209,0.1513,0.8602,0.8558,PHASE-LOCKED
8,Projection,0.838,0.8485,0.1402,0.1343,0.8433,0.8414,PHASE-LOCKED
12,Projection,0.7982,0.8005,0.1569,0.1415,0.7994,0.7994,WEAKLY_SYNCHRONIZED
16,Projection,0.7701,0.7595,0.1398,0.0,0.7648,0.7493,WEAKLY_SYNCHRONIZED
20,Projection,0.7221,0.7299,0.1487,0.0,0.726,0.7272,WEAKLY_SYNCHRONIZED
1,Antisymmetry,0.8931,0.8887,0.1557,0.1083,0.8909,0.8584,PHASE-LOCKED
2,Antisymmetry,0.8574,0.8417,0.1656,0.1153,0.8496,0.846,PHASE-LOCKED
4,Antisymmetry,0.8517,0.8323,0.1705,0.104,0.842,0.8657,PHASE-LOCKED
6,Antisymmetry,0.8244,0.809,0.1798,0.1071,0.8167,0.8306,PHASE-LOCKED
8,Antisymmetry,0.7914,0.7772,0.1536,0.1008,0.7843,0.8363,WEAKLY_SYNCHRONIZED
12,Antisymmetry,0.7488,0.7449,0.1651,0.1002,0.7468,0.7981,WEAKLY_SYNCHRONIZED
16,Antisymmetry,0.7211,0.7224,0.1914,0.0,0.7217,0.7676,WEAKLY_SYNCHRONIZED
20,Antisymmetry,0.6842,0.6692,0.2127,0.0,0.6767,0.7349,DESYNCHRONIZING
1,Neutral,0.8171,0.7779,0.2223,0.0745,0.7975,0.8834,WEAKLY_SYNCHRONIZED
2,Neutral,0.7854,0.7836,0.2454,0.0847,0.7845,0.8755,WEAKLY_SYNCHRONIZED
4,Neutral,0.7571,0.7427,0.245,0.0694,0.7499,0.8425,WEAKLY_SYNCHRONIZED
6,Neutral,0.7353,0.7379,0.2329,0.0689,0.7366,0.8207,WEAKLY_SYNCHRONIZED
8,Neutral,0.7475,0.7146,0.251,0.0721,0.731,0.8067,WEAKLY_SYNCHRONIZED
12,Neutral,0.7048,0.6951,0.2539,0.0866,0.7,0.7904,WEAKLY_SYNCHRONIZED
16,Neutral,0.6498,0.6452,0.2674,0.0,0.6475,0.7223,COLLAPSING
20,Neutral,0.6155,0.6087,0.2698,0.0,0.6121,0.7205,COLLAPSING
1,Projection-Antisymmetry,0.7926,0.8032,0.2382,0.0708,0.7979,0.8977,WEAKLY_SYNCHRONIZED
2,Projection-Antisymmetry,0.8018,0.7951,0.2174,0.0822,0.7984,0.8514,WEAKLY_SYNCHRONIZED
4,Projection-Antisymmetry,0.7573,0.7644,0.2453,0.0876,0.7609,0.859,WEAKLY_SYNCHRONIZED
6,Projection-Antisymmetry,0.754,0.7299,0.2526,0.0748,0.742,0.8368,WEAKLY_SYNCHRONIZED
8,Projection-Antisymmetry,0.7261,0.7101,0.2384,0.0693,0.7181,0.8393,WEAKLY_SYNCHRONIZED
12,Projection-Antisymmetry,0.6976,0.6864,0.2466,0.0871,0.692,0.7559,DESYNCHRONIZING
16,Projection-Antisymmetry,0.6595,0.6376,0.2667,0.0,0.6486,0.7796,DESYNCHRONIZING
20,Projection-Antisymmetry,0.6281,0.6335,0.2784,0.0,0.6308,0.7281,COLLAPSING
1,Projection-Neutral,0.8029,0.8115,0.2089,0.0835,0.8072,0.891,WEAKLY_SYNCHRONIZED
2,Projection-Neutral,0.7803,0.7807,0.2269,0.0763,0.7805,0.847,WEAKLY_SYNCHRONIZED
4,Projection-Neutral,0.7723,0.7624,0.2461,0.0737,0.7673,0.8399,WEAKLY_SYNCHRONIZED
6,Projection-Neutral,0.7344,0.7248,0.2308,0.072,0.7296,0.8103,WEAKLY_SYNCHRONIZED
8,Projection-Neutral,0.7441,0.7362,0.2559,0.072,0.7402,0.8358,WEAKLY_SYNCHRONIZED
12,Projection-Neutral,0.6852,0.6751,0.2563,0.077,0.6801,0.7713,DESYNCHRONIZING
16,Projection-Neutral,0.6494,0.664,0.2581,0.0,0.6567,0.7328,COLLAPSING
20,Projection-Neutral,0.6356,0.6255,0.2757,0.0,0.6305,0.7253,COLLAPSING
1,Antisymmetry-Neutral,0.8166,0.7943,0.2104,0.0745,0.8054,0.8814,WEAKLY_SYNCHRONIZED
2,Antisymmetry-Neutral,0.8019,0.8018,0.2181,0.0884,0.8018,0.8379,WEAKLY_SYNCHRONIZED
4,Antisymmetry-Neutral,0.775,0.7677,0.2436,0.078,0.7713,0.8668,WEAKLY_SYNCHRONIZED
6,Antisymmetry-Neutral,0.7654,0.7353,0.2211,0.0801,0.7503,0.8174,WEAKLY_SYNCHRONIZED
8,Antisymmetry-Neutral,0.741,0.7192,0.2624,0.0835,0.7301,0.794,WEAKLY_SYNCHRONIZED
12,Antisymmetry-Neutral,0.7088,0.6797,0.2716,0.0832,0.6943,0.7875,WEAKLY_SYNCHRONIZED
16,Antisymmetry-Neutral,0.6444,0.636,0.2701,0.0,0.6402,0.7703,COLLAPSING
20,Antisymmetry-Neutral,0.6248,0.6056,0.2903,0.0,0.6152,0.7277,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8079,0.8146,0.2419,0.0825,0.8113,0.8951,WEAKLY_SYNCHRONIZED
2,Projection-Antisymmetry-Neutral,0.7954,0.7838,0.2412,0.084,0.7896,0.8547,WEAKLY_SYNCHRONIZED
4,Projection-Antisymmetry-Neutral,0.7626,0.7634,0.2397,0.0827,0.763,0.8371,WEAKLY_SYNCHRONIZED
6,Projection-Antisymmetry-Neutral,0.7621,0.7451,0.2475,0.069,0.7536,0.8088,WEAKLY_SYNCHRONIZED
