domain,sys_idx,half_life,initial_identity
branching,0,100,0.40930410297750053
branching,1,100,0.32372241706140076
branching,2,100,0.31035322118419495
branching,3,100,0.2713954874418697
branching,4,100,0.28066851604419035
branching,5,61,0.12836756101498276
branching,6,100,0.4588371335118699
branching,7,100,0.2960707808171695
branching,8,100,0.3089128286367172
branching,9,100,0.2563631341756404
branching,10,100,0.346167882088082
branching,11,100,0.3194099399599716
branching,12,100,0.2912655865101804
branching,13,100,0.2963636522133938
branching,14,100,0.40484089449547184
branching,15,100,0.6248210899873418
branching,16,100,0.26952510012764425
branching,17,100,0.3065200206619645
branching,18,100,0.3219565899317486
branching,19,100,0.32449810036111987
branching,20,100,0.2631248925772376
branching,21,100,0.2764242976871843
branching,22,100,0.31427286019048617
branching,23,100,0.40618243055119996
branching,24,100,0.3096934395605016
branching,25,100,0.33888530236561965
branching,26,100,0.31806163445609364
branching,27,100,0.1810709093444057
branching,28,100,0.4223487708942982
branching,29,100,0.4268799803339678
branching,30,100,0.4301837961170614
branching,31,100,0.3019670826352403
branching,32,100,0.2963880025172858
branching,33,100,0.2978584245598913
branching,34,100,0.4184954890032616
branching,35,100,0.2822983309028391
branching,36,100,0.26973453033685535
branching,37,100,0.36286337245228545
branching,38,100,0.32570257241697204
branching,39,100,0.40269267114898655
branching,40,100,0.3327653582642316
branching,41,100,0.27161840271349497
branching,42,100,0.1969809832248032
branching,43,100,0.28201344151932767
branching,44,100,0.2773110498770292
branching,45,100,0.391604929409253
branching,46,100,0.3208276480074404
branching,47,100,0.32081595618248887
branching,48,100,0.31120911492535
branching,49,100,0.33953622730787103
branching,50,100,0.3212771565423147
branching,51,100,0.29758117158640573
branching,52,100,0.2791960501615292
branching,53,100,0.3239087702395406
branching,54,100,0.2812613726728383
branching,55,100,0.8588651444801573
branching,56,77,0.14486743333791471
branching,57,100,0.3094589759314393
branching,58,62,0.19673327411162542
branching,59,100,0.3872245443664134
branching,60,100,0.32024513756709
branching,61,100,0.41882428708532476
branching,62,100,0.7100724383653952
branching,63,100,0.350604973585299
branching,64,100,0.3019679688385484
branching,65,100,0.29694233689774263
branching,66,100,0.3348235009156371
