domain,sys_idx,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score
branching,6,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.7302,0.598816,0.999,0.7302,0.0,0.0,0.4,0.4426
branching,14,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.140195,0.9911,0.2,0.0,0.0,1.0,0.4
branching,15,5,1,3.73,0.6,0.0,1,CG,1.0,0.6,0.5986,0.443729,0.999,0.5986,0.2145,0.5776,0.14,0.6073
branching,23,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6593,0.596127,0.999,0.6593,0.0,0.0,0.2,0.3948
branching,28,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.7299,0.606757,0.999,0.7299,0.0,0.0,0.28,0.4245
branching,29,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,30,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.108979,0.9999,0.2,0.0,0.0,1.0,0.4
branching,34,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,37,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.118697,0.9932,0.2,0.0,0.0,1.0,0.4
branching,39,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6497,0.537522,0.9982,0.6497,0.0,0.0,0.24,0.3984
branching,40,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.5999,0.481982,0.999,0.5999,0.0,0.0,0.14,0.371
branching,45,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6625,0.540962,0.9989,0.6625,0.0,0.0,0.26,0.4046
branching,55,1,1,1.0,1.0,0.0,1,CG,1.0,1.0,0.4,0.185975,0.9999,0.4,1.4781,0.99,1.0,0.8485
branching,59,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6651,0.539723,0.9989,0.6651,0.0,0.0,0.3,0.4113
branching,61,10,1,1.0,0.14,0.0,1,CG,1.0,0.14,0.5201,0.465117,0.998,0.5201,0.0594,0.1386,0.02,0.3888
branching,62,1,1,1.0,0.9,0.0,1,CG,1.0,0.9,0.5984,0.509841,0.999,0.5984,0.7162,0.891,0.14,0.7292
branching,67,2,1,1.24,0.85,0.0,1,CG,1.0,0.85,0.5786,0.490991,0.9981,0.5786,0.2908,0.8395,0.32,0.7311
branching,70,8,1,1.06,0.34,0.0,1,CG,1.0,0.34,0.5134,0.438589,0.9977,0.5134,0.1518,0.3364,0.04,0.4698
branching,72,1,1,1.0,1.0,0.0,1,CG,1.0,1.0,0.4667,0.222388,0.9999,0.4667,1.4867,0.99,1.0,0.8652
branching,73,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.4,0.260187,0.9911,0.4,0.0,0.0,1.0,0.45
branching,76,2,1,1.06,0.9,0.0,1,CG,1.0,0.9,0.5893,0.446532,0.9977,0.5893,0.205,0.8905,0.18,0.7329
branching,85,1,1,1.0,1.0,0.0,1,CG,1.0,1.0,0.4,0.199629,0.9999,0.4,1.2783,0.99,1.0,0.8485
branching,96,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.8,0.644234,0.9916,0.8,0.0,0.0,1.0,0.55
branching,99,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6602,0.562574,0.9989,0.6602,0.0,0.0,0.34,0.416
branching,104,1,1,1.0,1.0,0.0,1,CG,1.0,1.0,0.4,0.196109,0.9999,0.4,1.6689,0.99,1.0,0.8485
branching,105,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6486,0.594955,0.9989,0.6486,0.0,0.0,0.26,0.4012
branching,108,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.237557,0.9919,0.3333,0.0,0.0,1.0,0.4333
branching,113,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.8667,0.59364,0.9914,0.8667,0.0,0.0,0.3,0.4617
branching,114,6,1,5.34,1.0,0.7219,2,CG,1.0,1.0,0.9333,0.86585,0.9927,0.9333,5.9745,0.9466,0.12,0.8433
branching,122,12,1,1.33,0.12,0.0,1,CG,1.0,0.12,0.5226,0.454457,0.998,0.5226,0.0476,0.1184,0.02,0.3814
branching,123,1,1,1.22,0.9,0.0,1,CG,1.0,0.9,0.5859,0.550749,0.9989,0.5859,0.5526,0.889,0.2,0.7348
branching,128,18,1,4.82,1.0,0.7219,2,CG,0.8333,1.0,0.7392,0.500489,0.9903,0.7392,0.5838,0.9518,0.02,0.7472
branching,129,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,131,4,1,1.07,0.375,0.0,1,CG,1.0,0.375,0.5099,0.459907,0.9979,0.5099,0.189,0.371,0.1,0.4919
branching,135,2,1,1.14,0.7,0.0,1,CG,1.0,0.7,0.5914,0.451126,0.9976,0.5914,0.2138,0.692,0.18,0.6537
branching,138,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,140,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6195,0.624014,0.9988,0.6195,0.0,0.0,0.24,0.3909
branching,141,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.4667,0.323781,0.9908,0.4667,0.0,0.0,1.0,0.4667
branching,142,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6601,0.513942,0.9983,0.6601,0.0,0.0,0.26,0.404
branching,144,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,145,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.122186,0.9999,0.2667,0.0,0.0,1.0,0.4167
branching,149,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.157342,0.9937,0.2667,0.0,0.0,1.0,0.4167
branching,153,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.209388,0.9906,0.3333,0.0,0.0,1.0,0.4333
branching,159,9,1,2.6,1.0,0.7219,2,CG,0.8,1.0,0.4783,0.369234,0.9889,0.4783,0.6025,0.974,0.1,0.6907
branching,173,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6,0.516607,0.9914,0.6,0.0,0.0,1.0,0.5
branching,174,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.142319,0.9937,0.2667,0.0,0.0,1.0,0.4167
branching,175,0,-1,-1.0,-1.0,-1.0,-1,CG,0.4,0.0,0.5226,0.30926,0.9935,0.5226,0.0,0.0,0.2,0.2406
branching,177,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.1333,0.066041,0.9999,0.1333,0.0,0.0,1.0,0.3833
branching,181,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.4,0.374912,0.9909,0.4,0.0,0.0,1.0,0.45
branching,186,1,1,1.0,0.9,0.0,1,CG,1.0,0.9,0.5999,0.481457,0.9991,0.5999,0.6868,0.891,0.2,0.7386
branching,190,1,1,1.1,1.0,0.0,1,CG,1.0,1.0,0.5954,0.502651,0.9986,0.5954,0.547,0.989,0.22,0.7802
branching,196,2,1,1.0,0.5,1.0,2,CG,1.0,0.5,0.5333,0.250989,0.9908,0.5333,1.0091,0.495,1.0,0.6826
branching,202,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,211,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6654,0.563808,0.999,0.6654,0.0,0.0,0.32,0.4143
branching,220,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.5333,0.40935,0.991,0.5333,0.0,0.0,1.0,0.4833
branching,223,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.16346,0.992,0.2667,0.0,0.0,1.0,0.4167
branching,224,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,225,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,231,1,1,1.0,1.0,0.0,1,CG,1.0,1.0,0.4,0.179474,0.9999,0.4,1.6395,0.99,1.0,0.8485
branching,234,1,1,1.12,0.8,0.0,1,CG,1.0,0.8,0.5977,0.485225,0.999,0.5977,0.6354,0.791,0.08,0.6801
branching,235,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.191655,0.992,0.2667,0.0,0.0,1.0,0.4167
branching,236,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,242,1,1,2.0,1.0,0.0,1,CG,1.0,1.0,0.6435,0.503884,0.9973,0.6435,0.8755,0.98,0.26,0.7969
branching,244,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.4,0.268324,0.9908,0.4,0.0,0.0,1.0,0.45
branching,245,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,246,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.665,0.555913,0.999,0.665,0.0,0.0,0.3,0.4112
branching,248,1,1,1.0,0.5,0.0,1,CG,1.0,0.5,0.5919,0.529316,0.9987,0.5919,0.2751,0.495,0.14,0.5682
branching,250,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.4,0.23579,0.9911,0.4,0.0,0.0,1.0,0.45
branching,253,2,1,1.29,0.85,0.0,1,CG,1.0,0.85,0.5797,0.549598,0.9986,0.5797,0.4535,0.839,0.16,0.7073
branching,254,3,1,4.97,1.0,0.0,1,CG,1.0,1.0,0.8667,0.67374,0.9917,0.8667,4.9874,0.9503,0.24,0.8452
branching,257,1,1,1.0,1.0,0.0,1,CG,1.0,1.0,0.5901,0.556732,0.999,0.5901,0.7103,0.99,0.12,0.764
branching,260,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.237068,0.9907,0.3333,0.0,0.0,1.0,0.4333
branching,261,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6,0.378548,0.9951,0.6,0.0,0.0,1.0,0.5
branching,272,2,1,1.85,1.0,0.0,1,CG,1.0,1.0,0.6567,0.452798,0.9965,0.6567,0.822,0.9815,0.2,0.7914
branching,274,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.2807,0.9909,0.3333,0.0,0.0,1.0,0.4333
