domain,sys_idx,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score
branching,0,CH,1.0,0.0,0.6268,0.390851,0.9858,0.6268,0.0,0.0,0.0,0.3567
branching,1,CH,1.0,0.0,0.5263,0.319525,0.9989,0.5263,0.0,0.0,0.0,0.3316
branching,2,CH,1.0,0.0,0.4627,0.314781,0.9996,0.4627,0.0,0.0,0.0,0.3157
branching,3,CH,1.0,0.0,0.3323,0.150372,0.9985,0.3323,0.0,0.0,0.0,0.2831
branching,4,CH,1.0,0.0,0.4575,0.319854,0.9989,0.4575,0.0,0.0,0.0,0.3144
branching,5,CL,0.6333,0.0,0.0,0.006258,0.9698,0.0,0.0,0.0,0.0,0.1267
branching,6,CG,1.0,0.0,0.7302,0.598816,0.999,0.7302,0.0,0.0,0.4,0.4426
branching,7,CH,1.0,0.0,0.3968,0.255801,0.9997,0.3968,0.0,0.0,0.0,0.2992
branching,8,CH,1.0,0.0,0.3963,0.268445,0.9996,0.3963,0.0,0.0,0.0,0.2991
branching,9,CH,1.0,0.0,0.3947,0.265348,0.9995,0.3947,0.0,0.0,0.0,0.2987
branching,10,CH,1.0,0.0,0.3962,0.24455,0.9982,0.3962,0.0,0.0,0.0,0.2991
branching,11,CH,1.0,0.0,0.4656,0.322116,0.9993,0.4656,0.0,0.0,0.0,0.3164
branching,12,CH,1.0,0.0,0.3986,0.26993,0.9995,0.3986,0.0,0.0,0.0,0.2996
branching,13,CH,1.0,0.0,0.3949,0.219956,0.9983,0.3949,0.0,0.0,0.0,0.2987
branching,14,CG,1.0,0.0,0.2,0.140195,0.9911,0.2,0.0,0.0,1.0,0.4
branching,15,CG,1.0,0.6,0.5986,0.443729,0.999,0.5986,0.2145,0.5776,0.14,0.6073
branching,16,CH,1.0,0.0,0.3268,0.145885,0.9972,0.3268,0.0,0.0,0.0,0.2817
branching,17,CH,1.0,0.0,0.3991,0.222845,0.9995,0.3991,0.0,0.0,0.0,0.2998
branching,18,CH,1.0,0.0,0.4649,0.321923,0.9995,0.4649,0.0,0.0,0.0,0.3162
branching,19,CH,1.0,0.0,0.462,0.271174,0.9992,0.462,0.0,0.0,0.0,0.3155
branching,20,CH,1.0,0.0,0.3962,0.229472,0.9996,0.3962,0.0,0.0,0.0,0.2991
branching,21,CH,1.0,0.0,0.3311,0.132183,0.9971,0.3311,0.0,0.0,0.0,0.2828
branching,22,CH,1.0,0.0,0.4625,0.294,0.9995,0.4625,0.0,0.0,0.0,0.3156
branching,23,CG,1.0,0.0,0.6593,0.596127,0.999,0.6593,0.0,0.0,0.2,0.3948
branching,24,CH,1.0,0.0,0.4618,0.335798,0.9996,0.4618,0.0,0.0,0.0,0.3155
branching,25,CH,1.0,0.0,0.463,0.322781,0.9997,0.463,0.0,0.0,0.0,0.3158
branching,26,CH,1.0,0.0,0.5217,0.350022,0.9988,0.5217,0.0,0.0,0.0,0.3304
branching,27,CL,1.0,0.0,0.0,0.0072,0.9819,0.0,0.0,0.0,0.0,0.2
branching,28,CG,1.0,0.0,0.7299,0.606757,0.999,0.7299,0.0,0.0,0.28,0.4245
