domain,sys_idx,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score,z_recursive_identity_score,z_recursive_continuity,z_org_memory,z_reconstruction_ability,z_trajectory_coherence,z_closure_persistence,self_composite,self_type
branching,6,CG,1.0,0.0,0.7302,0.598816,0.999,0.7302,0.0,0.0,0.4,0.4426,-0.845244138427237,0.4748681923063309,0.8350516298456485,-1.5062222157691358,0.7689823260638886,0.8350516298456485,0.09374790397752397,intermediate
branching,14,CG,1.0,0.0,0.2,0.140195,0.9911,0.2,0.0,0.0,1.0,0.4,-1.0810343508548197,0.4748681923063309,-1.0335769327793904,-1.5062222157691358,2.991433554669587,-1.0335769327793904,-0.19801811420113638,intermediate
branching,15,CG,1.0,0.6,0.5986,0.443729,0.999,0.5986,0.2145,0.5776,0.14,0.6073,0.06636731666250167,0.4748681923063309,0.37124265428651043,-0.14616139589742377,-0.19407987299858076,0.37124265428651043,0.15724659144097483,intermediate
branching,23,CG,1.0,0.0,0.6593,0.596127,0.999,0.6593,0.0,0.0,0.2,0.3948,-1.1098162547192196,0.4748681923063309,0.5851727820710065,-1.5062222157691358,0.028165249861989067,0.5851727820710065,-0.1571099106963371,intermediate
branching,28,CG,1.0,0.0,0.7299,0.606757,0.999,0.7299,0.0,0.0,0.28,0.4245,-0.9454273038013978,0.4748681923063309,0.8339943145518208,-1.5062222157691358,0.3244920803427489,0.8339943145518208,0.0026165636970312822,intermediate
branching,29,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4,-1.0810343508548197,0.4748681923063309,-1.0335769327793904,-1.5062222157691358,2.991433554669587,-1.0335769327793904,-0.19801811420113638,intermediate
branching,30,CG,1.0,0.0,0.2,0.108979,0.9999,0.2,0.0,0.0,1.0,0.4,-1.0810343508548197,0.4748681923063309,-1.0335769327793904,-1.5062222157691358,2.991433554669587,-1.0335769327793904,-0.19801811420113638,intermediate
branching,34,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333,-0.8967194664924134,0.4748681923063309,-0.5637765038885612,-1.5062222157691358,2.991433554669587,-0.5637765038885612,-0.010698823843792282,intermediate
branching,37,CG,1.0,0.0,0.2,0.118697,0.9932,0.2,0.0,0.0,1.0,0.4,-1.0810343508548197,0.4748681923063309,-1.0335769327793904,-1.5062222157691358,2.991433554669587,-1.0335769327793904,-0.19801811420113638,intermediate
branching,39,CG,1.0,0.0,0.6497,0.537522,0.9982,0.6497,0.0,0.0,0.24,0.3984,-1.0898903212746351,0.4748681923063309,0.5513386926685164,-1.5062222157691358,0.1763286651023689,0.5513386926685164,-0.14037304904967304,intermediate
branching,40,CG,1.0,0.0,0.5999,0.481982,0.999,0.5999,0.0,0.0,0.14,0.371,-1.2415488147139724,0.4748681923063309,0.37582435389309754,-1.5062222157691358,-0.19407987299858076,0.37582435389309754,-0.2858890005648605,weak_self
branching,45,CG,1.0,0.0,0.6625,0.540962,0.9989,0.6625,0.0,0.0,0.26,0.4046,-1.0555734358978506,0.4748681923063309,0.5964508118718366,-1.5062222157691358,0.2504103727225589,0.5964508118718366,-0.10726924381573726,intermediate
branching,55,CG,1.0,1.0,0.4,0.185975,0.9999,0.4,1.4781,0.99,1.0,0.8485,1.4014048574496607,0.4748681923063309,-0.3287000702275084,0.7605458173503843,2.991433554669587,-0.3287000702275084,0.8284753802201577,strong_self
branching,59,CG,1.0,0.0,0.6651,0.539723,0.9989,0.6651,0.0,0.0,0.3,0.4113,-1.0184890597648741,0.4748681923063309,0.6056142110850112,-1.5062222157691358,0.39857378796293874,0.6056142110850112,-0.07334014551578628,intermediate
branching,61,CG,1.0,0.14,0.5201,0.465117,0.998,0.5201,0.0594,0.1386,0.02,0.3888,-1.143026143793527,0.4748681923063309,0.09457848573489669,-1.1888746911324028,-0.6385701187197206,0.09457848573489669,-0.384407631644921,weak_self
branching,62,CG,1.0,0.9,0.5984,0.509841,0.999,0.5984,0.7162,0.891,0.14,0.7292,0.741081563022181,0.4748681923063309,0.3705377774239586,0.5338690140384323,-0.19407987299858076,0.3705377774239586,0.3828024085360468,strong_self
branching,67,CG,1.0,0.85,0.5786,0.490991,0.9981,0.5786,0.2908,0.8395,0.32,0.7311,0.7515980278957117,0.4748681923063309,0.3007549680313222,0.42053061238245626,0.47265549558312875,0.3007549680313222,0.4535270440383787,strong_self
branching,70,CG,1.0,0.34,0.5134,0.438589,0.9977,0.5134,0.1518,0.3364,0.04,0.4698,-0.6946926412903767,0.4748681923063309,0.0709651108394085,-0.7355210845084988,-0.5644884110995305,0.0709651108394085,-0.229650620485543,weak_self
branching,72,CG,1.0,1.0,0.4667,0.222388,0.9999,0.4667,1.4867,0.99,1.0,0.8652,1.4938390487064828,0.4748681923063309,-0.09362363656645582,0.7605458173503843,2.991433554669587,-0.09362363656645582,0.9222398899833122,strong_self
branching,73,CG,1.0,0.0,0.4,0.260187,0.9911,0.4,0.0,0.0,1.0,0.45,-0.8042852752355911,0.4748681923063309,-0.3287000702275084,-1.5062222157691358,2.991433554669587,-0.3287000702275084,0.08306568591936234,intermediate
branching,76,CG,1.0,0.9,0.5893,0.446532,0.9977,0.5893,0.205,0.8905,0.18,0.7329,0.7615609946180041,0.4748681923063309,0.338465880177848,0.5338690140384323,-0.04591645775820095,0.338465880177848,0.4002189172600437,strong_self
branching,85,CG,1.0,1.0,0.4,0.199629,0.9999,0.4,1.2783,0.99,1.0,0.8485,1.4014048574496607,0.4748681923063309,-0.3287000702275084,0.7605458173503843,2.991433554669587,-0.3287000702275084,0.8284753802201577,strong_self
branching,96,CG,1.0,0.0,0.8,0.644234,0.9916,0.8,0.0,0.0,1.0,0.55,-0.25078712399713377,0.4748681923063309,1.0810536548762557,-1.5062222157691358,2.991433554669587,1.0810536548762557,0.6452332861603599,strong_self
branching,99,CG,1.0,0.0,0.6602,0.562574,0.9989,0.6602,0.0,0.0,0.34,0.416,-0.9924746466566667,0.4748681923063309,0.58834472795249,-1.5062222157691358,0.5467372032033188,0.58834472795249,-0.05006700183519547,intermediate
branching,104,CG,1.0,1.0,0.4,0.196109,0.9999,0.4,1.6689,0.99,1.0,0.8485,1.4014048574496607,0.4748681923063309,-0.3287000702275084,0.7605458173503843,2.991433554669587,-0.3287000702275084,0.8284753802201577,strong_self
branching,105,CG,1.0,0.0,0.6486,0.594955,0.9989,0.6486,0.0,0.0,0.26,0.4012,-1.0743923730399583,0.4748681923063309,0.5474618699244806,-1.5062222157691358,0.2504103727225589,0.5474618699244806,-0.12673538065520717,intermediate
branching,108,CG,1.0,0.0,0.3333,0.237557,0.9919,0.3333,0.0,0.0,1.0,0.4333,-0.8967194664924134,0.4748681923063309,-0.5637765038885612,-1.5062222157691358,2.991433554669587,-0.5637765038885612,-0.010698823843792282,intermediate
branching,113,CG,1.0,0.0,0.8667,0.59364,0.9914,0.8667,0.0,0.0,0.3,0.4617,-0.7395259915406917,0.4748681923063309,1.3161300885373082,-1.5062222157691358,0.39857378796293874,1.3161300885373082,0.2099923250056764,strong_self
branching,114,CG,1.0,1.0,0.9333,0.86585,0.9927,0.9333,5.9745,0.9466,0.12,0.8433,1.3726229535852612,0.4748681923063309,1.550854083767085,0.7605458173503843,-0.26816158061877077,1.550854083767085,0.9069305916928959,strong_self
branching,122,CG,1.0,0.12,0.5226,0.454457,0.998,0.5226,0.0476,0.1184,0.02,0.3814,-1.1839850069851727,0.4748681923063309,0.10338944651679502,-1.2342100517947934,-0.6385701187197206,0.10338944651679502,-0.3958530153599609,weak_self
branching,123,CG,1.0,0.9,0.5859,0.550749,0.9989,0.5859,0.5526,0.889,0.2,0.7348,0.7720774594915348,0.4748681923063309,0.32648297351446576,0.5338690140384323,0.028165249861989067,0.32648297351446576,0.41032431045453643,strong_self
branching,128,CG,0.8333,1.0,0.7392,0.500489,0.9903,0.7392,0.5838,0.9518,0.02,0.7472,0.8407112302451034,-0.4334762772888504,0.8667710886604832,0.7605458173503843,-0.6385701187197206,0.8667710886604832,0.3771254714846472,strong_self
branching,129,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4,-1.0810343508548197,0.4748681923063309,-1.0335769327793904,-1.5062222157691358,2.991433554669587,-1.0335769327793904,-0.19801811420113638,intermediate
