depth,sector,stability_strength,boundary_coherence,degradation_rate,boundedness,rg_similarity,classification
1,projection,0.7341,0.7823,0.1534,0.8231,0.9156,BOUNDARY-PRESERVING
1,antisymmetry,0.7128,0.7689,0.1645,0.8145,0.9034,BOUNDARY-PRESERVING
1,neutral,0.6892,0.7412,0.1789,0.7967,0.8912,WEAKLY_BOUNDARY_STABLE
3,projection,0.6987,0.7541,0.1712,0.7989,0.8945,BOUNDARY-PRESERVING
3,antisymmetry,0.6812,0.7398,0.1823,0.7823,0.8834,WEAKLY_BOUNDARY_STABLE
3,neutral,0.6543,0.7123,0.2012,0.7634,0.8656,WEAKLY_BOUNDARY_STABLE
5,projection,0.6734,0.7289,0.1891,0.7745,0.8767,WEAKLY_BOUNDARY_STABLE
5,antisymmetry,0.6512,0.7045,0.2034,0.7567,0.8598,WEAKLY_BOUNDARY_STABLE
5,neutral,0.6231,0.6834,0.2245,0.7389,0.8432,WEAKLY_BOUNDARY_STABLE
8,projection,0.6423,0.7012,0.2134,0.7512,0.8567,WEAKLY_BOUNDARY_STABLE
8,antisymmetry,0.6189,0.6789,0.2312,0.7345,0.8412,WEAKLY_BOUNDARY_STABLE
8,neutral,0.5891,0.6543,0.2512,0.7156,0.8234,WEAKLY_BOUNDARY_STABLE
12,projection,0.6134,0.6745,0.2345,0.7289,0.8398,WEAKLY_BOUNDARY_STABLE
12,antisymmetry,0.5876,0.6512,0.2512,0.7089,0.8201,WEAKLY_BOUNDARY_STABLE
12,neutral,0.5567,0.6245,0.2734,0.6891,0.8012,BOUNDARY-DEGRADING
16,projection,0.5845,0.6489,0.2523,0.7067,0.8234,WEAKLY_BOUNDARY_STABLE
16,antisymmetry,0.5589,0.6234,0.2689,0.6845,0.8012,BOUNDARY-DEGRADING
16,neutral,0.5263,0.5912,0.2945,0.6623,0.7789,BOUNDARY-DEGRADING
20,projection,0.5567,0.6245,0.2712,0.6845,0.8076,WEAKLY_BOUNDARY_STABLE
20,antisymmetry,0.5291,0.5978,0.2867,0.6634,0.7845,BOUNDARY-DEGRADING
20,neutral,0.4967,0.5623,0.3124,0.6389,0.7567,BOUNDARY-DEGRADING
