depth,hierarchy_level,sector,hierarchy_strength,cross_level_variability,coordination_strength,retention_strength,sector_bias,recursive_consistency,rg_stability
1,1,projection,0.9433,0.2586,0.8654,0.9433,0.0377,0.9433,
1,1,antisymmetry,1.0000,0.2659,0.7435,1.0000,0.0522,1.0000,
1,1,neutral,0.8601,0.2089,0.7847,0.8601,0.0607,0.8601,
3,3,projection,0.9433,0.2586,0.8654,0.9433,0.0377,0.9433,
3,3,antisymmetry,1.0000,0.2659,0.7435,1.0000,0.0522,1.0000,
3,3,neutral,0.8601,0.2089,0.7847,0.8601,0.0607,0.8601,
6,6,projection,0.9433,0.2586,0.8654,0.9433,0.0377,0.9433,True
6,6,antisymmetry,1.0000,0.2659,0.7435,1.0000,0.0522,1.0000,
6,6,neutral,0.8601,0.2089,0.7847,0.8601,0.0607,0.8601,
9,9,projection,0.9433,0.2586,0.8654,0.9433,0.0377,0.9433,
9,9,antisymmetry,1.0000,0.2659,0.7435,1.0000,0.0522,1.0000,
9,9,neutral,0.8601,0.2089,0.7847,0.8601,0.0607,0.8601,
12,12,projection,0.9433,0.2586,0.8654,0.9433,0.0377,0.9433,True
12,12,antisymmetry,1.0000,0.2659,0.7435,1.0000,0.0522,1.0000,
12,12,neutral,0.8601,0.2089,0.7847,0.8601,0.0607,0.8601,
15,15,projection,0.9433,0.2586,0.8654,0.9433,0.0377,0.9433,
15,15,antisymmetry,1.0000,0.2659,0.7435,1.0000,0.0522,1.0000,
15,15,neutral,0.8601,0.2089,0.7847,0.8601,0.0607,0.8601,
20,20,projection,0.9433,0.2586,0.8654,0.9433,0.0377,0.9433,True
20,20,antisymmetry,1.0000,0.2659,0.7435,1.0000,0.0522,1.0000,
20,20,neutral,0.8601,0.2089,0.7847,0.8601,0.0607,0.8601,
