depth,sector,accessible_volume,volume_ratio,state_diversity,revisit_rate,manifold_compactness,rg_stability
1,projection,0.6860,1.0000,0.000053,0.0000,29.4360,
1,antisymmetry,0.0040,1.0000,0.000657,0.0000,15.9571,
1,neutral,0.3100,1.0000,0.000168,0.0000,18.5774,
3,projection,0.8080,1.1778,0.000048,0.0000,33.0612,
3,antisymmetry,0.0000,0.0000,0.000000,0.0000,0.0000,
3,neutral,0.1920,0.6194,0.000143,0.0000,17.1759,
6,projection,0.7740,0.9581,0.000053,0.0000,35.1423,True
6,antisymmetry,0.0000,0.0000,0.000000,0.0000,0.0000,
6,neutral,0.2260,1.1771,0.000153,0.0000,18.2804,
9,projection,0.7680,0.9923,0.000051,0.0000,33.7432,
9,antisymmetry,0.0000,0.0000,0.000000,0.0000,0.0000,
9,neutral,0.2320,1.0265,0.000163,0.0000,18.4055,
12,projection,0.7480,0.9740,0.000053,0.0000,31.7261,
12,antisymmetry,0.0000,0.0000,0.000000,0.0000,0.0000,
12,neutral,0.2520,1.0862,0.000152,0.0000,17.9695,
15,projection,0.7760,1.0374,0.000058,0.0000,35.2834,
15,antisymmetry,0.0000,0.0000,0.000000,0.0000,0.0000,
15,neutral,0.2240,0.8889,0.000168,0.0000,17.0161,
20,projection,0.6880,0.8866,0.000066,0.0000,32.6276,True
20,antisymmetry,0.0020,0.0000,0.000688,0.0000,10000000000.0000,
20,neutral,0.3100,1.3839,0.000164,0.0000,17.6871,True
