sim,transition_type,K1,K2,pre_order,post_order,r_drop,r_recovery,pre_closure,post_closure,c_drop,c_recovery,continuity_survives
0,fragmentation,0.8,0.0,0.8897029914354578,0.547818875578607,0.055684073718691884,0.6150410191120403,0.35479888188875824,0.2557845824839584,0.0,0.7217127302953217,0
1,coupling_strengthen,0.2,1.0,0.8501861847316787,0.9851417362891182,0.03550146919027808,1.0,0.6334735253353893,0.7925199606963811,0.10170684041518707,1.0,1
2,topology_change,0.6,0.6,0.28693300596683685,0.2514786746690039,0.0,0.8733930096849278,0.2523147517297486,0.3005942418717574,0.21243019532878932,1.0,1
3,fragmentation,0.8,0.0,0.6804071897623075,0.42089645984009516,0.06546039845993934,0.617687142377988,0.4354231313770039,0.26740649508931075,0.038524770874168224,0.6150143651699523,0
4,coupling_weaken,1.0,0.2,0.9194659157071742,0.4895200321974162,0.027138794529108168,0.531817663037885,0.8182617056003705,0.48696676330695055,0.0833190676546065,0.595617688427606,1
5,bifurcation,0.8,0.8,0.8542266931774768,0.4404048499226004,0.12994563189495012,0.514956856978279,0.5081600667016791,0.4875585973044765,0.0,0.9595383244985055,1
6,bifurcation,0.8,0.8,0.39002837196010626,0.9252358637185597,0.19132797608435562,1.0,0.4629193568305508,0.520586768421386,0.13275094144927374,1.0,1
7,topology_change,0.6,0.6,0.28602879590179975,0.9034864104385845,0.12804484327705595,1.0,0.1950132049980507,0.3746685719577783,0.14439351131343087,1.0,1
8,closure_reorg,0.6,0.6,0.8651422024306469,0.7770011691089108,0.0,0.8970826810290731,0.558465724426989,0.7120851066934863,0.12202687263903839,1.0,1
9,coupling_weaken,1.0,0.2,0.9827487687127204,0.5056904943991547,0.007486219525072002,0.5140443479902633,0.7683043654810681,0.4304901912804029,0.0,0.5608835860570994,1
10,closure_reorg,0.6,0.6,0.6616664385906571,0.7839424503520784,0.0,1.0,0.35153775089587336,0.49226729246813533,0.16571656114369968,1.0,1
11,coupling_weaken,1.0,0.2,0.9522122010241941,0.8331564652387676,0.01836611335205618,0.8740514067524202,0.8338711748903143,0.49351381119540544,0.0019127071084755753,0.5923234938137311,1
12,topology_change,0.6,0.6,0.9696622984916813,0.9451430946071373,0.0015994417214975076,0.9737094930706607,0.8309881122456287,0.8942683232749519,0.011693178060452447,1.0,1
13,closure_reorg,0.6,0.6,0.45141914834331515,0.5046339748856191,0.0,1.0,0.2386369738440224,0.15045490882675855,0.033489781716479705,0.6320181163919187,0
14,fragmentation,0.8,0.0,0.8065297498297699,0.8448753259705158,0.1543339632926498,1.0,0.5328490018905309,0.4509243270833716,0.17970364425185925,0.8465396122929186,1
15,closure_reorg,0.6,0.6,0.9254301168698631,0.9210739643905644,0.0019594209527514783,0.99421850349879,0.7556857448673634,0.8416665712300059,0.014820082370481491,1.0,1
16,topology_change,0.6,0.6,0.5493365737504626,0.8073330488389558,0.11273482997013046,1.0,0.5195597652300858,0.6188145231262927,0.13196919392716916,1.0,1
