sim,transition_type,c_curvature,closure_deformation,bifurcation_point,pre_c_range,post_c_range,r_delta,c_delta
0,fragmentation,0.00010826837349009699,0.3339665729128125,0,0.08879959491459094,0.06771773950195492,-0.34188411585685086,-0.09901429940479983
1,coupling_strengthen,1.929547403077357e-05,0.20774356505203675,0,0.235216312784867,0.21985341983104878,0.13495555155743943,0.15904643536099183
2,topology_change,0.00016819205294958586,1.601594374697483,1,0.10780848686667144,0.32042666752326826,-0.03545433129783293,0.048279490142008774
3,fragmentation,7.849497985205359e-05,0.0008675789773608679,0,0.09989667513289069,0.10375327570882059,-0.25951072992221236,-0.16801663628769314
4,coupling_weaken,6.251063905994865e-05,0.7272942459951409,0,0.11769112513314917,0.13152792662160007,-0.429945883509758,-0.33129494229341994
5,bifurcation,4.193313636035093e-05,1.7641367899163414,0,0.022118580942301125,0.038393734112393996,-0.41382184325487636,-0.020601469397202643
6,bifurcation,0.00015919910829454022,0.09435612743743803,0,0.08957058044329241,0.08715394211801147,0.5352074917584535,0.05766741159083516
7,topology_change,6.987551888320962e-05,0.4730036258939392,0,0.1901651734734826,0.2078967601858475,0.6174576145367847,0.1796553669597276
8,closure_reorg,0.0002290821859779398,0.4702271706024622,0,0.297288929137674,0.2169602109938017,-0.08814103332173606,0.1536193822664973
9,coupling_weaken,3.692581467011668e-05,0.255345508354079,0,0.03939677909558148,0.03941661050797085,-0.47705827431356573,-0.3378141742006652
10,closure_reorg,0.0002090240596940152,0.47555093625574596,0,0.34413866147737765,0.23764215428158608,0.12227601176142133,0.14072954157226197
11,coupling_weaken,3.0049599363218534e-05,0.7651663099313475,0,0.0198305786461358,0.022354367172977563,-0.1190557357854265,-0.3403573636949088
12,topology_change,1.120655408166696e-05,0.15912326231391943,0,0.06461484075915525,0.06680073550793642,-0.024519203884543983,0.06328021102932313
13,closure_reorg,0.00020765569595827802,4.677636278926826,0,0.10741170960047469,0.17994761825387728,0.05321482654230397,-0.08818206501726386
14,fragmentation,8.090732753186678e-05,0.6806498928389778,0,0.24790583028511437,0.3050339237557397,0.03834557614074596,-0.08192467480715926
15,closure_reorg,2.613875186715987e-05,1.1908026705645034,0,0.03737083220947002,0.055991874651900586,-0.004356152479298658,0.08598082636264248
16,topology_change,2.2428887889689034e-05,0.3531430312212385,0,0.1457088015587641,0.16348857592798482,0.2579964750884932,0.09925475789620686
17,fragmentation,6.310350745685843e-05,0.5138456872583409,0,0.06714442475593624,0.0745171087068901,-0.12056162449294705,-0.19131537876571614
18,closure_reorg,0.0001823106743991177,0.1813063984782944,0,0.05564794717327609,0.04429373993378244,-0.2006536230062333,0.07551870385967757
19,fragmentation,7.531377185858665e-05,0.7982622839026099,0,0.05836450943818694,0.06652350401750629,-0.6339819045243265,-0.725432883698423
20,bifurcation,0.00013889735449035764,0.03224272103140604,0,0.14305397638536999,0.18800949914201864,-0.5150735654948185,0.0543165523825469
