sim,transition_type,step,order_param,shared_closure,c_std,in_transition
0,fragmentation,0,0.5449600889512255,0.4142966722459562,0.31791960430549315,0
0,fragmentation,10,0.49642250009364897,0.404096189529072,0.29875700086414564,0
0,fragmentation,20,0.4638905063711318,0.3917057199816204,0.28145092125291465,0
0,fragmentation,30,0.4729648611277151,0.3794438557706391,0.2641677038102963,0
0,fragmentation,40,0.5259792951434422,0.37041955015450967,0.24493844308863683,0
0,fragmentation,50,0.5891076519697145,0.3666232741387498,0.22286062273936963,0
0,fragmentation,60,0.6318084631492679,0.3674500207530531,0.19882284735601952,0
0,fragmentation,70,0.6481074604157716,0.37064559405852465,0.1745908974607983,0
0,fragmentation,80,0.6445087260482454,0.3740282732387167,0.15161413161602189,0
0,fragmentation,90,0.6280291131610456,0.37617005847338536,0.1306768504161875,0
0,fragmentation,100,0.602773452507587,0.3762805106091517,0.11208347779009226,0
0,fragmentation,110,0.5701976242397861,0.3739268060805772,0.09591461445471722,0
0,fragmentation,120,0.5298419224616977,0.36882873293755974,0.08219940067075941,0
0,fragmentation,130,0.47968892382343686,0.36074727880058083,0.07099634917775187,0
0,fragmentation,140,0.4161530254342327,0.3494497119937587,0.06238234125820202,0
0,fragmentation,150,0.33418242836928436,0.3347694762671892,0.05631940121688122,0
0,fragmentation,160,0.23053173187151027,0.3168627426459761,0.05239267186220676,0
0,fragmentation,170,0.1410321297078274,0.29690765006269243,0.04959421722897489,0
0,fragmentation,180,0.24395512820826373,0.27850632221338206,0.04673005569480628,0
0,fragmentation,190,0.47629707099297713,0.26890115717759755,0.044206277953192236,0
0,fragmentation,200,0.7081210611380605,0.2763092640959145,0.04419207055722641,0
0,fragmentation,210,0.8651243766158238,0.3022038838238713,0.0447991051671646,0
0,fragmentation,220,0.9291671483195337,0.338598733669738,0.042413355659690406,0
0,fragmentation,230,0.933577457252967,0.375961384331125,0.03750972809509234,0
0,fragmentation,240,0.9133169269279539,0.4092355279252529,0.03195903197624714,0
0,fragmentation,250,0.8786800341591545,0.43690902438967366,0.027004558762497584,1
0,fragmentation,260,0.7550379937846057,0.4526621744213462,0.02335176214738724,1
0,fragmentation,270,0.5964387236872375,0.4524837734979957,0.02350581233600799,1
0,fragmentation,280,0.41409009143592723,0.43829824211797436,0.027914746051378548,1
0,fragmentation,290,0.2240091369625149,0.4145380998944196,0.033021636747383315,1
0,fragmentation,300,0.0900396100641919,0.3870063073783684,0.035407739775157,1
0,fragmentation,310,0.2049197002662914,0.3614799058503165,0.03385121507408614,1
0,fragmentation,320,0.36207298090377005,0.34240212838736184,0.030611918927291423,1
0,fragmentation,330,0.4933499706666613,0.3319758622770431,0.032562972654226266,1
0,fragmentation,340,0.5866969174247603,0.3298597087543436,0.04398964518672672,1
0,fragmentation,350,0.6364502709233268,0.33350938146657133,0.06025507853628248,1
0,fragmentation,360,0.6406564375612904,0.33904355552361165,0.0757260158959742,1
0,fragmentation,370,0.6007290237813403,0.34238648211414,0.0868457352074594,1
0,fragmentation,380,0.5213395093732026,0.3403810020267075,0.0918773349075469,1
0,fragmentation,390,0.41051101633366494,0.33158777701021475,0.0906643354031058,1
0,fragmentation,400,0.2810235861550899,0.31658101101278474,0.08434049444948061,1
0,fragmentation,410,0.16152894321640746,0.2976905476207615,0.07492109299584604,1
0,fragmentation,420,0.14801443349623855,0.2782870225633639,0.06489931305914849,1
0,fragmentation,430,0.2546385361585956,0.2618221455797034,0.056930672828883463,1
0,fragmentation,440,0.3751220077204131,0.2508911678176065,0.05329827123909174,1
0,fragmentation,450,0.47658035772773794,0.2465670348879133,0.05476424067932758,1
0,fragmentation,460,0.5475596310716941,0.24817304530282702,0.060040350743740825,1
0,fragmentation,470,0.5825139760870264,0.25353736756833445,0.06708124750016084,1
0,fragmentation,480,0.5796986356074612,0.2596427549712828,0.07441056047458273,1
0,fragmentation,490,0.54091990623958,0.26348294149958307,0.08129072684821229,1
1,coupling_strengthen,0,0.5599582143788314,0.662069493521419,0.17284112862586606,0
1,coupling_strengthen,10,0.5583304809487085,0.6517647001193521,0.1609171398248967,0
1,coupling_strengthen,20,0.556832557158313,0.6417087611660139,0.151009947149851,0
1,coupling_strengthen,30,0.557091796768163,0.6319272836349581,0.14319136063269594,0
1,coupling_strengthen,40,0.5610220058451375,0.6225041072260069,0.13742954003433566,0
1,coupling_strengthen,50,0.5706342014076009,0.613588070978101,0.13355799504562585,0
1,coupling_strengthen,60,0.5876595416964804,0.6053942775776375,0.13126682709034285,0
1,coupling_strengthen,70,0.6130270745511558,0.5981948460254299,0.13012586893596553,0
1,coupling_strengthen,80,0.6463786544175787,0.5922936882056329,0.12963757480624302,0
1,coupling_strengthen,90,0.685877925153434,0.587982705550708,0.12930713572418534,0
1,coupling_strengthen,100,0.728476481195253,0.585484389498957,0.12871284247173462,0
1,coupling_strengthen,110,0.7705796358339894,0.584895962842116,0.12755985270987552,0
1,coupling_strengthen,120,0.8088557357199339,0.5861558604857715,0.12570418260981459,0
