null_iteration,n1_shuffled_labels_cg_invariance,n2_shuffled_properties_cg_invariance,n3_shuffled_pairs_cg_invariance
0,0.5944519130259832,0.7194269564250273,0.655995862562051
1,0.5914306735002619,0.6381178546378139,0.6281211619418011
2,0.6384727480904507,0.6961740769536369,0.6420797091904143
3,0.6105818860098352,0.6384261603181438,0.6540833114815936
4,0.6214547634395544,0.6352918339796035,0.6555199183502496
5,0.6028617943853826,0.6933854480155927,0.6444960779167547
6,0.6049775051923068,0.6637848498479344,0.6986158879489537
7,0.6178407990772993,0.6613545418916785,0.6590731294538804
8,0.5980018242595779,0.6617405740252987,0.6778238692677838
9,0.6204590264247362,0.643654589049615,0.6683339317989921
10,0.6105076204774198,0.6677205794858557,0.6225254899609786
11,0.5973064823859401,0.6274030810295951,0.6279768883730142
12,0.6065974259281197,0.6671775712551747,0.6557594769126053
13,0.5948445499332816,0.6698714871951883,0.6444882669423108
14,0.5999793598702037,0.6602504433598582,0.6438128425164084
15,0.6458547140715505,0.6601145351731758,0.6686352942415525
16,0.6150526112112235,0.6814227071766147,0.6637640052242441
17,0.61188526610938,0.6729880213732096,0.6950610635130955
18,0.63801465245868,0.6678864655721846,0.6535529178341954
19,0.6045505932457351,0.6442682865372059,0.6859322801789002
20,0.6218946192800522,0.6690885257858793,0.6623742532965219
21,0.5992833603507852,0.6441710577416414,0.6585506846708032
22,0.6255407650380426,0.6799196250896319,0.65409069324762
23,0.6052071556994048,0.6610974134994927,0.6868929653969631
24,0.5959402797292853,0.6538931054247302,0.6790374967585231
25,0.5956606110834026,0.6222076052153531,0.6402838367054515
26,0.6135450878061786,0.6722812352247175,0.6655015583715019
27,0.6050490716738677,0.6427237463167911,0.6714147586176589
28,0.6461701847810208,0.6414643079958722,0.6789155457131996
29,0.5953607659744043,0.6634997204760705,0.6731396751038512
