chain_idx,step,domain,cg_rate,mean_reversibility,mean_recursive_closure,mean_continuity,cg_decay
0,0,kuramoto,0.1672,0.3021,0.3021,0.9331,0.0
0,1,kuramoto∘gray_scott,0.1877,0.3642,0.3642,0.9247,0.1223
0,2,gray_scott∘cellular_automata,0.1343,0.2748,0.2748,0.9302,0.1972
0,3,cellular_automata∘coupled_map_lattice,0.1324,0.2561,0.2561,0.9176,0.2083
0,4,coupled_map_lattice∘population,0.136,0.2558,0.2558,0.9171,0.1866
0,5,population∘lotka_volterra,0.0824,0.1963,0.1963,0.9331,0.5072
1,0,graph_diffusion,0.0347,0.0708,0.0708,0.9744,0.0
1,1,graph_diffusion∘kuramoto,0.101,0.1865,0.1865,0.9538,1.912
1,2,kuramoto∘coupled_map_lattice,0.1157,0.2119,0.2119,0.9294,2.3389
1,3,coupled_map_lattice∘population,0.1277,0.2337,0.2337,0.9229,2.6838
1,4,population∘lotka_volterra,0.0782,0.1853,0.1853,0.9361,1.257
1,5,lotka_volterra∘graph_diffusion,0.0565,0.128,0.128,0.9552,0.6285
2,0,population,0.1397,0.2555,0.2555,0.9165,0.0
2,1,population∘cellular_automata,0.1103,0.2204,0.2204,0.9261,0.2106
2,2,cellular_automata∘coupled_map_lattice,0.1204,0.2289,0.2289,0.9156,0.138
2,3,coupled_map_lattice∘graph_diffusion,0.0775,0.1499,0.1499,0.945,0.4449
2,4,graph_diffusion∘coupled_map_lattice,0.104,0.1936,0.1936,0.925,0.2551
2,5,coupled_map_lattice∘replicator,0.0907,0.1781,0.1781,0.9308,0.3503
3,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
3,1,lotka_volterra∘cellular_automata,0.0548,0.1611,0.1611,0.9425,0.9044
3,2,cellular_automata∘population,0.0972,0.2083,0.2083,0.9295,2.3789
3,3,population∘graph_diffusion,0.066,0.1395,0.1395,0.9519,1.2917
3,4,graph_diffusion∘gray_scott,0.137,0.2829,0.2829,0.9341,3.7619
3,5,gray_scott∘population,0.1384,0.2692,0.2692,0.9253,3.8076
4,0,cellular_automata,0.0808,0.1854,0.1854,0.9358,0.0
4,1,cellular_automata∘graph_diffusion,0.0577,0.1281,0.1281,0.9551,0.2856
4,2,graph_diffusion∘gray_scott,0.1329,0.2772,0.2772,0.9357,0.6446
4,3,gray_scott∘graph_diffusion,0.0838,0.174,0.174,0.955,0.0367
4,4,graph_diffusion∘cellular_automata,0.0823,0.1797,0.1797,0.9454,0.0184
4,5,cellular_automata∘gray_scott,0.1452,0.3029,0.3029,0.9308,0.7966
5,0,coupled_map_lattice,0.1305,0.2374,0.2374,0.905,0.0
5,1,coupled_map_lattice∘replicator,0.104,0.2,0.2,0.9208,0.2034
5,2,replicator∘kuramoto,0.1356,0.2511,0.2511,0.9269,0.0389
5,3,kuramoto∘replicator,0.1065,0.2069,0.2069,0.9317,0.184
