system,stability,entropy,dominance,participation,dispersion
EnergyMomentumConservation,1.036115,2.4109863552437676,0.2692307692307692,4.970588235294117,0.9543793198914912
ChemicalEquilibriumNetwork,1.068225,2.5185529507103013,0.23076923076923078,5.5409836065573765,0.9969591271148356
SuperconductorCoherence,1.111627,2.5185529507103013,0.23076923076923078,5.5409836065573765,0.9969591271148356
DoubleSlitInterference,1.068225,2.5185529507103013,0.23076923076923078,5.5409836065573765,0.9969591271148356
TurbulenceEnergyCascade,1.111627,2.5185529507103013,0.23076923076923078,5.5409836065573765,0.9969591271148356
reaction_diffusion,0.344045,2.411602217974672,0.3076923076923077,4.828571428571428,0.9546231066939294
synchronized_oscillators,0.80142,2.3622094289306608,0.34615384615384615,4.506666666666666,0.9350711684123868
recursive_market,0.293974,2.4933597956313176,0.23076923076923078,5.365079365079364,0.9869865172915128
predator_prey_cycles,0.370164,2.3975819111823533,0.3076923076923077,4.76056338028169,0.9490732242435286
neural_cascade,0.192496,2.411602217974672,0.3076923076923077,4.828571428571428,0.9546231066939294
avalanche_redistribution,-0.553197,1.880247514883099,0.5,3.017857142857143,0.7442884695630577
percolation_transport,0.586377,2.5262349099495225,0.23076923076923078,5.540983606557376,1.0
CrystallizationFromLiquid,0.960019,1.4603721872403521,0.6538461538461539,2.1257861635220126,0.578082497984929
LaserOpticalCoherence,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
FerromagneticMagnetization,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
ElectronTransportMesoscopic,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
LimitCycleOscillations,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
HeatTransportPhononic,0.960019,1.4603721872403521,0.6538461538461539,2.1257861635220126,0.578082497984929
StrangeAttractorLorenz,0.968782,1.4603721872403521,0.6538461538461539,2.1257861635220126,0.578082497984929
AndersonLocalization,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
PhaseEquilibriumMulticomponent,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
PhotonicBandgapLocalization,0.812712,1.2901208527411523,0.6923076923076923,1.9096045197740117,0.5106891871615101
CriticalPhenomenaScaling,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
ChargeConservationEM,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
StandingWavePatterns,0.9978,1.943997530240833,0.5384615384615384,2.864406779661017,0.7695236585419828
random_walk,0.456684,2.4055359917792947,0.2692307692307692,4.828571428571428,0.9522218152813668
static_equilibrium,1.979348,2.3331752942320656,0.34615384615384615,4.447368421052631,0.9235781221464814
memoryless_diffusion,0.464011,2.3825680832760767,0.3076923076923077,4.760563380281688,0.9431300604280239
white_noise,0.672086,2.4416298737872246,0.3076923076923077,4.970588235294117,0.9665094343249384
disconnected_flow,1.152038,2.455650180579543,0.3076923076923077,5.044776119402984,0.9720593167753391
monotonic_decay,0.809127,1.4768421209055118,0.6923076923076923,1.9766081871345031,0.5846020554497923
