depth,sector,scaling_strength,proportional_retention,scale_drift,boundedness,rg_similarity,classification
1,projection,0.915295,0.915123,0.167088,0.958227,0.978432,SCALING-PRESERVING
1,antisymmetry,0.860377,0.841913,0.158734,0.919898,0.939294,SCALING-PRESERVING
1,neutral,0.750542,0.713796,0.142025,0.843240,0.861020,SCALING-PRESERVING
3,projection,0.906430,0.906071,0.161764,0.954836,0.975477,SCALING-PRESERVING
3,antisymmetry,0.852045,0.833585,0.153675,0.916642,0.936458,SCALING-PRESERVING
3,neutral,0.743273,0.706735,0.137499,0.840256,0.858420,SCALING-PRESERVING
5,projection,0.898248,0.897880,0.157041,0.951642,0.972749,SCALING-PRESERVING
5,antisymmetry,0.844353,0.826050,0.149189,0.913577,0.933839,SCALING-PRESERVING
5,neutral,0.736563,0.700346,0.133485,0.837445,0.856019,SCALING-PRESERVING
8,projection,0.887138,0.887032,0.150939,0.947198,0.969046,SCALING-PRESERVING
8,antisymmetry,0.833910,0.816069,0.143392,0.909310,0.930284,SCALING-PRESERVING
8,neutral,0.727453,0.691885,0.128298,0.833534,0.852760,SCALING-PRESERVING
12,projection,0.874254,0.874881,0.144338,0.941861,0.964751,SCALING-PRESERVING
12,antisymmetry,0.821799,0.804891,0.137121,0.904186,0.926161,SCALING-PRESERVING
12,neutral,0.716888,0.682407,0.122687,0.828837,0.848981,SCALING-PRESERVING
16,projection,0.863275,0.864933,0.139145,0.937127,0.961092,SCALING-PRESERVING
16,antisymmetry,0.811479,0.795738,0.132187,0.899642,0.922648,SCALING-PRESERVING
16,neutral,0.707886,0.674648,0.118273,0.824672,0.845761,SCALING-PRESERVING
20,projection,0.853919,0.856788,0.135060,0.932929,0.957973,SCALING-PRESERVING
20,antisymmetry,0.802684,0.788245,0.128307,0.895612,0.919654,SCALING-PRESERVING
20,neutral,0.700214,0.668295,0.114801,0.820977,0.843016,SCALING-PRESERVING
