Condition,Topology,Depth0,Depth0.5,Depth1.0,Depth2.0,MaxLoc,Variance,Fractured
recursion_only,all-to-all,0.0254,0.0254,0.0254,0.0254,0.0254,0.000077,False
recursion_only,erdos-renyi,0.0254,0.0254,0.0254,0.0254,0.0254,0.000077,False
recursion_only,small-world,0.0254,0.0254,0.0254,0.0254,0.0254,0.000077,False
recursion_only,scale-free,0.0254,0.0254,0.0254,0.0254,0.0254,0.000077,False
recursion_only,modular,0.0254,0.0254,0.0254,0.0254,0.0254,0.000077,False
recursion_delay,all-to-all,0.0248,0.0248,0.0248,0.0248,0.0248,0.000070,False
recursion_delay,erdos-renyi,0.0248,0.0248,0.0248,0.0248,0.0248,0.000070,False
recursion_delay,small-world,0.0248,0.0248,0.0248,0.0248,0.0248,0.000070,False
recursion_delay,scale-free,0.0248,0.0248,0.0248,0.0248,0.0248,0.000070,False
recursion_delay,modular,0.0248,0.0248,0.0248,0.0248,0.0248,0.000070,False
recursion_hetero,all-to-all,0.0202,0.0202,0.0202,0.0202,0.0202,0.000041,False
recursion_hetero,erdos-renyi,0.0254,0.0254,0.0254,0.0254,0.0254,0.000076,False
recursion_hetero,small-world,0.0104,0.0104,0.0104,0.0104,0.0104,0.000005,False
recursion_hetero,scale-free,0.0124,0.0124,0.0124,0.0124,0.0124,0.000010,False
recursion_hetero,modular,0.0144,0.0144,0.0144,0.0144,0.0144,0.000012,False
compound,all-to-all,0.0196,0.0196,0.0196,0.0196,0.0196,0.000026,False
compound,erdos-renyi,0.0215,0.0215,0.0215,0.0215,0.0215,0.000049,False
compound,small-world,0.0065,0.0065,0.0065,0.0065,0.0065,0.000003,False
compound,scale-free,0.0176,0.0176,0.0176,0.0176,0.0176,0.000026,False
compound,modular,0.0117,0.0117,0.0117,0.0117,0.0117,0.000011,False
