src,tgt,target,R2,same
branching,branching,poss_reachable_volume,0.35301697498728235,True
branching,branching,poss_branching_diversity,0.40008311394838925,True
branching,branching,poss_adaptive_recovery,0.17943338814165177,True
branching,branching,poss_future_entropy,0.14797941008702387,True
branching,branching,poss_divergence_capacity,0.5381416884387362,True
branching,branching,poss_stability_fertility_coupling,0.09280370193331988,True
branching,cellular_automata,poss_reachable_volume,-961826591850.305,False
branching,cellular_automata,poss_branching_diversity,-266.2698074782011,False
branching,cellular_automata,poss_adaptive_recovery,-1986.5790427021816,False
branching,cellular_automata,poss_future_entropy,-1.8190358987688917,False
branching,cellular_automata,poss_divergence_capacity,-43625196092.406845,False
branching,cellular_automata,poss_stability_fertility_coupling,-38.23264236592622,False
branching,coupled_map_lattice,poss_reachable_volume,-5570.545328561732,False
branching,coupled_map_lattice,poss_branching_diversity,-89155.72416466211,False
branching,coupled_map_lattice,poss_adaptive_recovery,-5304848.36883037,False
branching,coupled_map_lattice,poss_future_entropy,-20143.45158709965,False
branching,coupled_map_lattice,poss_divergence_capacity,-80341705707757.86,False
branching,coupled_map_lattice,poss_stability_fertility_coupling,-19075.969295953313,False
branching,graph_diffusion,poss_reachable_volume,-3262343112.8541346,False
branching,graph_diffusion,poss_branching_diversity,-1.2572987481537719,False
branching,graph_diffusion,poss_adaptive_recovery,-1693.7380757381839,False
branching,graph_diffusion,poss_future_entropy,-139.24019013904578,False
branching,graph_diffusion,poss_divergence_capacity,-422029054122654.25,False
branching,graph_diffusion,poss_stability_fertility_coupling,-468214.2118873494,False
branching,gray_scott,poss_reachable_volume,-11.398883397001967,False
branching,gray_scott,poss_branching_diversity,-3.1662717310471997,False
branching,gray_scott,poss_adaptive_recovery,-235.7901273889772,False
branching,gray_scott,poss_future_entropy,-1.9807555876511267,False
branching,gray_scott,poss_divergence_capacity,-658506367.4581,False
branching,gray_scott,poss_stability_fertility_coupling,-1.3083746853878995,False
branching,kuramoto,poss_reachable_volume,-7.428675393258304,False
branching,kuramoto,poss_branching_diversity,-0.8770561733844908,False
branching,kuramoto,poss_adaptive_recovery,-2867.0854621846706,False
branching,kuramoto,poss_future_entropy,-0.6998096071879116,False
branching,kuramoto,poss_divergence_capacity,-10286544357.933167,False
branching,kuramoto,poss_stability_fertility_coupling,-0.5435436576976367,False
branching,lotka_volterra,poss_reachable_volume,-458.3237207774506,False
branching,lotka_volterra,poss_branching_diversity,-27.58356118985925,False
branching,lotka_volterra,poss_adaptive_recovery,-7976.188292346228,False
branching,lotka_volterra,poss_future_entropy,-25.744928187340392,False
branching,lotka_volterra,poss_divergence_capacity,-45463.21465980718,False
branching,lotka_volterra,poss_stability_fertility_coupling,-54.193751207137566,False
branching,nonlinear_oscillator,poss_reachable_volume,-1.575853185884085,False
branching,nonlinear_oscillator,poss_branching_diversity,-0.44525254931110125,False
branching,nonlinear_oscillator,poss_adaptive_recovery,-29.84611436305799,False
branching,nonlinear_oscillator,poss_future_entropy,-0.0795255162374775,False
branching,nonlinear_oscillator,poss_divergence_capacity,-429494136.2786496,False
branching,nonlinear_oscillator,poss_stability_fertility_coupling,-5.043907495527992,False
branching,population,poss_reachable_volume,-0.47526747267676406,False
branching,population,poss_branching_diversity,-5.422453314021048,False
branching,population,poss_adaptive_recovery,-24.918718085093843,False
branching,population,poss_future_entropy,-2.5500525325335714,False
branching,population,poss_divergence_capacity,-833757716.5012333,False
branching,population,poss_stability_fertility_coupling,-0.14025186198796313,False
branching,replicator,poss_reachable_volume,-2059370.4451137308,False
branching,replicator,poss_branching_diversity,-128.3082603459712,False
branching,replicator,poss_adaptive_recovery,-19028.170268474405,False
branching,replicator,poss_future_entropy,-358.95888105612266,False
branching,replicator,poss_divergence_capacity,-35766958072206.02,False
branching,replicator,poss_stability_fertility_coupling,-6877.90565378437,False
cellular_automata,branching,poss_reachable_volume,-2.100670938376827,False
cellular_automata,branching,poss_branching_diversity,-1.0365805476768655,False
cellular_automata,branching,poss_adaptive_recovery,-0.3797190488481661,False
cellular_automata,branching,poss_future_entropy,-2.5494414797012332,False
cellular_automata,branching,poss_divergence_capacity,-3.1761011276322355,False
cellular_automata,branching,poss_stability_fertility_coupling,-5.6604294942674835,False
cellular_automata,cellular_automata,poss_reachable_volume,0.054507944409751596,True
cellular_automata,cellular_automata,poss_branching_diversity,0.00811878324111448,True
cellular_automata,cellular_automata,poss_adaptive_recovery,0.025444089822370786,True
cellular_automata,cellular_automata,poss_future_entropy,0.2654492826251864,True
cellular_automata,cellular_automata,poss_divergence_capacity,0.32274556408101596,True
cellular_automata,cellular_automata,poss_stability_fertility_coupling,0.1883501694219003,True
cellular_automata,coupled_map_lattice,poss_reachable_volume,-0.37797981080934373,False
cellular_automata,coupled_map_lattice,poss_branching_diversity,-445.24233615657823,False
cellular_automata,coupled_map_lattice,poss_adaptive_recovery,-9.186635367594347,False
cellular_automata,coupled_map_lattice,poss_future_entropy,-392728.5553918019,False
cellular_automata,coupled_map_lattice,poss_divergence_capacity,-72191.19826705096,False
cellular_automata,coupled_map_lattice,poss_stability_fertility_coupling,-3648.71671694801,False
cellular_automata,graph_diffusion,poss_reachable_volume,-0.20488747845328636,False
cellular_automata,graph_diffusion,poss_branching_diversity,-39.90698152540106,False
cellular_automata,graph_diffusion,poss_adaptive_recovery,-0.954880197218561,False
cellular_automata,graph_diffusion,poss_future_entropy,-193.3861501648096,False
cellular_automata,graph_diffusion,poss_divergence_capacity,-26574.797503819176,False
cellular_automata,graph_diffusion,poss_stability_fertility_coupling,-4159.486545173806,False
cellular_automata,gray_scott,poss_reachable_volume,-14.181731412579389,False
cellular_automata,gray_scott,poss_branching_diversity,-0.6778479382700215,False
cellular_automata,gray_scott,poss_adaptive_recovery,-1.1696278652504177,False
cellular_automata,gray_scott,poss_future_entropy,-24.998629553647646,False
cellular_automata,gray_scott,poss_divergence_capacity,-0.5436992151736091,False
cellular_automata,gray_scott,poss_stability_fertility_coupling,-5.308206360862801,False
cellular_automata,kuramoto,poss_reachable_volume,-11.661163415975453,False
cellular_automata,kuramoto,poss_branching_diversity,-1.406750948372089,False
cellular_automata,kuramoto,poss_adaptive_recovery,-4.819025367768987,False
cellular_automata,kuramoto,poss_future_entropy,-2.1525182548302855,False
cellular_automata,kuramoto,poss_divergence_capacity,-2.957770713538513,False
cellular_automata,kuramoto,poss_stability_fertility_coupling,-5.54278145596352,False
cellular_automata,lotka_volterra,poss_reachable_volume,-17.799251267609602,False
cellular_automata,lotka_volterra,poss_branching_diversity,-3.0284255997134997,False
cellular_automata,lotka_volterra,poss_adaptive_recovery,-14.304991456258467,False
cellular_automata,lotka_volterra,poss_future_entropy,-12.86397254215636,False
cellular_automata,lotka_volterra,poss_divergence_capacity,-1.8704403206883273,False
cellular_automata,lotka_volterra,poss_stability_fertility_coupling,-3.4301535608940252,False
cellular_automata,nonlinear_oscillator,poss_reachable_volume,-0.616942157404244,False
cellular_automata,nonlinear_oscillator,poss_branching_diversity,-23.43512358439425,False
cellular_automata,nonlinear_oscillator,poss_adaptive_recovery,-2.4485028260653703,False
cellular_automata,nonlinear_oscillator,poss_future_entropy,-1.533122734445218,False
cellular_automata,nonlinear_oscillator,poss_divergence_capacity,-0.19390513713281332,False
cellular_automata,nonlinear_oscillator,poss_stability_fertility_coupling,-1.3516858155428513,False
cellular_automata,population,poss_reachable_volume,-0.6992855575168444,False
cellular_automata,population,poss_branching_diversity,-8.385700385832195,False
cellular_automata,population,poss_adaptive_recovery,-1.7775185245765752,False
cellular_automata,population,poss_future_entropy,-11.258985586776683,False
cellular_automata,population,poss_divergence_capacity,-0.1294448793981855,False
cellular_automata,population,poss_stability_fertility_coupling,-2.0439763137212474,False
cellular_automata,replicator,poss_reachable_volume,-1.3694250440715692,False
cellular_automata,replicator,poss_branching_diversity,-5.882014627891818,False
cellular_automata,replicator,poss_adaptive_recovery,-2.588646257084852,False
cellular_automata,replicator,poss_future_entropy,-8694.658480023505,False
cellular_automata,replicator,poss_divergence_capacity,-19011.04949586003,False
cellular_automata,replicator,poss_stability_fertility_coupling,-2299.267076940521,False
coupled_map_lattice,branching,poss_reachable_volume,-3.03242684262659,False
coupled_map_lattice,branching,poss_branching_diversity,-0.7128279580817742,False
coupled_map_lattice,branching,poss_adaptive_recovery,-0.3016705713066834,False
coupled_map_lattice,branching,poss_future_entropy,-0.1032201896045879,False
coupled_map_lattice,branching,poss_divergence_capacity,-3.176091251235362,False
coupled_map_lattice,branching,poss_stability_fertility_coupling,-0.14629661873808808,False
coupled_map_lattice,cellular_automata,poss_reachable_volume,-55723473490.686714,False
coupled_map_lattice,cellular_automata,poss_branching_diversity,-0.06486276421862858,False
coupled_map_lattice,cellular_automata,poss_adaptive_recovery,-0.1751673164938672,False
coupled_map_lattice,cellular_automata,poss_future_entropy,-0.06015879473693042,False
coupled_map_lattice,cellular_automata,poss_divergence_capacity,-0.027136817822380976,False
coupled_map_lattice,cellular_automata,poss_stability_fertility_coupling,-10.467541506868084,False
coupled_map_lattice,coupled_map_lattice,poss_reachable_volume,0.21715725686672194,True
coupled_map_lattice,coupled_map_lattice,poss_branching_diversity,0.07790905868701092,True
coupled_map_lattice,coupled_map_lattice,poss_adaptive_recovery,0.11668621513211186,True
coupled_map_lattice,coupled_map_lattice,poss_future_entropy,0.2699374561351454,True
coupled_map_lattice,coupled_map_lattice,poss_divergence_capacity,0.07443004411871557,True
coupled_map_lattice,coupled_map_lattice,poss_stability_fertility_coupling,0.17621485542860416,True
coupled_map_lattice,graph_diffusion,poss_reachable_volume,-56718148416.35875,False
coupled_map_lattice,graph_diffusion,poss_branching_diversity,-35.088005981594776,False
coupled_map_lattice,graph_diffusion,poss_adaptive_recovery,-9.534805474545468,False
coupled_map_lattice,graph_diffusion,poss_future_entropy,-208.97070381157326,False
coupled_map_lattice,graph_diffusion,poss_divergence_capacity,-37938.519829739555,False
coupled_map_lattice,graph_diffusion,poss_stability_fertility_coupling,-551368.2915710608,False
coupled_map_lattice,gray_scott,poss_reachable_volume,-4.675360668914786,False
coupled_map_lattice,gray_scott,poss_branching_diversity,-0.3374001865340448,False
coupled_map_lattice,gray_scott,poss_adaptive_recovery,-0.05793033293866201,False
coupled_map_lattice,gray_scott,poss_future_entropy,-0.5451627437738729,False
coupled_map_lattice,gray_scott,poss_divergence_capacity,-0.22399925807352394,False
coupled_map_lattice,gray_scott,poss_stability_fertility_coupling,-1.224967808743512,False
coupled_map_lattice,kuramoto,poss_reachable_volume,-5.30547298690485,False
coupled_map_lattice,kuramoto,poss_branching_diversity,-0.45578493997548764,False
coupled_map_lattice,kuramoto,poss_adaptive_recovery,-149.8173128073913,False
coupled_map_lattice,kuramoto,poss_future_entropy,-2.8594028402700693,False
coupled_map_lattice,kuramoto,poss_divergence_capacity,-1.527728059219898,False
coupled_map_lattice,kuramoto,poss_stability_fertility_coupling,-1.6061763470674353,False
coupled_map_lattice,lotka_volterra,poss_reachable_volume,-1975.9572219886888,False
coupled_map_lattice,lotka_volterra,poss_branching_diversity,-6.407320630644567,False
coupled_map_lattice,lotka_volterra,poss_adaptive_recovery,-821.6477819977997,False
coupled_map_lattice,lotka_volterra,poss_future_entropy,-34.9092409239644,False
coupled_map_lattice,lotka_volterra,poss_divergence_capacity,-1.8697253080105427,False
coupled_map_lattice,lotka_volterra,poss_stability_fertility_coupling,-18.282759387777123,False
coupled_map_lattice,nonlinear_oscillator,poss_reachable_volume,-12.88526977083311,False
coupled_map_lattice,nonlinear_oscillator,poss_branching_diversity,-13.865240690095016,False
coupled_map_lattice,nonlinear_oscillator,poss_adaptive_recovery,-0.12021791009214855,False
