domain,iteration,R2
branching,0,-0.0235508474132764
branching,1,-0.0092137024076826
branching,2,0.003753186738634673
branching,3,-0.01946587063067673
branching,4,-0.01910623891848995
cellular_automata,0,-0.009523940098966177
cellular_automata,1,-0.0027840869143234137
cellular_automata,2,-0.01950655328713191
cellular_automata,3,0.0016836592105923254
cellular_automata,4,-0.005135771825480306
coupled_map_lattice,0,-0.02469060880801721
coupled_map_lattice,1,-0.026573006555275613
coupled_map_lattice,2,-0.023088452095473055
coupled_map_lattice,3,-0.008833537976967065
coupled_map_lattice,4,-0.009207643358682294
graph_diffusion,0,-0.023616415422071046
graph_diffusion,1,-0.001878353633615104
graph_diffusion,2,-0.027376771859145554
graph_diffusion,3,-0.0018112810669259627
graph_diffusion,4,-0.01484134863898201
gray_scott,0,-0.018328653889189583
gray_scott,1,-0.020654020463196643
gray_scott,2,-0.014024647978303717
gray_scott,3,-0.015292286639261743
gray_scott,4,-0.009917900127443424
kuramoto,0,-0.009639770075753118
kuramoto,1,-0.012268317568142173
kuramoto,2,-0.012707394255165871
kuramoto,3,-0.005334518475341721
kuramoto,4,-0.02076222874267253
lotka_volterra,0,-0.01873143288084611
lotka_volterra,1,-0.002980973307517454
lotka_volterra,2,-0.025076626640426758
lotka_volterra,3,-0.012010099086197767
lotka_volterra,4,-0.015749078724744514
nonlinear_oscillator,0,-0.022252937046311816
nonlinear_oscillator,1,-0.015510538491160686
nonlinear_oscillator,2,-0.02048055796554049
nonlinear_oscillator,3,-0.020481366407773205
nonlinear_oscillator,4,-0.021252803229617978
population,0,-0.024764064253879337
population,1,-0.022147567284082514
population,2,-0.02357951681308501
population,3,-0.02315351348469874
population,4,-0.013886285937511289
replicator,0,-0.007039857374181668
replicator,1,-0.023448020796103197
replicator,2,-0.013948969762563657
replicator,3,-0.013989566092852401
replicator,4,-0.019159672166775277
