domain,k,target,R2
branching,5,poss_reachable_volume,0.09626424246735887
branching,5,poss_branching_diversity,0.06376118211213644
branching,5,poss_adaptive_recovery,0.012348551552529563
branching,5,poss_future_entropy,0.020341059228437985
branching,5,poss_divergence_capacity,0.06447576971780533
branching,5,poss_stability_fertility_coupling,0.11255539931555947
branching,10,poss_reachable_volume,0.08492435121684083
branching,10,poss_branching_diversity,0.17544923925543587
branching,10,poss_adaptive_recovery,0.03947939165294023
branching,10,poss_future_entropy,0.04755135985091219
branching,10,poss_divergence_capacity,0.21208172754836752
branching,10,poss_stability_fertility_coupling,0.06322186856483758
branching,20,poss_reachable_volume,0.00152133707887403
branching,20,poss_branching_diversity,0.10653151506636027
branching,20,poss_adaptive_recovery,0.06503094907553986
branching,20,poss_future_entropy,0.06631062596879367
branching,20,poss_divergence_capacity,0.11923526352401681
branching,20,poss_stability_fertility_coupling,-0.011758285012032577
branching,30,poss_reachable_volume,0.31809713407145745
branching,30,poss_branching_diversity,0.3813093212271855
branching,30,poss_adaptive_recovery,0.05551953740762461
branching,30,poss_future_entropy,0.09033814948163088
branching,30,poss_divergence_capacity,0.4792852433708942
branching,30,poss_stability_fertility_coupling,-0.006498355679326107
branching,50,poss_reachable_volume,0.24557454138566592
branching,50,poss_branching_diversity,0.38293382838818013
branching,50,poss_adaptive_recovery,0.20470122175595873
branching,50,poss_future_entropy,0.13921449578861556
branching,50,poss_divergence_capacity,0.45748065230141943
branching,50,poss_stability_fertility_coupling,0.08250779989491475
cellular_automata,5,poss_reachable_volume,0.04911746246922033
cellular_automata,5,poss_branching_diversity,-0.016909357229477617
cellular_automata,5,poss_adaptive_recovery,-0.0035466370173740103
cellular_automata,5,poss_future_entropy,0.029309302198653353
cellular_automata,5,poss_divergence_capacity,0.13662945815989302
cellular_automata,5,poss_stability_fertility_coupling,0.045650299364047964
cellular_automata,10,poss_reachable_volume,-0.050922322855024627
cellular_automata,10,poss_branching_diversity,0.004790769300088482
cellular_automata,10,poss_adaptive_recovery,-0.008135888009596526
cellular_automata,10,poss_future_entropy,0.0359397641114273
cellular_automata,10,poss_divergence_capacity,0.13597698471427666
cellular_automata,10,poss_stability_fertility_coupling,0.07861033124674355
cellular_automata,20,poss_reachable_volume,0.0014517404267367917
cellular_automata,20,poss_branching_diversity,-0.01311317877625906
cellular_automata,20,poss_adaptive_recovery,-0.0018638754441371308
cellular_automata,20,poss_future_entropy,0.09076994478619305
cellular_automata,20,poss_divergence_capacity,0.2841974462586587
cellular_automata,20,poss_stability_fertility_coupling,0.12937103538488948
cellular_automata,30,poss_reachable_volume,-0.05377489341095765
cellular_automata,30,poss_branching_diversity,-0.1315735533200466
cellular_automata,30,poss_adaptive_recovery,-0.008069975398563134
cellular_automata,30,poss_future_entropy,-0.9203637115947536
cellular_automata,30,poss_divergence_capacity,0.2962348118115945
cellular_automata,30,poss_stability_fertility_coupling,0.1551696810999741
cellular_automata,50,poss_reachable_volume,0.004897167565987792
cellular_automata,50,poss_branching_diversity,-0.04176660579819447
