system,true,pred_cluster,residual,hybridity,margin,spread,consensus
EnergyMomentumConservation,1.036115,1.0223977647058824,0.013717235294117502,0.37576537409724586,0.8683746771740863,0.2979294904778584,0.2333333333333334
ChemicalEquilibriumNetwork,1.068225,1.0205089411764707,0.04771605882352925,0.3281238888738178,1.0425022776280357,0.3298062096310585,0.2448717948717949
SuperconductorCoherence,1.111627,1.0179558823529413,0.0936711176470586,0.3052981855962574,1.030553371789361,0.3800757398363454,0.2448717948717949
DoubleSlitInterference,1.068225,1.0205089411764707,0.04771605882352925,0.3281238888738178,1.0425022776280357,0.3298062096310585,0.2448717948717949
TurbulenceEnergyCascade,1.111627,1.0179558823529413,0.0936711176470586,0.3052981855962574,1.030553371789361,0.3800757398363454,0.2448717948717949
reaction_diffusion,0.344045,0.3282535,0.015791500000000014,0.1335070557879112,2.723232896674161,0.5029221379523366,0.10641025641025639
synchronized_oscillators,0.80142,0.7200755000000001,0.08134449999999993,0.24057375281020052,0.6425556364795743,0.6048442263325613,0.17307692307692307
recursive_market,0.293974,0.413424,-0.11945,0.21385279100168222,1.6537739846614532,0.43248302669249283,0.1205128205128205
predator_prey_cycles,0.370164,0.375329,-0.005165000000000031,0.26128665478937524,1.1638769071857986,0.43460784154544335,0.12051282051282053
neural_cascade,0.192496,0.404028,-0.211532,0.1627090927963218,2.186704513594505,0.48149419958309414,0.10641025641025639
avalanche_redistribution,-0.553197,0.3335173333333333,-0.8867143333333334,0.14404425859488454,3.0235336687981285,0.4204330757464178,0.043589743589743615
percolation_transport,0.586377,0.8751813333333333,-0.2888043333333332,0.27968990672617744,0.7656955204371473,0.506152784582105,0.15512820512820516
CrystallizationFromLiquid,0.960019,1.026874,-0.06685500000000011,0.40104861100785055,0.759569685002043,0.29432702185840953,0.3871794871794871
LaserOpticalCoherence,0.9978,1.024651588235294,-0.02685158823529399,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
FerromagneticMagnetization,0.9978,1.024651588235294,-0.02685158823529399,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
ElectronTransportMesoscopic,0.9978,1.024651588235294,-0.02685158823529399,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
LimitCycleOscillations,0.9978,1.024651588235294,-0.02685158823529399,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
HeatTransportPhononic,0.960019,1.026874,-0.06685500000000011,0.40104861100785055,0.759569685002043,0.29432702185840953,0.3871794871794871
StrangeAttractorLorenz,0.968782,1.0263585294117645,-0.0575765294117645,0.3850772606184197,0.8153695139585713,0.30094248055464146,0.3923076923076922
AndersonLocalization,0.9978,1.0246515882352942,-0.02685158823529421,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
PhaseEquilibriumMulticomponent,0.9978,1.0246515882352942,-0.02685158823529421,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
PhotonicBandgapLocalization,0.812712,1.0231598333333336,-0.2104478333333336,0.6000626125333903,0.10315369751206072,0.3380387102450434,0.38205128205128214
CriticalPhenomenaScaling,0.9978,1.0246515882352942,-0.02685158823529421,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
ChargeConservationEM,0.9978,1.0246515882352942,-0.02685158823529421,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
StandingWavePatterns,0.9978,1.0246515882352942,-0.02685158823529421,0.3657339414743765,0.9378309655325011,0.2912694430647017,0.432051282051282
random_walk,0.456684,0.332069,0.12461499999999998,0.20657701706049583,1.6031039114452021,0.46225855887514106,0.11153846153846153
static_equilibrium,1.979348,1.0120836315789477,0.9672643684210525,0.14980567549971846,2.7946594872006565,0.43153847222849023,0.0423076923076923
memoryless_diffusion,0.464011,0.26827049999999997,0.19574050000000004,0.1394009961557006,2.4046116156074917,0.5253937492610464,0.11410256410256409
white_noise,0.672086,0.752409,-0.08032300000000003,0.22976414809988688,0.8640756605055856,0.5717022438702002,0.1910256410256411
disconnected_flow,1.152038,1.0155787647058825,0.1364592352941174,0.4152062610973563,0.238711896265124,0.48567906497494157,0.18846153846153849
monotonic_decay,0.809127,1.0120836315789477,-0.2029566315789476,0.381054261567933,0.25996201723679757,0.5198861039181889,0.3
