dataset,idempotent_mse,m2_minus_m3
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999999
white_noise,0.0,0.9999999999999998
white_noise,0.0,0.9999999999999999
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999998
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999998
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999999
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999998
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999999
white_noise,0.0,0.9999999999999999
white_noise,0.0,0.9999999999999999
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999999
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999999
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,1.0
white_noise,0.0,0.9999999999999998
white_noise,0.0,1.0
white_noise,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
sine_wave,0.0,1.0
random_walk,0.0,1.0000000000000007
random_walk,0.0,1.0
random_walk,0.0,0.9999999999999991
random_walk,0.0,1.0
random_walk,0.0,1.0000000000000002
random_walk,0.0,0.9999999999999998
random_walk,0.0,0.9999999999999997
random_walk,0.0,1.0000000000000002
random_walk,0.0,1.0000000000000002
random_walk,0.0,0.9999999999999999
random_walk,0.0,1.0000000000000002
random_walk,0.0,0.9999999999999993
random_walk,0.0,1.0000000000000009
random_walk,0.0,1.0000000000000007
random_walk,0.0,1.0000000000000016
random_walk,0.0,0.9999999999999997
random_walk,0.0,1.0
random_walk,0.0,0.9999999999999997
random_walk,0.0,1.0000000000000002
random_walk,0.0,1.0000000000000002
random_walk,0.0,0.9999999999999994
random_walk,0.0,0.9999999999999996
random_walk,0.0,1.0000000000000007
random_walk,0.0,1.0
random_walk,0.0,0.9999999999999996
random_walk,0.0,0.9999999999999998
random_walk,0.0,0.9999999999999993
random_walk,0.0,1.0
random_walk,0.0,0.9999999999999998
random_walk,0.0,1.0
random_walk,0.0,0.9999999999999997
random_walk,0.0,1.0
random_walk,0.0,0.9999999999999998
random_walk,0.0,0.9999999999999987
random_walk,0.0,1.0
random_walk,0.0,1.0
random_walk,0.0,0.9999999999999999
random_walk,0.0,1.0
random_walk,0.0,1.0000000000000002
random_walk,0.0,0.9999999999999997
random_walk,0.0,1.0000000000000002
random_walk,0.0,1.0000000000000004
random_walk,0.0,0.9999999999999999
random_walk,0.0,0.9999999999999981
random_walk,0.0,0.9999999999999991
random_walk,0.0,1.0
random_walk,0.0,0.9999999999999999
random_walk,0.0,1.0000000000000007
random_walk,0.0,1.0000000000000004
random_walk,0.0,1.0
