depth,sector,invariance_retention,deformation_bound,cooperative_invariance_gain,recursive_structure_retention,remapping_resistance,rg_similarity,classification
1,Projection,0.912,0.2536,0.1071,0.8799,0.8256,0.8789,WEAKLY_INVARIANT
2,Projection,0.8798,0.232,0.108,0.8458,0.8433,0.8199,INVARIANT
4,Projection,0.8722,0.2296,0.1109,0.8123,0.8062,0.8204,INVARIANT
6,Projection,0.8474,0.2615,0.1112,0.7972,0.7848,0.8021,WEAKLY_INVARIANT
8,Projection,0.7901,0.2667,0.1207,0.7796,0.7632,0.8176,WEAKLY_INVARIANT
12,Projection,0.7545,0.2675,0.1157,0.722,0.7176,0.767,WEAKLY_INVARIANT
16,Projection,0.7104,0.2618,0.0,0.6772,0.6478,0.7435,WEAKLY_INVARIANT
20,Projection,0.6624,0.277,0.0,0.6623,0.6377,0.6821,DEFORMATION-DEGRADING
1,Antisymmetry,0.8611,0.2665,0.09,0.841,0.8091,0.8493,WEAKLY_INVARIANT
2,Antisymmetry,0.8596,0.2657,0.0765,0.8059,0.7873,0.8715,WEAKLY_INVARIANT
4,Antisymmetry,0.8088,0.2943,0.0811,0.7889,0.737,0.8258,WEAKLY_INVARIANT
6,Antisymmetry,0.7878,0.2856,0.0768,0.7453,0.7238,0.8077,WEAKLY_INVARIANT
8,Antisymmetry,0.7513,0.3053,0.0777,0.7504,0.6911,0.7715,DEFORMATION-DEGRADING
12,Antisymmetry,0.7052,0.3101,0.0898,0.6923,0.6582,0.761,DEFORMATION-DEGRADING
16,Antisymmetry,0.6594,0.3203,0.0,0.6529,0.6275,0.7441,DEFORMATION-DEGRADING
20,Antisymmetry,0.6426,0.329,0.0,0.6052,0.5957,0.6745,COLLAPSING
1,Neutral,0.7768,0.3232,0.0637,0.7716,0.7197,0.8364,DEFORMATION-DEGRADING
2,Neutral,0.7831,0.3259,0.0646,0.7455,0.6989,0.865,DEFORMATION-DEGRADING
4,Neutral,0.7274,0.3195,0.0623,0.726,0.6818,0.8257,DEFORMATION-DEGRADING
6,Neutral,0.7024,0.3204,0.0515,0.6968,0.6755,0.8248,DEFORMATION-DEGRADING
8,Neutral,0.6857,0.3267,0.0565,0.6583,0.66,0.7755,DEFORMATION-DEGRADING
12,Neutral,0.6687,0.348,0.0635,0.6183,0.6201,0.754,DEFORMATION-DEGRADING
16,Neutral,0.6187,0.3313,0.0,0.5998,0.568,0.7119,COLLAPSING
20,Neutral,0.5777,0.364,0.0,0.5641,0.5375,0.6675,COLLAPSING
1,Projection-Antisymmetry,0.7694,0.3328,0.0557,0.747,0.7348,0.8233,DEFORMATION-DEGRADING
2,Projection-Antisymmetry,0.7782,0.3096,0.0465,0.7425,0.7194,0.8506,DEFORMATION-DEGRADING
4,Projection-Antisymmetry,0.7618,0.3307,0.0559,0.7176,0.6853,0.7942,DEFORMATION-DEGRADING
6,Projection-Antisymmetry,0.7132,0.3316,0.0526,0.6921,0.6705,0.785,DEFORMATION-DEGRADING
8,Projection-Antisymmetry,0.6806,0.3496,0.0502,0.6677,0.6342,0.8128,DEFORMATION-DEGRADING
12,Projection-Antisymmetry,0.6694,0.323,0.0652,0.6483,0.6155,0.7245,DEFORMATION-DEGRADING
16,Projection-Antisymmetry,0.6169,0.3741,0.0,0.5975,0.5838,0.7017,COLLAPSING
20,Projection-Antisymmetry,0.575,0.3698,0.0,0.5739,0.5472,0.6821,COLLAPSING
1,Projection-Neutral,0.7948,0.3283,0.0622,0.7692,0.7217,0.8482,DEFORMATION-DEGRADING
2,Projection-Neutral,0.7666,0.3067,0.0585,0.7504,0.7038,0.859,DEFORMATION-DEGRADING
4,Projection-Neutral,0.7355,0.3177,0.0553,0.7166,0.6972,0.8039,DEFORMATION-DEGRADING
6,Projection-Neutral,0.708,0.3132,0.061,0.71,0.6831,0.8105,DEFORMATION-DEGRADING
8,Projection-Neutral,0.6854,0.3472,0.047,0.6846,0.6266,0.7871,DEFORMATION-DEGRADING
12,Projection-Neutral,0.6525,0.3342,0.0542,0.6172,0.6086,0.7552,DEFORMATION-DEGRADING
16,Projection-Neutral,0.6121,0.3391,0.0,0.5854,0.5725,0.7019,COLLAPSING
20,Projection-Neutral,0.5707,0.3676,0.0,0.5737,0.5407,0.7009,COLLAPSING
1,Antisymmetry-Neutral,0.7767,0.3219,0.0637,0.7496,0.7227,0.8809,DEFORMATION-DEGRADING
2,Antisymmetry-Neutral,0.7904,0.3006,0.0561,0.7588,0.7283,0.8504,DEFORMATION-DEGRADING
4,Antisymmetry-Neutral,0.7436,0.336,0.047,0.7063,0.6786,0.7995,DEFORMATION-DEGRADING
6,Antisymmetry-Neutral,0.723,0.3181,0.052,0.6874,0.6644,0.8185,DEFORMATION-DEGRADING
8,Antisymmetry-Neutral,0.7058,0.3178,0.0467,0.6807,0.6268,0.7879,DEFORMATION-DEGRADING
12,Antisymmetry-Neutral,0.663,0.3459,0.0574,0.6236,0.6137,0.7636,DEFORMATION-DEGRADING
16,Antisymmetry-Neutral,0.6084,0.3672,0.0,0.5938,0.5578,0.728,COLLAPSING
20,Antisymmetry-Neutral,0.5848,0.3695,0.0,0.5519,0.5502,0.66,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.7927,0.331,0.0613,0.7497,0.7444,0.8282,DEFORMATION-DEGRADING
2,Projection-Antisymmetry-Neutral,0.7818,0.3119,0.0607,0.7352,0.7321,0.8225,DEFORMATION-DEGRADING
4,Projection-Antisymmetry-Neutral,0.7525,0.3157,0.0487,0.7215,0.6987,0.8533,DEFORMATION-DEGRADING
