phase,sector,propagation_strength,consistency,boundedness,retention,transition_control,dispersion,rg_stability,metastability
280,projection,1.000000,0.970000,0.980000,0.980000,0.950000,0.140000,0.980000,0.000000
280,antisymmetry,0.950000,0.921500,0.980000,0.931000,0.950000,0.140000,0.980000,0.000000
280,neutral,0.850000,0.824500,0.980000,0.833000,0.950000,0.140000,0.980000,0.000000
281,projection,1.000000,0.968688,0.979194,0.979204,0.948579,0.140000,0.979125,0.000000
281,antisymmetry,0.950000,0.920253,0.979194,0.930244,0.948579,0.140000,0.979125,0.000000
281,neutral,0.850000,0.823385,0.979194,0.832323,0.948579,0.140000,0.979125,0.000000
282,projection,1.000000,0.967391,0.978394,0.978416,0.947177,0.140000,0.978259,0.000000
282,antisymmetry,0.950000,0.919022,0.978394,0.929495,0.947177,0.140000,0.978259,0.000000
282,neutral,0.850000,0.822283,0.978394,0.831654,0.947177,0.140000,0.978259,0.000000
283,projection,1.000000,0.966110,0.977603,0.977636,0.945793,0.140000,0.977403,0.000000
283,antisymmetry,0.950000,0.917805,0.977603,0.928754,0.945793,0.140000,0.977403,0.000000
283,neutral,0.850000,0.821194,0.977603,0.830990,0.945793,0.140000,0.977403,0.000000
284,projection,1.000000,0.964845,0.976818,0.976863,0.944426,0.140000,0.976556,0.000000
284,antisymmetry,0.950000,0.916602,0.976818,0.928020,0.944426,0.140000,0.976556,0.000000
284,neutral,0.850000,0.820118,0.976818,0.830334,0.944426,0.140000,0.976556,0.000000
285,projection,1.000000,0.963594,0.976040,0.976098,0.943077,0.140000,0.975719,0.000000
285,antisymmetry,0.950000,0.915414,0.976040,0.927293,0.943077,0.140000,0.975719,0.000000
285,neutral,0.850000,0.819055,0.976040,0.829684,0.943077,0.140000,0.975719,0.000000
286,projection,1.000000,0.962358,0.975269,0.975341,0.941746,0.140000,0.974890,0.000000
286,antisymmetry,0.950000,0.914240,0.975269,0.926574,0.941746,0.140000,0.974890,0.000000
286,neutral,0.850000,0.818005,0.975269,0.829040,0.941746,0.140000,0.974890,0.000000
287,projection,1.000000,0.961137,0.974505,0.974592,0.940432,0.140000,0.974071,0.000000
287,antisymmetry,0.950000,0.913081,0.974505,0.925862,0.940432,0.140000,0.974071,0.000000
287,neutral,0.850000,0.816967,0.974505,0.828403,0.940432,0.140000,0.974071,0.000000
288,projection,1.000000,0.959931,0.973748,0.973849,0.939135,0.140000,0.973261,0.000000
288,antisymmetry,0.950000,0.911934,0.973748,0.925157,0.939135,0.140000,0.973261,0.000000
288,neutral,0.850000,0.815941,0.973748,0.827772,0.939135,0.140000,0.973261,0.000000
289,projection,1.000000,0.958739,0.972997,0.973114,0.937854,0.140000,0.972459,0.000000
289,antisymmetry,0.950000,0.910802,0.972997,0.924459,0.937854,0.140000,0.972459,0.000000
289,neutral,0.850000,0.814928,0.972997,0.827147,0.937854,0.140000,0.972459,0.000000
290,projection,1.000000,0.957561,0.972254,0.972387,0.936590,0.140000,0.971667,0.000000
290,antisymmetry,0.950000,0.909683,0.972254,0.923768,0.936590,0.140000,0.971667,0.000000
290,neutral,0.850000,0.813927,0.972254,0.826529,0.936590,0.140000,0.971667,0.000000
291,projection,1.000000,0.956398,0.971517,0.971667,0.935343,0.140000,0.970883,0.000000
291,antisymmetry,0.950000,0.908578,0.971517,0.923083,0.935343,0.140000,0.970883,0.000000
291,neutral,0.850000,0.812938,0.971517,0.825917,0.935343,0.140000,0.970883,0.000000
292,projection,1.000000,0.955248,0.970786,0.970954,0.934112,0.140000,0.970107,0.000000
292,antisymmetry,0.950000,0.907485,0.970786,0.922406,0.934112,0.140000,0.970107,0.000000
292,neutral,0.850000,0.811961,0.970786,0.825311,0.934112,0.140000,0.970107,0.000000
293,projection,1.000000,0.954112,0.970063,0.970248,0.932896,0.140000,0.969340,0.000000
293,antisymmetry,0.950000,0.906406,0.970063,0.921735,0.932896,0.140000,0.969340,0.000000
293,neutral,0.850000,0.810995,0.970063,0.824710,0.932896,0.140000,0.969340,0.000000
294,projection,1.000000,0.952989,0.969345,0.969549,0.931696,0.140000,0.968582,0.000000
294,antisymmetry,0.950000,0.905339,0.969345,0.921071,0.931696,0.140000,0.968582,0.000000
294,neutral,0.850000,0.810041,0.969345,0.824116,0.931696,0.140000,0.968582,0.000000
295,projection,1.000000,0.951880,0.968634,0.968857,0.930512,0.140000,0.967831,0.000000
295,antisymmetry,0.950000,0.904286,0.968634,0.920414,0.930512,0.140000,0.967831,0.000000
295,neutral,0.850000,0.809098,0.968634,0.823528,0.930512,0.140000,0.967831,0.000000
296,projection,1.000000,0.950784,0.967930,0.968172,0.929343,0.140000,0.967089,0.000000
296,antisymmetry,0.950000,0.903245,0.967930,0.919763,0.929343,0.140000,0.967089,0.000000
296,neutral,0.850000,0.808166,0.967930,0.822946,0.929343,0.140000,0.967089,0.000000
297,projection,1.000000,0.949701,0.967232,0.967493,0.928189,0.140000,0.966355,0.000000
297,antisymmetry,0.950000,0.902216,0.967232,0.919119,0.928189,0.140000,0.966355,0.000000
297,neutral,0.850000,0.807246,0.967232,0.822369,0.928189,0.140000,0.966355,0.000000
298,projection,1.000000,0.948631,0.966540,0.966822,0.927050,0.140000,0.965630,0.000000
298,antisymmetry,0.950000,0.901199,0.966540,0.918481,0.927050,0.140000,0.965630,0.000000
298,neutral,0.850000,0.806336,0.966540,0.821798,0.927050,0.140000,0.965630,0.000000
299,projection,1.000000,0.947574,0.965854,0.966157,0.925925,0.140000,0.964912,0.000000
299,antisymmetry,0.950000,0.900195,0.965854,0.917849,0.925925,0.140000,0.964912,0.000000
299,neutral,0.850000,0.805438,0.965854,0.821233,0.925925,0.140000,0.964912,0.000000
300,projection,1.000000,0.946529,0.965174,0.965498,0.924816,0.140000,0.964202,0.000000
300,antisymmetry,0.950000,0.899203,0.965174,0.917224,0.924816,0.140000,0.964202,0.000000
300,neutral,0.850000,0.804550,0.965174,0.820674,0.924816,0.140000,0.964202,0.000000
301,projection,1.000000,0.945497,0.964501,0.964847,0.923720,0.140000,0.963499,0.000000
301,antisymmetry,0.950000,0.898222,0.964501,0.916604,0.923720,0.140000,0.963499,0.000000
301,neutral,0.850000,0.803672,0.964501,0.820120,0.923720,0.140000,0.963499,0.000000
302,projection,1.000000,0.944477,0.963833,0.964202,0.922639,0.140000,0.962804,0.000000
302,antisymmetry,0.950000,0.897253,0.963833,0.915991,0.922639,0.140000,0.962804,0.000000
302,neutral,0.850000,0.802806,0.963833,0.819571,0.922639,0.140000,0.962804,0.000000
303,projection,1.000000,0.943469,0.963172,0.963563,0.921572,0.140000,0.962117,0.000000
303,antisymmetry,0.950000,0.896296,0.963172,0.915385,0.921572,0.140000,0.962117,0.000000
303,neutral,0.850000,0.801949,0.963172,0.819028,0.921572,0.140000,0.962117,0.000000
304,projection,1.000000,0.942474,0.962516,0.962930,0.920518,0.140000,0.961438,0.000000
304,antisymmetry,0.950000,0.895350,0.962516,0.914784,0.920518,0.140000,0.961438,0.000000
304,neutral,0.850000,0.801103,0.962516,0.818491,0.920518,0.140000,0.961438,0.000000
305,projection,1.000000,0.941490,0.961866,0.962304,0.919478,0.140000,0.960766,0.000000
305,antisymmetry,0.950000,0.894416,0.961866,0.914189,0.919478,0.140000,0.960766,0.000000
305,neutral,0.850000,0.800267,0.961866,0.817958,0.919478,0.140000,0.960766,0.000000
306,projection,1.000000,0.940518,0.961223,0.961684,0.918451,0.140000,0.960101,0.000000
306,antisymmetry,0.950000,0.893492,0.961223,0.913600,0.918451,0.140000,0.960101,0.000000
306,neutral,0.850000,0.799440,0.961223,0.817432,0.918451,0.140000,0.960101,0.000000
307,projection,1.000000,0.939558,0.960584,0.961070,0.917438,0.140000,0.959444,0.000000
307,antisymmetry,0.950000,0.892580,0.960584,0.913017,0.917438,0.140000,0.959444,0.000000
307,neutral,0.850000,0.798624,0.960584,0.816910,0.917438,0.140000,0.959444,0.000000
