system,component,spearman_rho,spearman_p,kendall_tau,significant
RenormalizationGroup,emergence_hierarchy,1.0,0.0,1.0,True
RenormalizationGroup,operator_weights,1.0,0.0,1.0,True
RenormalizationGroup,sector_bases,1.0,0.0,1.0,True
RenormalizationGroup,depth_hierarchy,1.0,0.0,1.0,True
RenormalizationGroup,attractor_signatures,0.8928571428571429,0.006807187408935392,0.8095238095238096,True
RenormalizationGroup,information_channels,0.21428571428571433,0.6445115810207203,0.23809523809523814,False
RenormalizationGroup,algebraic_constraints,0.7857142857142859,0.03623846267982713,0.6190476190476191,True
CategoryTheory,emergence_hierarchy,1.0,0.0,1.0,True
CategoryTheory,operator_weights,1.0,0.0,1.0,True
CategoryTheory,sector_bases,1.0,0.0,1.0,True
CategoryTheory,depth_hierarchy,1.0,0.0,1.0,True
CategoryTheory,attractor_signatures,0.8928571428571429,0.006807187408935392,0.8095238095238096,True
CategoryTheory,information_channels,0.21428571428571433,0.6445115810207203,0.23809523809523814,False
CategoryTheory,algebraic_constraints,0.7857142857142859,0.03623846267982713,0.6190476190476191,True
TensorSystems,emergence_hierarchy,1.0,0.0,1.0,True
TensorSystems,operator_weights,1.0,0.0,1.0,True
TensorSystems,sector_bases,1.0,0.0,1.0,True
TensorSystems,depth_hierarchy,1.0,0.0,1.0,True
TensorSystems,attractor_signatures,0.8928571428571429,0.006807187408935392,0.8095238095238096,True
TensorSystems,information_channels,0.21428571428571433,0.6445115810207203,0.23809523809523814,False
TensorSystems,algebraic_constraints,0.7857142857142859,0.03623846267982713,0.6190476190476191,True
GraphDynamics,emergence_hierarchy,0.2702812388086677,0.5577307488053698,0.19518001458970663,False
GraphDynamics,operator_weights,0.8660254037844387,0.3333333333333332,0.816496580927726,False
GraphDynamics,sector_bases,0.2702812388086677,0.5577307488053698,0.19518001458970663,False
GraphDynamics,depth_hierarchy,0.2702812388086677,0.5577307488053698,0.19518001458970663,False
GraphDynamics,attractor_signatures,0.09009374626955591,0.8476720796198265,0.0,False
GraphDynamics,information_channels,0.702731220902536,0.07823745383207154,0.5855400437691199,False
GraphDynamics,algebraic_constraints,-0.21622499104693418,0.6414455093539175,-0.09759000729485331,False
Topology,emergence_hierarchy,0.0,1.0,0.0,False
Topology,operator_weights,-1.0,0.0,-1.0,True
Topology,sector_bases,0.0,1.0,0.0,False
Topology,depth_hierarchy,0.0,1.0,0.0,False
Topology,attractor_signatures,0.22026692946430576,0.6350680847339085,0.2057377999494559,False
Topology,information_channels,0.23862250691966458,0.6063359507196038,0.2057377999494559,False
Topology,algebraic_constraints,0.01835557745535881,0.9688438531858712,0.0,False
InformationGeometry,emergence_hierarchy,0.07142857142857144,0.8790481931481541,0.04761904761904762,False
InformationGeometry,operator_weights,0.5,0.6666666666666667,0.33333333333333337,False
InformationGeometry,sector_bases,0.07142857142857144,0.8790481931481541,0.04761904761904762,False
InformationGeometry,depth_hierarchy,0.07142857142857144,0.8790481931481541,0.04761904761904762,False
InformationGeometry,attractor_signatures,-0.1785714285714286,0.7016579425162729,-0.14285714285714288,False
InformationGeometry,information_channels,-0.10714285714285716,0.8191508555699912,-0.14285714285714288,False
InformationGeometry,algebraic_constraints,-0.1785714285714286,0.7016579425162729,-0.14285714285714288,False
AttractorSystems,emergence_hierarchy,0.9642857142857145,0.0004541491691941689,0.9047619047619049,True
AttractorSystems,operator_weights,0.5,0.6666666666666667,0.33333333333333337,False
AttractorSystems,sector_bases,0.9642857142857145,0.0004541491691941689,0.9047619047619049,True
AttractorSystems,depth_hierarchy,0.9642857142857145,0.0004541491691941689,0.9047619047619049,True
AttractorSystems,attractor_signatures,0.8571428571428573,0.01369732661532562,0.7142857142857143,True
AttractorSystems,information_channels,0.10714285714285716,0.8191508555699912,0.14285714285714288,False
AttractorSystems,algebraic_constraints,0.8571428571428573,0.01369732661532562,0.7142857142857143,True
AlgebraicRecursion,emergence_hierarchy,0.9910312089651149,1.4561252916129422e-05,0.9759000729485332,True
AlgebraicRecursion,operator_weights,0.8660254037844387,0.3333333333333332,0.816496580927726,False
AlgebraicRecursion,sector_bases,0.9910312089651149,1.4561252916129422e-05,0.9759000729485332,True
AlgebraicRecursion,depth_hierarchy,0.9910312089651149,1.4561252916129422e-05,0.9759000729485332,True
AlgebraicRecursion,attractor_signatures,0.9369749612033814,0.0018510301964418906,0.8783100656536799,True
AlgebraicRecursion,information_channels,0.18018749253911182,0.6990457740939315,0.19518001458970663,False
AlgebraicRecursion,algebraic_constraints,0.7748062179181807,0.04076946252042033,0.5855400437691199,True
