system,stability,cluster,balance,incompatibility,transitionality,triadicity
EnergyMomentumConservation,1.036115,5,0.2541731074296656,0.2868154333333337,0.07290076994911951,0.2979294904778584
ChemicalEquilibriumNetwork,1.068225,5,0.2046587578967971,0.2868154333333337,0.058699290331631696,0.3298062096310585
SuperconductorCoherence,1.111627,5,0.33757570576383455,0.2868154333333337,0.09682192233146017,0.3800757398363454
DoubleSlitInterference,1.068225,5,0.2046587578967971,0.2868154333333337,0.058699290331631696,0.3298062096310585
TurbulenceEnergyCascade,1.111627,5,0.33757570576383455,0.2868154333333337,0.09682192233146017,0.3800757398363454
reaction_diffusion,0.344045,1,0.19285592005050045,0.8867143333333334,0.17100810857696616,0.5029221379523366
synchronized_oscillators,0.80142,0,0.7177118071251257,0.36273706666666655,0.26034067562860047,0.6048442263325613
recursive_market,0.293974,2,0.2725165320579278,0.36273706666666655,0.09885184745686533,0.43248302669249283
predator_prey_cycles,0.370164,2,0.4072356177575507,0.36273706666666655,0.1477194534275618,0.43460784154544335
neural_cascade,0.192496,1,0.28135203729230274,0.8867143333333334,0.2494788841796194,0.48149419958309414
avalanche_redistribution,-0.553197,4,3.307388363182895e-09,0.8867143333333334,2.932708667534145e-09,0.4204330757464178
percolation_transport,0.586377,0,0.5937771272743584,0.2868154333333337,0.17030444406261713,0.506152784582105
CrystallizationFromLiquid,0.960019,5,0.335668116505341,0.2868154333333337,0.09627479629166333,0.29432702185840953
LaserOpticalCoherence,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
FerromagneticMagnetization,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
ElectronTransportMesoscopic,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
LimitCycleOscillations,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
HeatTransportPhononic,0.960019,5,0.335668116505341,0.2868154333333337,0.09627479629166333,0.29432702185840953
StrangeAttractorLorenz,0.968782,5,0.3250573137376046,0.2868154333333337,0.09323145429782047,0.30094248055464146
AndersonLocalization,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
PhaseEquilibriumMulticomponent,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
PhotonicBandgapLocalization,0.812712,0,0.9122720791516993,0.2868154333333337,0.26165371169979595,0.3380387102450434
CriticalPhenomenaScaling,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
ChargeConservationEM,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
StandingWavePatterns,0.9978,5,0.19583577384384154,0.2868154333333337,0.05616872233719015,0.2912694430647017
random_walk,0.456684,2,0.3763743834255596,0.36273706666666655,0.13652493981226274,0.46225855887514106
static_equilibrium,1.979348,3,3.578253471303583e-09,0.9561881666666665,3.4214836265944084e-09,0.43153847222849023
memoryless_diffusion,0.464011,1,0.30855282854857424,0.4028270666666666,0.12429343083592508,0.5253937492610464
white_noise,0.672086,0,0.5494450476770159,0.36273706666666655,0.19930408488888748,0.5717022438702002
disconnected_flow,1.152038,5,0.8997279501691946,0.2868154333333337,0.2580558619098896,0.48567906497494157
monotonic_decay,0.809127,0,0.9011209111413022,0.2868154333333337,0.25845538461472106,0.5198861039181889
