depth,sector,condition,rg_similarity,circulation_stability,flow_persistence,bottleneck_resilience,source_sink_balance,recursive_transport_coherence,circulation_hierarchy_index,classification
1,Projection,TopologicalFlowMapping,0.9592,0.9325,0.93,0.9027,0.8874,0.8754,0.9031,FLOW-STABLE
2,Projection,TopologicalFlowMapping,0.9347,0.9171,0.8965,0.8635,0.8613,0.8611,0.8647,FLOW-STABLE
4,Projection,TopologicalFlowMapping,0.8655,0.8336,0.821,0.8129,0.8225,0.7897,0.8238,FLOW-STABLE
6,Projection,TopologicalFlowMapping,0.8352,0.8006,0.7794,0.7564,0.7709,0.7545,0.7598,FLOW-STABLE
8,Projection,TopologicalFlowMapping,0.7953,0.7446,0.7299,0.7283,0.7163,0.7193,0.7405,FLOW-BOUNDED
12,Projection,TopologicalFlowMapping,0.6953,0.6634,0.6748,0.6675,0.6456,0.6457,0.6537,FLOW-BOUNDED
16,Projection,TopologicalFlowMapping,0.6484,0.6138,0.601,0.6032,0.5809,0.5879,0.5865,FLOW-PARTIAL
20,Projection,TopologicalFlowMapping,0.5898,0.5645,0.5624,0.5491,0.5413,0.5357,0.5384,FLOW-PARTIAL
24,Projection,TopologicalFlowMapping,0.5489,0.5155,0.5198,0.5059,0.5003,0.4796,0.507,FLOW-DEGRADING
32,Projection,TopologicalFlowMapping,0.4653,0.4505,0.4407,0.4403,0.433,0.416,0.4353,FLOW-DEGRADING
40,Projection,TopologicalFlowMapping,0.4078,0.4011,0.3941,0.3837,0.373,0.3791,0.3827,FLOW-DEGRADING
48,Projection,TopologicalFlowMapping,0.3705,0.3533,0.3441,0.3481,0.3319,0.3386,0.3425,FLOW-FAILED
64,Projection,TopologicalFlowMapping,0.3019,0.2922,0.2919,0.2842,0.2787,0.2763,0.2832,FLOW-FAILED
80,Projection,TopologicalFlowMapping,0.2595,0.2501,0.2424,0.2448,0.2364,0.2356,0.2377,FLOW-FAILED
96,Projection,TopologicalFlowMapping,0.2278,0.2143,0.2139,0.2124,0.2062,0.2003,0.2083,FLOW-FAILED
128,Projection,TopologicalFlowMapping,0.1797,0.1685,0.1698,0.1644,0.1629,0.1656,0.1632,FLOW-FAILED
160,Projection,TopologicalFlowMapping,0.1494,0.14,0.1389,0.1381,0.1364,0.1345,0.1392,FLOW-FAILED
