depth,sector,attractor_strength,basin_convergence,basin_drift,boundedness,rg_similarity,classification
1,projection,0.8123,0.8656,0.1256,0.8856,0.9456,ATTRACTOR-PRESERVING
1,antisymmetry,0.7734,0.8312,0.1434,0.8545,0.9178,ATTRACTOR-PRESERVING
1,neutral,0.7289,0.7934,0.1645,0.8212,0.8889,ATTRACTOR-PRESERVING
3,projection,0.7856,0.8412,0.1356,0.8656,0.9234,ATTRACTOR-PRESERVING
3,antisymmetry,0.7456,0.8067,0.1545,0.8345,0.8956,ATTRACTOR-PRESERVING
3,neutral,0.7012,0.7656,0.1767,0.8012,0.8678,ATTRACTOR-PRESERVING
5,projection,0.7589,0.8167,0.1467,0.8445,0.9012,ATTRACTOR-PRESERVING
5,antisymmetry,0.7189,0.7812,0.1667,0.8145,0.8734,ATTRACTOR-PRESERVING
5,neutral,0.6734,0.7345,0.1891,0.7801,0.8456,WEAKLY_ATTRACTIVE
8,projection,0.7323,0.7912,0.1578,0.8234,0.8789,WEAKLY_ATTRACTIVE
8,antisymmetry,0.6912,0.7567,0.1789,0.7923,0.8512,WEAKLY_ATTRACTIVE
8,neutral,0.6456,0.7067,0.2034,0.7589,0.8234,WEAKLY_ATTRACTIVE
12,projection,0.7056,0.7656,0.1689,0.8012,0.8567,WEAKLY_ATTRACTIVE
12,antisymmetry,0.6645,0.7267,0.1912,0.7701,0.8289,WEAKLY_ATTRACTIVE
12,neutral,0.6189,0.6756,0.2178,0.7367,0.8012,ATTRACTOR-DEGRADING
16,projection,0.6789,0.7401,0.1801,0.7789,0.8345,WEAKLY_ATTRACTIVE
16,antisymmetry,0.6378,0.6967,0.2034,0.7489,0.8067,ATTRACTOR-DEGRADING
16,neutral,0.5923,0.6445,0.2323,0.7145,0.7789,ATTRACTOR-DEGRADING
20,projection,0.6523,0.7134,0.1912,0.7567,0.8123,WEAKLY_ATTRACTIVE
20,antisymmetry,0.6104,0.6667,0.2156,0.7267,0.7845,ATTRACTOR-DEGRADING
20,neutral,0.5656,0.6134,0.2478,0.6923,0.7567,ATTRACTOR-DEGRADING
