depth,sector,redundancy_retention,compensation_strength,failure_containment,distributed_support_gain,recursive_survivability,rg_similarity,classification
1,Projection,0.9142,0.8971,0.8134,0.1437,0.9057,0.853,REDUNDANT-STABLE
2,Projection,0.9132,0.9094,0.792,0.1306,0.9113,0.8682,REDUNDANT-STABLE
4,Projection,0.8788,0.89,0.7739,0.1435,0.8844,0.8185,REDUNDANT-STABLE
6,Projection,0.8717,0.8452,0.7774,0.1263,0.8585,0.812,REDUNDANT-STABLE
8,Projection,0.847,0.8392,0.7354,0.1449,0.8431,0.8166,WEAKLY_REDUNDANT
12,Projection,0.8087,0.7748,0.7008,0.1425,0.7917,0.7943,WEAKLY_REDUNDANT
16,Projection,0.7653,0.7317,0.6775,0.0,0.7485,0.7227,WEAKLY_REDUNDANT
20,Projection,0.7302,0.6989,0.6338,0.0,0.7145,0.6914,FAILURE-DEGRADING
1,Antisymmetry,0.8832,0.8488,0.7897,0.1088,0.866,0.8771,REDUNDANT-STABLE
2,Antisymmetry,0.8454,0.86,0.7555,0.0916,0.8527,0.8791,REDUNDANT-STABLE
4,Antisymmetry,0.8236,0.8349,0.7527,0.0993,0.8292,0.8611,REDUNDANT-STABLE
6,Antisymmetry,0.8048,0.808,0.7282,0.0993,0.8064,0.8503,WEAKLY_REDUNDANT
8,Antisymmetry,0.7897,0.78,0.6978,0.0939,0.7848,0.7865,WEAKLY_REDUNDANT
12,Antisymmetry,0.7582,0.7547,0.66,0.0984,0.7564,0.7564,WEAKLY_REDUNDANT
16,Antisymmetry,0.6996,0.7128,0.6367,0.0,0.7062,0.7501,FAILURE-DEGRADING
20,Antisymmetry,0.6698,0.6828,0.6037,0.0,0.6763,0.7374,FAILURE-DEGRADING
1,Neutral,0.7908,0.7791,0.7138,0.0634,0.785,0.8721,WEAKLY_REDUNDANT
2,Neutral,0.7903,0.7658,0.6836,0.0722,0.778,0.8938,WEAKLY_REDUNDANT
4,Neutral,0.7684,0.744,0.6583,0.0625,0.7562,0.8679,WEAKLY_REDUNDANT
6,Neutral,0.7432,0.7274,0.6392,0.0711,0.7353,0.8248,FAILURE-DEGRADING
8,Neutral,0.7289,0.7249,0.654,0.0693,0.7269,0.8277,WEAKLY_REDUNDANT
12,Neutral,0.6834,0.6816,0.6161,0.0794,0.6825,0.7847,FAILURE-DEGRADING
16,Neutral,0.6704,0.6479,0.5655,0.0,0.6592,0.759,FAILURE-DEGRADING
20,Neutral,0.6289,0.6294,0.5351,0.0,0.6292,0.7181,COLLAPSING
1,Projection-Antisymmetry,0.8147,0.7708,0.6893,0.0761,0.7927,0.8958,WEAKLY_REDUNDANT
2,Projection-Antisymmetry,0.7873,0.7667,0.7,0.078,0.777,0.8518,WEAKLY_REDUNDANT
4,Projection-Antisymmetry,0.7667,0.7445,0.6585,0.0739,0.7556,0.8683,WEAKLY_REDUNDANT
6,Projection-Antisymmetry,0.7446,0.7385,0.6579,0.0668,0.7416,0.8545,WEAKLY_REDUNDANT
8,Projection-Antisymmetry,0.7413,0.7114,0.6326,0.0668,0.7264,0.8087,FAILURE-DEGRADING
12,Projection-Antisymmetry,0.6939,0.6651,0.609,0.0743,0.6795,0.7738,FAILURE-DEGRADING
16,Projection-Antisymmetry,0.6622,0.6558,0.5752,0.0,0.659,0.758,FAILURE-DEGRADING
20,Projection-Antisymmetry,0.6312,0.6063,0.5478,0.0,0.6188,0.7309,COLLAPSING
1,Projection-Neutral,0.8164,0.7928,0.6996,0.0803,0.8046,0.8519,WEAKLY_REDUNDANT
2,Projection-Neutral,0.7953,0.7932,0.6785,0.0707,0.7942,0.8661,WEAKLY_REDUNDANT
4,Projection-Neutral,0.7734,0.7383,0.6734,0.0728,0.7559,0.8695,WEAKLY_REDUNDANT
6,Projection-Neutral,0.7492,0.7283,0.6383,0.0641,0.7388,0.8217,FAILURE-DEGRADING
8,Projection-Neutral,0.7313,0.7,0.6507,0.0813,0.7157,0.835,WEAKLY_REDUNDANT
12,Projection-Neutral,0.6816,0.6719,0.5965,0.0677,0.6768,0.7882,FAILURE-DEGRADING
16,Projection-Neutral,0.661,0.6439,0.565,0.0,0.6524,0.745,FAILURE-DEGRADING
20,Projection-Neutral,0.6388,0.6161,0.5553,0.0,0.6274,0.7269,COLLAPSING
1,Antisymmetry-Neutral,0.8015,0.7897,0.7133,0.0716,0.7956,0.8542,WEAKLY_REDUNDANT
2,Antisymmetry-Neutral,0.7852,0.7729,0.7001,0.0814,0.7791,0.8528,WEAKLY_REDUNDANT
4,Antisymmetry-Neutral,0.7635,0.7421,0.6762,0.0756,0.7528,0.8657,WEAKLY_REDUNDANT
6,Antisymmetry-Neutral,0.7309,0.7179,0.6693,0.0697,0.7244,0.8072,WEAKLY_REDUNDANT
8,Antisymmetry-Neutral,0.719,0.7267,0.6476,0.0719,0.7229,0.8448,FAILURE-DEGRADING
12,Antisymmetry-Neutral,0.6866,0.6673,0.6202,0.0704,0.677,0.8112,FAILURE-DEGRADING
16,Antisymmetry-Neutral,0.6438,0.6594,0.56,0.0,0.6516,0.7631,COLLAPSING
20,Antisymmetry-Neutral,0.6203,0.6036,0.5444,0.0,0.612,0.7488,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8151,0.8026,0.7046,0.0818,0.8088,0.9015,WEAKLY_REDUNDANT
2,Projection-Antisymmetry-Neutral,0.7766,0.7765,0.6937,0.0723,0.7765,0.8874,WEAKLY_REDUNDANT
4,Projection-Antisymmetry-Neutral,0.7531,0.7533,0.6638,0.0734,0.7532,0.8598,WEAKLY_REDUNDANT
6,Projection-Antisymmetry-Neutral,0.7557,0.7474,0.666,0.075,0.7515,0.8468,WEAKLY_REDUNDANT
8,Projection-Antisymmetry-Neutral,0.7211,0.7105,0.6335,0.0798,0.7158,0.8073,FAILURE-DEGRADING
12,Projection-Antisymmetry-Neutral,0.6771,0.6695,0.6198,0.0728,0.6733,0.7696,FAILURE-DEGRADING
16,Projection-Antisymmetry-Neutral,0.6693,0.6579,0.5911,0.0,0.6636,0.7791,FAILURE-DEGRADING
20,Projection-Antisymmetry-Neutral,0.6208,0.6046,0.5632,0.0,0.6127,0.6987,COLLAPSING
