depth,sector,reinforcement_amplification,cooperative_enhancement,resonance_spread,coordinated_persistence_gain,recursive_reinforcement_retention,rg_similarity,classification
1,Projection,0.95,0.9096,0.122,0.1546,0.9298,0.8465,RESONANT
2,Projection,0.9119,0.9114,0.1088,0.1429,0.9116,0.8413,RESONANT
4,Projection,0.9105,0.8637,0.1387,0.1399,0.8871,0.8338,RESONANT
6,Projection,0.853,0.8455,0.149,0.1535,0.8493,0.8189,RESONANT
8,Projection,0.8636,0.835,0.1205,0.1541,0.8493,0.8313,RESONANT
12,Projection,0.8149,0.7976,0.1451,0.1507,0.8062,0.7842,RESONANT
16,Projection,0.7731,0.737,0.1526,0.0,0.755,0.7278,WEAKLY_RESONANT
20,Projection,0.7429,0.7029,0.1477,0.0,0.7229,0.7441,WEAKLY_RESONANT
1,Antisymmetry,0.9054,0.8757,0.1544,0.1044,0.8906,0.8852,RESONANT
2,Antisymmetry,0.8582,0.8693,0.1716,0.1029,0.8638,0.8368,RESONANT
4,Antisymmetry,0.8483,0.8431,0.1552,0.1148,0.8457,0.8345,RESONANT
6,Antisymmetry,0.8245,0.8228,0.1673,0.1084,0.8236,0.8057,RESONANT
8,Antisymmetry,0.7923,0.7716,0.1601,0.1157,0.782,0.7922,WEAKLY_RESONANT
12,Antisymmetry,0.7592,0.733,0.1693,0.1136,0.7461,0.7966,WEAKLY_RESONANT
16,Antisymmetry,0.736,0.711,0.1711,0.0,0.7235,0.7303,WEAKLY_RESONANT
20,Antisymmetry,0.6822,0.6878,0.2044,0.0,0.685,0.722,AMPLIFICATION-DEGRADING
1,Neutral,0.7946,0.7989,0.2101,0.0861,0.7968,0.8964,WEAKLY_RESONANT
2,Neutral,0.8001,0.8067,0.2338,0.0861,0.8034,0.8909,WEAKLY_RESONANT
4,Neutral,0.7586,0.7772,0.2094,0.0805,0.7679,0.8681,WEAKLY_RESONANT
6,Neutral,0.7534,0.7387,0.2143,0.0785,0.7461,0.8198,WEAKLY_RESONANT
8,Neutral,0.7297,0.73,0.2263,0.0792,0.7299,0.8186,WEAKLY_RESONANT
12,Neutral,0.7095,0.6861,0.2655,0.0844,0.6978,0.8077,WEAKLY_RESONANT
16,Neutral,0.6588,0.656,0.2595,0.0,0.6574,0.7814,AMPLIFICATION-DEGRADING
20,Neutral,0.6217,0.6207,0.2574,0.0,0.6212,0.7455,COLLAPSING
1,Projection-Antisymmetry,0.8199,0.8148,0.2027,0.0909,0.8173,0.8724,WEAKLY_RESONANT
2,Projection-Antisymmetry,0.8115,0.7791,0.2288,0.0781,0.7953,0.8368,WEAKLY_RESONANT
4,Projection-Antisymmetry,0.7804,0.7775,0.2457,0.086,0.7789,0.8489,WEAKLY_RESONANT
6,Projection-Antisymmetry,0.7455,0.7571,0.2261,0.0839,0.7513,0.823,WEAKLY_RESONANT
8,Projection-Antisymmetry,0.7252,0.7186,0.2206,0.0901,0.7219,0.7998,WEAKLY_RESONANT
12,Projection-Antisymmetry,0.7007,0.6799,0.2664,0.0729,0.6903,0.8129,WEAKLY_RESONANT
16,Projection-Antisymmetry,0.6512,0.6554,0.2572,0.0,0.6533,0.7284,AMPLIFICATION-DEGRADING
20,Projection-Antisymmetry,0.6465,0.6274,0.2538,0.0,0.6369,0.7346,COLLAPSING
1,Projection-Neutral,0.8282,0.7855,0.2281,0.0886,0.8069,0.8918,WEAKLY_RESONANT
2,Projection-Neutral,0.7972,0.7885,0.2169,0.0766,0.7928,0.8726,WEAKLY_RESONANT
4,Projection-Neutral,0.7784,0.7782,0.218,0.0796,0.7783,0.8472,WEAKLY_RESONANT
6,Projection-Neutral,0.7403,0.7368,0.2204,0.0751,0.7385,0.8482,WEAKLY_RESONANT
8,Projection-Neutral,0.7514,0.7344,0.2259,0.0889,0.7429,0.7903,WEAKLY_RESONANT
12,Projection-Neutral,0.6894,0.6882,0.2462,0.0781,0.6888,0.7797,AMPLIFICATION-DEGRADING
16,Projection-Neutral,0.6776,0.6484,0.2511,0.0,0.663,0.7501,AMPLIFICATION-DEGRADING
